ISO_COUNTRY,SECTOR_CODE,FACTSET_ENTITY_ID,FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,g_S2_EMRIO,g_S23_EMRIO,g_S3_T
ALB,I00001,Others-I00001-S,Others-I00001-S,2.82206625e6,1703.4840040796905,966199.5013219335,964496.0173178538
ALB,I00002,Others-I00002-S,Others-I00002-S,172168.671875,12113.140618334126,326144.50692879164,314031.3663104575
ALB,I00003,Others-I00003-S,Others-I00003-S,124215.5546875,9318.824806780516,302238.51649587735,292919.69168909686
ALB,I00004,Others-I00004-S,Others-I00004-S,2078.484375,9350.450593598604,220592.0560860574,211241.6054924588
ALB,I00005,Others-I00005-S,Others-I00005-S,5468.75634765625,3373.8502872506197,72018.6932613827,68644.84297413207
ALB,I00006,Others-I00006-S,Others-I00006-S,8180.58056640625,709.9996331721774,21808.182326347738,21098.18269317556
ALB,I00007,Others-I00007-S,Others-I00007-S,14707.1044921875,906.1341185619278,28641.86453755895,27735.730418997024
ALB,I00008,Others-I00008-S,Others-I00008-S,282598.03125,7689.808399293513,244908.8508940963,237219.0424948028
ALB,I00009,Others-I00009-S,Others-I00009-S,24438.412109375,8462.419875538875,356362.74048669275,347900.3206111539
ALB,I00010,Others-I00010-S,Others-I00010-S,1230.5372314453125,746.9979475015152,14891.631416684708,14144.633469183193
ALB,I00011,Others-I00011-S,Others-I00011-S,69001.5078125,2649.7462277385043,67089.34758143075,64439.60135369224
ALB,I00012,Others-I00012-S,Others-I00012-S,18819.068359375,3907.4707271537964,118152.84711642543,114245.37638927164
ALB,I00013,Others-I00013-S,Others-I00013-S,1124.81982421875,2529.840878270488,29450.110138834007,26920.26926056352
ALB,I00014,Others-I00014-S,Others-I00014-S,499490.375,1313.4310080989421,63098.923699617684,61785.49269151874
ALB,I00015,Others-I00015-S,Others-I00015-S,50606.828125,78100.57765674122,1.8115928558497028e6,1.7334922781929616e6
ALB,I00016,Others-I00016-S,Others-I00016-S,1848.121826171875,1436.1520898251765,23341.060293919185,21904.90820409401
ALB,I00017,Others-I00017-S,Others-I00017-S,40679.375,21749.033911070477,423410.0830557603,401661.0491446898
ALB,I00018,Others-I00018-S,Others-I00018-S,303803.71875,5767.8265187894785,142924.7065717763,137156.88005298682
ALB,I00019,Others-I00019-S,Others-I00019-S,1.50188475e6,53695.36980963127,368963.0671347006,315267.69732506934
ALB,I00020,Others-I00020-S,Others-I00020-S,1.044776625e6,7077.011165361937,120127.60842160696,113050.59725624502
ALB,I00021,Others-I00021-S,Others-I00021-S,2743.572509765625,2947.464811522426,44273.51262410286,41326.04781258044
ALB,I00022,Others-I00022-S,Others-I00022-S,8618.939453125,7814.240938517154,235366.72548731894,227552.4845488018
ALB,I00023,Others-I00023-S,Others-I00023-S,11072.5576171875,6246.601048845235,64940.12233471424,58693.521285869
ALB,I00024,Others-I00024-S,Others-I00024-S,13433.2421875,27044.821571852182,295799.7815963784,268754.9600245262
ALB,I00025,Others-I00025-S,Others-I00025-S,1213.8507080078125,1128.0838624297337,18192.076492815373,17063.99263038564
ALB,I00026,Others-I00026-S,Others-I00026-S,9209.966796875,9823.234032304863,75116.00317542744,65292.769143122576
ALB,I00027,Others-I00027-S,Others-I00027-S,15010.6884765625,2934.3357553100036,57392.89961723392,54458.56386192391
ALB,I00028,Others-I00028-S,Others-I00028-S,9551.7158203125,18576.86581847786,186122.99144763048,167546.12562915264
ALB,I00029,Others-I00029-S,Others-I00029-S,3854.66552734375,2473.2941526187287,41529.545435173015,39056.25128255429
ALB,I00030,Others-I00030-S,Others-I00030-S,283722.25,22026.154013586267,262309.05831775756,240282.9043041713
ALB,I00031,Others-I00031-S,Others-I00031-S,12269.6201171875,18255.66005937643,143467.2126741421,125211.55261476566
ALB,I00032,Others-I00032-S,Others-I00032-S,11258.6220703125,9417.929594915839,89497.69916400415,80079.76956908831
ALB,I00033,Others-I00033-S,Others-I00033-S,9036.955078125,15914.901990753637,153961.96000398704,138047.0580132334
ALB,I00034,Others-I00034-S,Others-I00034-S,3636.41015625,3440.5705793212965,28814.83525288768,25374.26467356638
ALB,I00035,Others-I00035-S,Others-I00035-S,250914.28125,16478.074537526216,154526.7188251724,138048.6442876462
ALB,,Others-C00001-S,Others-C00001-S,0.0,0.0,0.0,0.0
ALB,,Others-C00002-S,Others-C00002-S,0.0,0.0,0.0,0.0
ALB,,Others-C00003-S,Others-C00003-S,0.0,0.0,0.0,0.0
ALB,,Others-C00004-S,Others-C00004-S,0.0,0.0,0.0,0.0
ALB,,Others-C00005-S,Others-C00005-S,0.0,0.0,0.0,0.0
ALB,,Others-C00006-S,Others-C00006-S,0.0,0.0,0.0,0.0
ALB,,Others-C00007-S,Others-C00007-S,0.0,0.0,0.0,0.0
ALB,,Others-C00008-S,Others-C00008-S,0.0,0.0,0.0,0.0
ALB,,Others-C00009-S,Others-C00009-S,0.0,0.0,0.0,0.0
ALB,,Others-C00010-S,Others-C00010-S,0.0,0.0,0.0,0.0
ALB,,Others-C00011-S,Others-C00011-S,0.0,0.0,0.0,0.0
ALB,,Others-C00012-S,Others-C00012-S,0.0,0.0,0.0,0.0
ALB,,Others-C00013-S,Others-C00013-S,0.0,0.0,0.0,0.0
ALB,,Others-C00014-S,Others-C00014-S,0.0,0.0,0.0,0.0
ALB,,Others-C00015-S,Others-C00015-S,0.0,0.0,0.0,0.0
ALB,,Others-C00016-S,Others-C00016-S,0.0,0.0,0.0,0.0
ALB,,Others-C00017-S,Others-C00017-S,0.0,0.0,0.0,0.0
ALB,,Others-C00018-S,Others-C00018-S,0.0,0.0,0.0,0.0
ALB,,Others-C00019-S,Others-C00019-S,0.0,0.0,0.0,0.0
ALB,,Others-C00020-S,Others-C00020-S,0.0,0.0,0.0,0.0
ALB,,Others-C00021-S,Others-C00021-S,0.0,0.0,0.0,0.0
ALB,,Others-C00022-S,Others-C00022-S,0.0,0.0,0.0,0.0
ALB,,Others-C00023-S,Others-C00023-S,0.0,0.0,0.0,0.0
ALB,,Others-C00024-S,Others-C00024-S,0.0,0.0,0.0,0.0
ALB,,Others-C00025-S,Others-C00025-S,0.0,0.0,0.0,0.0
ALB,,Others-C00026-S,Others-C00026-S,0.0,0.0,0.0,0.0
ALB,,Others-C00027-S,Others-C00027-S,0.0,0.0,0.0,0.0
ALB,,Others-C00028-S,Others-C00028-S,0.0,0.0,0.0,0.0
ALB,,Others-C00029-S,Others-C00029-S,0.0,0.0,0.0,0.0
ALB,,Others-C00030-S,Others-C00030-S,0.0,0.0,0.0,0.0
ALB,,Others-C00031-S,Others-C00031-S,0.0,0.0,0.0,0.0
ALB,,Others-C00032-S,Others-C00032-S,0.0,0.0,0.0,0.0
ALB,,Others-C00033-S,Others-C00033-S,0.0,0.0,0.0,0.0
ALB,,Others-C00034-S,Others-C00034-S,0.0,0.0,0.0,0.0
ALB,,Others-C00035-S,Others-C00035-S,0.0,0.0,0.0,0.0
ARM,I00001,Others-I00001-S,Others-I00001-S,2.02822575e6,28941.971495147318,808953.4467662708,780011.4752711235
ARM,I00002,Others-I00002-S,Others-I00002-S,303.6933288574219,242.0710527362379,2935.366994528471,2693.295941792233
ARM,I00003,Others-I00003-S,Others-I00003-S,366773.15625,429414.603555466,843788.112862186,414373.50930672005
ARM,I00004,Others-I00004-S,Others-I00004-S,426874.34375,114288.85672162507,1.090879876780493e6,976591.0200588679
ARM,I00005,Others-I00005-S,Others-I00005-S,260878.96875,44836.48206955244,160356.36095089815,115519.8788813457
ARM,I00006,Others-I00006-S,Others-I00006-S,50231.9296875,199154.52252984294,1.6128806368426988e6,1.4137261143128558e6
ARM,I00007,Others-I00007-S,Others-I00007-S,905479.3125,130119.01937502912,646296.5007609694,516177.4813859402
ARM,I00008,Others-I00008-S,Others-I00008-S,808.81201171875,6014.662529779786,29125.936002022783,23111.273472242996
ARM,I00009,Others-I00009-S,Others-I00009-S,1.83814e6,63165.015084791245,484057.1401025895,420892.1250177983
ARM,I00010,Others-I00010-S,Others-I00010-S,3279.510498046875,7675.194995221424,24141.941416509228,16466.746421287804
ARM,I00011,Others-I00011-S,Others-I00011-S,444168.0625,58477.21876610362,182790.42073919415,124313.20197309053
ARM,I00012,Others-I00012-S,Others-I00012-S,6231.00146484375,16257.90323467501,270631.3353000998,254373.4320654248
ARM,I00013,Others-I00013-S,Others-I00013-S,4240.70068359375,15056.201917596198,59395.68257565647,44339.480658060274
ARM,I00014,Others-I00014-S,Others-I00014-S,5123.861328125,24839.667123172687,149943.18408553384,125103.51696236114
ARM,I00015,Others-I00015-S,Others-I00015-S,482946.40625,30216.816675364786,83622.0292878285,53405.212612463714
ARM,I00016,Others-I00016-S,Others-I00016-S,1.045643875e6,0.0,0.0,0.0
ARM,I00017,Others-I00017-S,Others-I00017-S,NaN,0.0,0.0,0.0
ARM,,Others-C00001-S,Others-C00001-S,0.0,0.0,0.0,0.0
ARM,,Others-C00002-S,Others-C00002-S,0.0,0.0,0.0,0.0
ARM,,Others-C00003-S,Others-C00003-S,0.0,0.0,0.0,0.0
ARM,,Others-C00004-S,Others-C00004-S,0.0,0.0,0.0,0.0
ARM,,Others-C00005-S,Others-C00005-S,0.0,0.0,0.0,0.0
ARM,,Others-C00006-S,Others-C00006-S,0.0,0.0,0.0,0.0
ARM,,Others-C00007-S,Others-C00007-S,0.0,0.0,0.0,0.0
ARM,,Others-C00008-S,Others-C00008-S,0.0,0.0,0.0,0.0
ARM,,Others-C00009-S,Others-C00009-S,0.0,0.0,0.0,0.0
ARM,,Others-C00010-S,Others-C00010-S,0.0,0.0,0.0,0.0
ARM,,Others-C00011-S,Others-C00011-S,0.0,0.0,0.0,0.0
ARM,,Others-C00012-S,Others-C00012-S,0.0,0.0,0.0,0.0
ARM,,Others-C00013-S,Others-C00013-S,0.0,0.0,0.0,0.0
ARM,,Others-C00014-S,Others-C00014-S,0.0,0.0,0.0,0.0
ARM,,Others-C00015-S,Others-C00015-S,0.0,0.0,0.0,0.0
ARM,,Others-C00016-S,Others-C00016-S,0.0,0.0,0.0,0.0
ARM,,Others-C00017-S,Others-C00017-S,0.0,0.0,0.0,0.0
AUS,I00001,Others-I00001-S,Others-I00001-S,9.8020288e7,783744.687483622,2.176498547639411e7,2.0981240788910486e7
AUS,I00002,Others-I00002-S,Others-I00002-S,4.240378e6,150849.45356317,2.458404177698263e6,2.307554724135093e6
AUS,I00003,Others-I00003-S,Others-I00003-S,1.0690669e7,711477.2193790012,6.709749944785951e6,5.998272725406949e6
AUS,I00004,Others-I00004-S,Others-I00004-S,616118.3125,7748.489863997068,481710.9822626309,473962.4923986338
AUS,I00005,Others-I00005-S,Others-I00005-S,6.63236803515625e6,5119.533657852535,1.8668571095823022e6,1.8617375759244496e6
AUS,I00006,Others-I00006-S,Others-I00006-S,1595.5499267578125,7977.034411342844,671170.4220457467,663193.3876344039
AUS,I00007,Others-I00007-S,Others-I00007-S,5010.75439453125,134967.30494288183,2.8871296190115013e6,2.7521623140686196e6
AUS,I00008,Others-I00008-S,Others-I00008-S,3.8796160421875e7,1.4738032669383732e6,1.4127329727215819e7,1.2653526460277446e7
