FACTSET_ENTITY_ID,ISO_COUNTRY,YEAR,S123,g_S1,g_S3_est,g_S23_EMRIO,SALES,accounting_year,g_S3_CDP_c
003HSQ-E,AUS,2015,2.720317469841526e6,2.30403225e6,305999.19793228264,416285.2198415261,1336.613549134607,2015,1.545e7
003JR4-E,AUS,2015,9.203252715783706e6,8.2170086875e6,684806.0361338452,986244.0282837055,3800.4965178811563,2015,1.205491e8
05HZ1N-E,AUS,2015,959772.4252784355,756439.875,143657.0042001472,203332.55027843546,1260.8494730105278,2015,1.140636e7
0DHSZD-E,AUS,2015,230867.83328464438,13057.7861328125,175624.2074199933,217810.04715183188,1633.5788625799926,2015,211176.0
05FWGK-E,AUS,2015,98666.32593076017,93.62682437896729,89855.15657273827,98572.6991063812,1088.4249327849548,2015,18874.0
05HWY4-E,AUS,2015,2.30381944809599e6,1.2341657214355469e6,969950.4744757854,1.069653726660443e6,6461.314997637382,2015,3.227825e6
060D92-E,AUS,2015,43351.115989699305,10534.524047851562,29632.51690163691,32816.59194184774,484.36433367848406,2015,2856.9
003JKC-E,AUT,2015,1.052061500319992e7,3.2148670447998047e6,7.14620912889282e6,7.305747958400114e6,19863.125730493757,2015,2.297399491e8
05J0KT-E,AUT,2015,149668.2994231561,2956.0,144623.2765030527,146712.2994231561,591.2601828605731,2015,9.5
003KKF-E,AUT,2015,478644.19867445226,17827.00026702881,444356.88780338416,460817.19840742345,3594.371309879533,2015,144490.0
05ZTWT-E,AUT,2015,114519.35331831027,11371.240844726562,101766.64410046852,103148.11247358371,482.7959411511686,2015,10102.0
05HWY1-E,AUT,2015,2.702206159034539e6,964779.005859375,1.3096344678157298e6,1.7374271531751642e6,1907.3456155853373,2015,1.2286841e7
05HX92-E,AUT,2015,3.595947049624982e6,1.42182559375e6,1.6419155347591676e6,2.174121455874982e6,2711.112571260981,2015,557366.0
09WND4-E,AUT,2015,342846.39054634125,208.2999973297119,329757.14092050155,342638.09054901154,1789.872,2015,379973.0
05J17T-E,AUT,2015,192039.1933294069,13332.48681640625,175364.8838354585,178706.70651300065,1082.795155967169,2015,888245.0
