account_name,isin,accounting_year,g_S1,g_S2,FACTSET_ENTITY_ID
3i Group,GB00B1YW4409,2015,252.4,854.2,002BS2-E
Abertis Infraestructuras,ES0111845014,2015,65157.2,49575,05HGD6-E
ABM INDUSTRIES INC,US0009571003,2015,47780.47,7896.29,000BGB-E
Abbott Laboratories,US0028241000,2015,459000.0,524000,000BG2-E
Aberdeen Asset Management,GB0000031285,2015,559.0,4885.48,05HFSR-E
A2A,IT0001233417,2015,7.658386e6,126722,071XK1-E
Aareal Bank AG,DE0005408116,2015,4257.0,6243,05J74D-E
Resolute Forest Products Inc.,US0036871004,2015,1.363414e6,2071489,0093J5-E
Resolute Forest Products Inc.,US0036871004,2015,1.363414e6,2071489,000CZZ-E
ACC,INE012A01025,2015,1.5100275e7,466195,05HZC9-E
ACCIONA S.A.,ES0125220311,2015,427292.0,326861,05HJVH-E
AccorHotels,FR0000120404,2015,302000.0,1425000,002KZL-E
ACERINOX,ES0132105018,2015,233376.0,253567,05HWMK-E
ADP (Aeroports de Paris),FR0010340141,2015,53649.0,27903,05TB1H-E
Actelion Ltd,CH0010532478,2015,2152.0,1038,05HXN2-E
Adecco Group AG,CH0012138605,2015,49843.0,33184,002C2M-E
ADVA Optical Networking SE,DE0005103006,2015,604.0,4403,05J4KY-E
Advantest Corporation,JP3122400009,2015,3649.38,,003QTP-E
AECI Ltd Ord,ZAE000000220,2015,296372.0,217360,05J16R-E
Aegon,NL0000303709,2015,3672.0,48811,05H9FH-E
Dentsu Aegis Network,GB00B4JV1B90,2015,3595.0,21466,05HWS7-E
"Aeon Co., Ltd.",JP3388200002,2015,239568.0,2911815,05HRR2-E
A.P. Moller - Maersk,DK0010244425,2015,3.3044e7,415000,05HWJR-E
ABB,CH0012221716,2015,761000.0,,0036X2-E
3M Company,US88579Y1010,2015,3.77e6,1860000,000Q29-E
Abercrombie & Fitch Co.,US0028962076,2015,3791.0,53407,001BN4-E
The AES Corporation,US00130H1059,2015,6.8634068e7,367842,0013FQ-E
ACEA SpA,IT0001207098,2015,266301.0,418799,05HGSK-E
"Adobe Systems, Inc.",US00724F1012,2015,10992.0,35951,000BJT-E
"Advanced Micro Devices, Inc",US0079031078,2015,65782.0,137669,000BK7-E
Agnico-Eagle Mines Limited,CA0084741085,2015,412780.0,71095,0011FY-E
AGL Energy,AU000000AGL7,2015,3.8346476e7,495693,05HWP3-E
AGL Energy,AU000000AGL7,2015,3.8346476e7,495693,06KVM8-E
AFLAC Incorporated,US0010551028,2015,3149.0,16806,000BMH-E
African Rainbow Minerals,ZAE000054045,2015,322034.0,924097,05HZMX-E
Agilent Technologies Inc.,US00846U1016,2015,7954.0,49644,002LV5-E
Ajinomoto Co.Inc.,JP3119600009,2015,1.296732e6,937524,05HWDP-E
Ahlstrom Corporation,FI0009010391,2015,315507.0,331904,05KSLM-E
