FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,2.8220663430251186e6,,ALB
Others-I00002-S,172168.67613436602,,ALB
Others-I00003-S,124215.55361335176,,ALB
Others-I00004-S,2078.484402567996,,ALB
Others-I00005-S,5468.756490565709,,ALB
Others-I00006-S,8180.580717652782,,ALB
Others-I00007-S,14707.1041348133,,ALB
Others-I00008-S,282598.02216964203,,ALB
Others-I00009-S,24438.411441462573,,ALB
Others-I00010-S,1230.5372184046175,,ALB
Others-I00011-S,69001.51123126676,,ALB
Others-I00012-S,18819.06916927076,,ALB
Others-I00013-S,1124.8198377031522,,ALB
Others-I00014-S,499490.38203345233,,ALB
Others-I00015-S,50606.828751000365,,ALB
Others-I00016-S,1848.12180672273,,ALB
Others-I00017-S,40679.37532853539,,ALB
Others-I00018-S,303803.7318569816,,ALB
Others-I00019-S,1.5018847503298547e6,,ALB
Others-I00020-S,1.0447766087195262e6,,ALB
Others-I00021-S,2743.5724644457196,,ALB
Others-I00022-S,8618.938974077699,,ALB
Others-I00023-S,11072.557722564037,,ALB
Others-I00024-S,13433.242197385309,,ALB
Others-I00025-S,1213.8506815397518,,ALB
Others-I00026-S,9209.966814593412,,ALB
Others-I00027-S,15010.68866548358,,ALB
Others-I00028-S,9551.715530034513,,ALB
Others-I00029-S,3854.6655311586196,,ALB
Others-I00030-S,283722.2492613713,,ALB
Others-I00031-S,12269.61967197003,,ALB
Others-I00032-S,11258.6220816178,,ALB
Others-I00033-S,9036.955124474567,,ALB
Others-I00034-S,3636.410062357071,,ALB
Others-I00035-S,250914.27653609766,,ALB
