FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,2.0282257352840095e6,,ARM
Others-I00002-S,303.6933155754427,,ARM
Others-I00003-S,366773.1685681644,,ARM
Others-I00004-S,426874.3392810917,,ARM
Others-I00005-S,260878.96604662924,,ARM
Others-I00006-S,50231.92820341869,,ARM
Others-I00007-S,905479.3213167989,,ARM
Others-I00008-S,808.8120316667512,,ARM
Others-I00009-S,1.8381399754419082e6,,ARM
Others-I00010-S,3279.510518420061,,ARM
Others-I00011-S,444168.0621143192,,ARM
Others-I00012-S,6231.001362059978,,ARM
Others-I00013-S,4240.700623655179,,ARM
Others-I00014-S,5123.861089941078,,ARM
Others-I00015-S,482946.40549018985,,ARM
Others-I00016-S,1.0456438949331142e6,,ARM
Others-I00017-S,0.0,,ARM
