FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003HSQ-E_Eastern Australia_I00009,988505.8934241403,CDP,AUS
003HSQ-E_Gladstone LNG_I00009,84938.28417570391,CDP,AUS
003HSQ-E_Western Australia and Northern Territory_I00009,528667.5963349845,CDP,AUS
003JR4-E_Producing - Australia Oil_I00009,896400.956421873,CDP,AUS
003JR4-E_Producing - North West Shelf_I00009,3.14267629427904e6,CDP,AUS
003JR4-E_Producing - Pluto_I00009,4.177931516499585e6,CDP,AUS
05HZ1N-E_Papua New Guinea Liquefied Natural Gas_I00009,591909.2500943074,CDP,AUS
05HZ1N-E_Papua New Guinea Oil and Gas_I00009,164530.62579488076,CDP,AUS
003HSQ-E_Eastern Australia_I00013,381735.17202549614,CDP,AUS
003HSQ-E_Gladstone LNG_I00013,32800.94811478337,CDP,AUS
003HSQ-E_Western Australia and Northern Territory_I00013,204157.6253351172,CDP,AUS
003HSQ-E_Eastern Australia_I00067,51351.02932904026,CDP,AUS
003HSQ-E_Gladstone LNG_I00067,4412.384742347164,CDP,AUS
003HSQ-E_Western Australia and Northern Territory_I00067,27463.291241160794,CDP,AUS
0DHSZD-E_Property Management and Construction_I00071,1477.704218404423,CDP,AUS
05FWGK-E_AMP Capital_I00090,10.488985850120333,CDP,AUS
05FWGK-E_Australian Mature_I00090,5.14676945440687,CDP,AUS
05FWGK-E_Australian Wealth Management_I00090,45.473988343999956,CDP,AUS
05FWGK-E_Australian Wealth Protection_I00090,6.026280690286526,CDP,AUS
05HWY4-E_Construction_I00090,940122.1972471718,CDP,AUS
05HWY4-E_Habtoor Leighton Group_I00090,3248.0965194217674,CDP,AUS
05HWY4-E_Mining & Mineral Processing_I00090,290795.4237946917,CDP,AUS
060D92-E_Funds Management_I00090,1024.9736499971175,CDP,AUS
060D92-E_Logistics_I00090,1674.6048366150096,CDP,AUS
060D92-E_Office_I00090,2762.573025920528,CDP,AUS
060D92-E_Retail_I00090,5072.3728005619205,CDP,AUS
05FWGK-E_AMP Capital_I00092,4.138785880108125,CDP,AUS
05FWGK-E_Australian Mature_I00092,2.030832823158645,CDP,AUS
05FWGK-E_Australian Wealth Management_I00092,17.943307728667527,CDP,AUS
05FWGK-E_Australian Wealth Protection_I00092,2.377873875217401,CDP,AUS
0DHSZD-E_Property Investment_I00095,9664.743730582919,CDP,AUS
0DHSZD-E_Property Management and Construction_I00095,1915.337731379975,CDP,AUS
Others-I00001-S,9.802028854778531e7,,AUS
Others-I00002-S,4.240377762065907e6,,AUS
Others-I00003-S,1.069066890818848e7,,AUS
Others-I00004-S,616118.3283453336,,AUS
Others-I00005-S,6.632368026988107e6,,AUS
Others-I00006-S,1595.5499058479106,,AUS
Others-I00007-S,5010.754566264267,,AUS
Others-I00008-S,3.8796159371745095e7,,AUS
Others-I00009-S,5.246471175383413e6,,AUS
Others-I00010-S,2.0457264490148835e6,,AUS
Others-I00011-S,1.7446503189473897e6,,AUS
Others-I00012-S,207687.69959551256,,AUS
Others-I00013-S,5.491361836286475e6,,AUS
Others-I00014-S,977949.9539265578,,AUS
Others-I00015-S,42058.17973807926,,AUS
Others-I00016-S,444069.29220508586,,AUS
Others-I00017-S,156135.24420847927,,AUS
Others-I00018-S,52422.39055663032,,AUS
Others-I00019-S,181532.86662390476,,AUS
Others-I00020-S,253056.53309185788,,AUS
Others-I00021-S,298086.0224161429,,AUS
Others-I00022-S,367487.32489394903,,AUS
Others-I00023-S,187369.36759680897,,AUS
Others-I00024-S,153199.30735544258,,AUS
Others-I00025-S,218002.15452126367,,AUS
Others-I00026-S,29396.99281292206,,AUS
Others-I00027-S,60926.708633840426,,AUS
Others-I00028-S,147676.65801314963,,AUS
Others-I00029-S,3227.905093183598,,AUS
Others-I00030-S,63001.790479458454,,AUS
Others-I00031-S,23344.670763202812,,AUS
Others-I00032-S,52858.905252389646,,AUS
Others-I00033-S,100202.55709714272,,AUS
Others-I00034-S,152562.40150858738,,AUS
Others-I00035-S,418941.5350916726,,AUS
Others-I00036-S,411218.2697474074,,AUS
Others-I00037-S,1.2415790316515904e7,,AUS
Others-I00038-S,3.5907511106955865e6,,AUS
Others-I00039-S,198950.27980684076,,AUS
Others-I00040-S,6.411997414974775e6,,AUS
Others-I00041-S,1.3022200132811395e6,,AUS
Others-I00042-S,5.133219184859648e6,,AUS
Others-I00043-S,44506.91596432387,,AUS
Others-I00044-S,133193.88139709213,,AUS
Others-I00045-S,51571.100336855976,,AUS
Others-I00046-S,350086.97908028215,,AUS
Others-I00047-S,120622.00993869314,,AUS
Others-I00048-S,118384.20905322884,,AUS
Others-I00049-S,8.7438614533473e6,,AUS
Others-I00050-S,1.2878544531829339e7,,AUS
Others-I00051-S,6774.979012589136,,AUS
Others-I00052-S,153423.01176059205,,AUS
Others-I00053-S,34372.76816041261,,AUS
Others-I00054-S,69807.59343797763,,AUS
Others-I00055-S,45194.24367573066,,AUS
Others-I00056-S,13640.001062698648,,AUS
Others-I00057-S,9612.921744356594,,AUS
Others-I00058-S,15399.788588062518,,AUS
Others-I00059-S,76359.13302426925,,AUS
Others-I00060-S,34940.316713662425,,AUS
Others-I00061-S,11356.231505639864,,AUS
Others-I00062-S,102004.93996689506,,AUS
Others-I00063-S,57459.565207582666,,AUS
Others-I00064-S,22217.985034281388,,AUS
Others-I00065-S,4.813157741525763e7,,AUS
Others-I00066-S,1.5466818732071742e8,,AUS
Others-I00067-S,738698.1954408049,,AUS
Others-I00068-S,1.3345286770883376e7,,AUS
Others-I00069-S,46276.37831461663,,AUS
Others-I00070-S,380128.65893165313,,AUS
Others-I00071-S,220229.1269047034,,AUS
Others-I00072-S,320051.7527142985,,AUS
Others-I00073-S,950500.119763799,,AUS
Others-I00074-S,468234.44711696234,,AUS
Others-I00075-S,4.6853743773805965e6,,AUS
Others-I00076-S,57422.54712793649,,AUS
Others-I00077-S,236209.77901535446,,AUS
Others-I00078-S,3.7959697011337705e7,,AUS
Others-I00079-S,1.0162503977720691e6,,AUS
Others-I00080-S,4.0541042821766115e6,,AUS
Others-I00081-S,2.095461969821244e7,,AUS
Others-I00082-S,199563.6940370663,,AUS
Others-I00083-S,4.327414786234315e7,,AUS
Others-I00084-S,45952.263285569745,,AUS
Others-I00085-S,29790.21987970627,,AUS
Others-I00086-S,66358.17728886093,,AUS
Others-I00087-S,62704.85841553277,,AUS
Others-I00088-S,322044.90317848383,,AUS
Others-I00089-S,6335.940066887143,,AUS
Others-I00090-S,-789346.0804822391,,AUS
