FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003JKC-E_Downstream Gas_I00004,81569.06643088954,CDP,AUT
003JKC-E_Downstream Oil_I00004,334597.66514592647,CDP,AUT
003JKC-E_Exploration & Production_I00004,19681.07723848509,CDP,AUT
"05J0KT-E_Automotive, Industrial, Medical_I00017",1193.8424047589244,CDP,AUT
05J0KT-E_Mobile Devices & Substrates_I00017,1762.1575952410758,CDP,AUT
003KKF-E_Equipment_I00018,2197.1552174750673,CDP,AUT
05ZTWT-E_Foundry_I00018,803.9800922999613,CDP,AUT
05ZTWT-E_Products_I00018,10567.260300665786,CDP,AUT
05HWY1-E_Energy_I00024,212474.03952860303,CDP,AUT
05HWY1-E_Environment_I00024,75040.99857598823,CDP,AUT
05HWY1-E_Generation_I00024,21792.209182420826,CDP,AUT
05HWY1-E_Networks_I00024,205699.50493493746,CDP,AUT
05HWY1-E_Southeast Europe_I00024,449772.2477780505,CDP,AUT
05HX92-E_Grid_I00024,348778.7244936825,CDP,AUT
05HX92-E_New Renewables_I00024,1.0730468388727948e6,CDP,AUT
003JKC-E_Downstream Gas_I00027,24736.0823668398,CDP,AUT
003JKC-E_Downstream Oil_I00027,101467.82066967025,CDP,AUT
003JKC-E_Exploration & Production_I00027,5968.350122675226,CDP,AUT
003KKF-E_Wholesale (Including Roaming)_I00029,625.2754360570693,CDP,AUT
003JKC-E_Downstream Gas_I00031,491857.7274409014,CDP,AUT
003JKC-E_Downstream Oil_I00031,2.0176085664183116e6,CDP,AUT
003JKC-E_Exploration & Production_I00031,118675.99259961961,CDP,AUT
003KKF-E_Basic and Call Charges_I00039,12147.144336658841,CDP,AUT
003KKF-E_Data and ICT Solutions_I00039,326.45741218290715,CDP,AUT
003KKF-E_Equipment_I00039,561.4410544462653,CDP,AUT
003KKF-E_Interconnection_I00039,1227.9438338666796,CDP,AUT
003KKF-E_Wholesale (Including Roaming)_I00039,107.54250692281497,CDP,AUT
003KKF-E_Data and ICT Solutions_I00040,634.0402023903604,CDP,AUT
09WND4-E_Banking & Related Activities_I00041,81.69428407163079,CDP,AUT
09WND4-E_Banking & Related Activities_I00043,16.29596227656736,CDP,AUT
09WND4-E_Banking & Related Activities_I00044,110.30975365180187,CDP,AUT
003JKC-E_Downstream Gas_I00046,3500.5819355990534,CDP,AUT
003JKC-E_Downstream Oil_I00046,14359.445235233125,CDP,AUT
003JKC-E_Exploration & Production_I00046,844.6243958491664,CDP,AUT
05J17T-E_Area Units_I00047,4294.09900430034,CDP,AUT
05J17T-E_European Units_I00047,9038.387818152785,CDP,AUT
Others-I00001-S,7.620996676013539e6,,AUT
Others-I00002-S,6498.490185857375,,AUT
Others-I00003-S,185.62869647140377,,AUT
Others-I00004-S,1.90193109143728e6,,AUT
Others-I00005-S,900221.5790168403,,AUT
Others-I00006-S,39726.02192406742,,AUT
Others-I00007-S,903634.7277964579,,AUT
Others-I00008-S,869713.392029223,,AUT
Others-I00009-S,345696.691219447,,AUT
Others-I00010-S,2.027454400389781e6,,AUT
Others-I00011-S,2.311171988764371e6,,AUT
Others-I00012-S,746450.5056194176,,AUT
Others-I00013-S,82209.77365518606,,AUT
Others-I00014-S,772732.9072639944,,AUT
Others-I00015-S,7.362493308989624e6,,AUT
Others-I00016-S,167833.46484424314,,AUT
Others-I00017-S,69780.02839270918,,AUT
Others-I00018-S,133116.578854934,,AUT
Others-I00019-S,247384.0189787772,,AUT
Others-I00020-S,88657.30049904119,,AUT
Others-I00021-S,14362.267280041411,,AUT
Others-I00022-S,185323.55410634153,,AUT
Others-I00023-S,38475.837037566234,,AUT
Others-I00024-S,1.1635849409544252e7,,AUT
Others-I00025-S,5889.47758108831,,AUT
Others-I00026-S,2.771812639688935e6,,AUT
Others-I00027-S,576766.7351410316,,AUT
Others-I00028-S,57895.95389972981,,AUT
Others-I00029-S,217306.35557206938,,AUT
Others-I00030-S,1.9157379710236236e6,,AUT
Others-I00031-S,1.1468557203313477e7,,AUT
Others-I00032-S,115708.68171199241,,AUT
Others-I00033-S,2.1771773004358457e6,,AUT
Others-I00034-S,9.1559021771778e6,,AUT
Others-I00035-S,39357.824031790435,,AUT
Others-I00036-S,160800.09132469454,,AUT
Others-I00037-S,404254.6213725111,,AUT
Others-I00038-S,26227.8823751467,,AUT
Others-I00039-S,23112.01468362004,,AUT
Others-I00040-S,72163.93830178169,,AUT
Others-I00041-S,107118.92227654085,,AUT
Others-I00042-S,43417.30444039427,,AUT
Others-I00043-S,21367.540414387953,,AUT
Others-I00044-S,144640.0083194444,,AUT
Others-I00045-S,139982.80327077175,,AUT
Others-I00046-S,81622.4325318287,,AUT
Others-I00047-S,37108.93229078245,,AUT
Others-I00048-S,14545.228563710381,,AUT
Others-I00049-S,30193.464156565944,,AUT
Others-I00050-S,10177.68658124044,,AUT
Others-I00051-S,38333.002376098935,,AUT
Others-I00052-S,24267.764189764937,,AUT
Others-I00053-S,17108.028170335878,,AUT
Others-I00054-S,51545.090400521105,,AUT
Others-I00055-S,151840.96075353233,,AUT
Others-I00056-S,131020.74102185547,,AUT
Others-I00057-S,154187.7400536989,,AUT
Others-I00058-S,47668.58847410833,,AUT
Others-I00059-S,25143.875967201297,,AUT
Others-I00060-S,14153.520648025233,,AUT
Others-I00061-S,25769.025909536205,,AUT
Others-I00062-S,2125.032049045459,,AUT
Others-I00063-S,19678.609085221426,,AUT
Others-I00064-S,6.44430460531626e6,,AUT
Others-I00065-S,0.0,,AUT
