FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-C00001-S,0.0,,AZE
Others-C00002-S,0.0,,AZE
Others-C00003-S,0.0,,AZE
Others-C00004-S,0.0,,AZE
Others-C00005-S,0.0,,AZE
Others-C00006-S,0.0,,AZE
Others-C00007-S,0.0,,AZE
Others-C00008-S,0.0,,AZE
Others-C00009-S,0.0,,AZE
Others-C00010-S,0.0,,AZE
Others-C00011-S,0.0,,AZE
Others-C00012-S,0.0,,AZE
Others-C00013-S,0.0,,AZE
Others-C00014-S,0.0,,AZE
Others-C00015-S,0.0,,AZE
Others-C00016-S,0.0,,AZE
Others-C00017-S,0.0,,AZE
Others-C00018-S,0.0,,AZE
Others-C00019-S,0.0,,AZE
Others-C00020-S,0.0,,AZE
Others-C00021-S,0.0,,AZE
Others-C00022-S,0.0,,AZE
Others-C00023-S,0.0,,AZE
Others-C00024-S,0.0,,AZE
Others-C00025-S,0.0,,AZE
Others-C00026-S,0.0,,AZE
Others-C00027-S,0.0,,AZE
Others-C00028-S,0.0,,AZE
Others-C00029-S,0.0,,AZE
Others-C00030-S,0.0,,AZE
Others-C00031-S,0.0,,AZE
Others-C00032-S,0.0,,AZE
Others-C00033-S,0.0,,AZE
Others-C00034-S,0.0,,AZE
Others-C00035-S,0.0,,AZE
Others-C00036-S,0.0,,AZE
Others-C00037-S,0.0,,AZE
Others-C00038-S,0.0,,AZE
Others-C00039-S,0.0,,AZE
Others-C00040-S,0.0,,AZE
Others-C00041-S,0.0,,AZE
Others-C00042-S,0.0,,AZE
Others-C00043-S,0.0,,AZE
Others-C00044-S,0.0,,AZE
Others-C00045-S,0.0,,AZE
Others-C00046-S,0.0,,AZE
Others-C00047-S,0.0,,AZE
Others-C00048-S,0.0,,AZE
Others-C00049-S,0.0,,AZE
Others-C00050-S,0.0,,AZE
Others-C00051-S,0.0,,AZE
Others-C00052-S,0.0,,AZE
Others-C00053-S,0.0,,AZE
Others-C00054-S,0.0,,AZE
Others-C00055-S,0.0,,AZE
Others-C00056-S,0.0,,AZE
Others-C00057-S,0.0,,AZE
Others-C00058-S,0.0,,AZE
Others-C00059-S,0.0,,AZE
Others-C00060-S,0.0,,AZE
Others-C00061-S,0.0,,AZE
Others-C00062-S,0.0,,AZE
Others-C00063-S,0.0,,AZE
Others-C00064-S,0.0,,AZE
Others-C00065-S,0.0,,AZE
Others-C00066-S,0.0,,AZE
Others-C00067-S,0.0,,AZE
Others-C00068-S,0.0,,AZE
Others-C00069-S,0.0,,AZE
Others-C00070-S,0.0,,AZE
Others-C00071-S,0.0,,AZE
Others-C00072-S,0.0,,AZE
Others-C00073-S,0.0,,AZE
Others-C00074-S,0.0,,AZE
Others-C00075-S,0.0,,AZE
Others-C00076-S,0.0,,AZE
Others-C00077-S,0.0,,AZE
Others-C00078-S,0.0,,AZE
Others-C00079-S,0.0,,AZE
Others-C00080-S,0.0,,AZE
Others-C00081-S,0.0,,AZE
