FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003JP0-E_Beer_I00005,45365.08911021366,CDP,BEL
002K83-E_Advanced Formulations_I00011,1493.161839863714,CDP,BEL
002K83-E_Advanced Materials_I00011,1877.1499148211242,CDP,BEL
002K83-E_Functional Polymers_I00011,838.9182282793865,CDP,BEL
002K83-E_Performance Chemicals_I00011,1739.7700170357753,CDP,BEL
05HHCX-E_Biopharmaceuticals_I00012,14512.67,CDP,BEL
003JP0-E_Beer_I00029,5479.910889786336,CDP,BEL
05HJ3S-E_Food Supermarkets_I00029,27509.452208025832,CDP,BEL
05HJ3S-E_Food Supermarkets_I00030,45076.547791974175,CDP,BEL
05L2FS-E_Mail & Retail_I00034,57311.280712915024,CDP,BEL
05L2FS-E_Mail & Retail_I00035,357.2244381056168,CDP,BEL
05L2FS-E_Parcels & International_I00035,704.6914948939957,CDP,BEL
05JGJ8-E_Consumer_I00039,16924.64554090939,CDP,BEL
05JGJ8-E_Enterprise_I00039,7858.294133235395,CDP,BEL
05JGJ8-E_International Carrier Service_I00039,9309.147232438614,CDP,BEL
05JGJ8-E_Network & IT_I00039,1071.8547385950314,CDP,BEL
05JGJ8-E_Staff & Support_I00039,35.53109630701761,CDP,BEL
0688VK-E_Broadband Internet_I00039,1911.9264598178365,CDP,BEL
0688VK-E_Business Services_I00039,413.3980223571753,CDP,BEL
0688VK-E_Fixed-line Telephony_I00039,794.4863024496191,CDP,BEL
0688VK-E_Mobile Telephony_I00039,712.2640137189203,CDP,BEL
0688VK-E_Video_I00039,1933.2165034907061,CDP,BEL
0622GR-E_Belgium Business Unit_I00041,13951.56138157895,CDP,BEL
0622GR-E_Czech Republic Business Unit_I00041,3652.3460197368427,CDP,BEL
0622GR-E_International Markets Business Unit_I00041,3263.37259868421,CDP,BEL
05HZ3X-E_Healthcare Real Estate_I00044,15.813435110098041,CDP,BEL
05HZ3X-E_Offices_I00044,14.970156541160819,CDP,BEL
05HZ3X-E_Property of Distribution Networks_I00044,6.700390439776826,CDP,BEL
05HZ66-E_Fees for Early Terminated Lease Agreements_I00044,0.7153203516151586,CDP,BEL
05HZ66-E_Rental_I00044,100.63792719077205,CDP,BEL
05HZ3X-E_Healthcare Real Estate_I00045,16.532538215450035,CDP,BEL
05HZ3X-E_Offices_I00045,15.650912239173568,CDP,BEL
05HZ3X-E_Property of Distribution Networks_I00045,7.005085247626481,CDP,BEL
05HZ66-E_Fees for Early Terminated Lease Agreements_I00045,0.7478489630513585,CDP,BEL
05HZ66-E_Rental_I00045,105.21435511141144,CDP,BEL
Others-I00001-S,9.82484843778486e6,,BEL
Others-I00002-S,453.94806967901707,,BEL
Others-I00003-S,134.743490515337,,BEL
Others-I00004-S,7.345450761064865e6,,BEL
Others-I00005-S,2.125583660169356e6,,BEL
Others-I00006-S,101431.67013088142,,BEL
Others-I00007-S,1.554628978078677e6,,BEL
Others-I00008-S,237953.04331065933,,BEL
Others-I00009-S,175714.57892836296,,BEL
Others-I00010-S,7.546862967682684e6,,BEL
Others-I00011-S,8.679630807315279e6,,BEL
Others-I00012-S,4.221309221596479e6,,BEL
Others-I00013-S,167724.22120893025,,BEL
Others-I00014-S,3.152228773547467e6,,BEL
Others-I00015-S,5.425827222030224e6,,BEL
Others-I00016-S,193746.4936202261,,BEL
Others-I00017-S,57835.51889301194,,BEL
Others-I00018-S,83860.65474950487,,BEL
Others-I00019-S,151372.6817887113,,BEL
Others-I00020-S,133546.3230210973,,BEL
Others-I00021-S,20725.679412860223,,BEL
Others-I00022-S,95965.75200424033,,BEL
Others-I00023-S,82332.17945456042,,BEL
Others-I00024-S,1.8012224119319778e7,,BEL
Others-I00025-S,46210.02615983922,,BEL
Others-I00026-S,4.8231258977172e6,,BEL
Others-I00027-S,379094.6145738305,,BEL
Others-I00028-S,130140.3805195587,,BEL
Others-I00029-S,229252.06363988377,,BEL
Others-I00030-S,384628.05395682075,,BEL
Others-I00031-S,1.1067450548985705e7,,BEL
Others-I00032-S,1.908764004418499e7,,BEL
Others-I00033-S,4.347697780955217e6,,BEL
Others-I00034-S,1.4854547978181725e7,,BEL
Others-I00035-S,91884.54205233506,,BEL
Others-I00036-S,290494.6929172559,,BEL
Others-I00037-S,186769.11388913912,,BEL
Others-I00038-S,78029.48762317267,,BEL
Others-I00039-S,164809.81260623725,,BEL
Others-I00040-S,253202.58671966888,,BEL
Others-I00041-S,452639.55784566666,,BEL
Others-I00042-S,158798.439678883,,BEL
Others-I00043-S,178028.8171731953,,BEL
Others-I00044-S,382122.8682400953,,BEL
Others-I00045-S,399499.5950084615,,BEL
Others-I00046-S,833093.09384022,,BEL
Others-I00047-S,188033.8462260185,,BEL
Others-I00048-S,60576.19203305597,,BEL
Others-I00049-S,104906.28789278172,,BEL
Others-I00050-S,47841.34185160976,,BEL
Others-I00051-S,161929.37188770756,,BEL
Others-I00052-S,130777.03247288511,,BEL
Others-I00053-S,16251.36315851685,,BEL
Others-I00054-S,225100.94392503257,,BEL
Others-I00055-S,664157.0619620678,,BEL
Others-I00056-S,529872.3388641429,,BEL
Others-I00057-S,611217.3066131045,,BEL
Others-I00058-S,225721.88016849753,,BEL
Others-I00059-S,62463.40575499478,,BEL
Others-I00060-S,46252.40683752075,,BEL
Others-I00061-S,117921.81532482868,,BEL
Others-I00062-S,7423.536200978968,,BEL
Others-I00063-S,67860.12121689068,,BEL
Others-I00064-S,1.6192938484639786e7,,BEL
