FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.1284959813849737e6,,BEN
Others-I00002-S,2.5568857396404566e6,,BEN
Others-I00003-S,15490.263635881569,,BEN
Others-I00004-S,4732.766008538905,,BEN
Others-I00005-S,1.2970368580780388e6,,BEN
Others-I00006-S,622329.6226251213,,BEN
Others-I00007-S,3070.6082647550247,,BEN
Others-I00008-S,63.37402536745124,,BEN
Others-I00009-S,264.8290694179888,,BEN
Others-I00010-S,1119.3738245333757,,BEN
Others-I00011-S,495.7184832483798,,BEN
Others-I00012-S,11110.39891588115,,BEN
Others-I00013-S,276.7842954178193,,BEN
Others-I00014-S,7938.676836756544,,BEN
Others-I00015-S,0.0,,BEN
Others-I00016-S,96591.86458479284,,BEN
Others-I00017-S,351433.2226648147,,BEN
Others-I00018-S,23395.205408052745,,BEN
Others-I00019-S,6.956613992267108,,BEN
Others-I00020-S,18779.223902466885,,BEN
Others-I00021-S,11665.901073675223,,BEN
Others-I00022-S,6321.141516535656,,BEN
Others-I00023-S,13924.962325929373,,BEN
Others-I00024-S,1013.6984266789366,,BEN
Others-I00025-S,1.918266552300322e6,,BEN
Others-I00026-S,58270.326659155544,,BEN
Others-I00027-S,7743.0897576703555,,BEN
Others-I00028-S,514892.8305989378,,BEN
Others-I00029-S,3.17355679055175e6,,BEN
Others-I00030-S,1.6584073906762477e6,,BEN
Others-I00031-S,813.8551090593775,,BEN
Others-I00032-S,41782.061039664695,,BEN
Others-I00033-S,3504.5081183820967,,BEN
Others-I00034-S,30234.946483924534,,BEN
Others-I00035-S,13960.06361448809,,BEN
Others-I00036-S,27528.42762489542,,BEN
Others-I00037-S,31007.301552360834,,BEN
Others-I00038-S,61296.07364177969,,BEN
Others-I00039-S,41764.923716298035,,BEN
Others-I00040-S,32195.144307944014,,BEN
Others-I00041-S,8682.215078163785,,BEN
Others-I00042-S,2302.138608956322,,BEN
Others-I00043-S,8551.130997878723,,BEN
Others-I00044-S,90704.06387977951,,BEN
Others-I00045-S,0.0,,BEN
