FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,4.911988783456574e6,,BGR
Others-I00002-S,3034.9188072272514,,BGR
Others-I00003-S,381.9827057193439,,BGR
Others-I00004-S,1.1589905769213839e6,,BGR
Others-I00005-S,290718.61643688096,,BGR
Others-I00006-S,49782.95226374872,,BGR
Others-I00007-S,475825.7326169098,,BGR
Others-I00008-S,55216.5110102672,,BGR
Others-I00009-S,41427.58919844739,,BGR
Others-I00010-S,2.819775598314704e6,,BGR
Others-I00011-S,1.167074452537309e6,,BGR
Others-I00012-S,513587.4681940095,,BGR
Others-I00013-S,33028.18553235638,,BGR
Others-I00014-S,226467.1945138105,,BGR
Others-I00015-S,267240.4574372218,,BGR
Others-I00016-S,45278.289170333126,,BGR
Others-I00017-S,12477.062420361102,,BGR
Others-I00018-S,39314.3869893925,,BGR
Others-I00019-S,41260.417081140506,,BGR
Others-I00020-S,12873.436779635333,,BGR
Others-I00021-S,3661.28831696894,,BGR
Others-I00022-S,25576.69729739263,,BGR
Others-I00023-S,8418.686037521187,,BGR
Others-I00024-S,3.0056896309809033e7,,BGR
Others-I00025-S,3648.2960242988106,,BGR
Others-I00026-S,5.008378458921563e6,,BGR
Others-I00027-S,178253.68804960823,,BGR
Others-I00028-S,15215.7604115287,,BGR
Others-I00029-S,121558.06644267676,,BGR
Others-I00030-S,1.2864825342361394e6,,BGR
Others-I00031-S,6.2382055849648705e6,,BGR
Others-I00032-S,273291.19101946085,,BGR
Others-I00033-S,571710.3762859942,,BGR
Others-I00034-S,2.7869009213837427e6,,BGR
Others-I00035-S,9296.370766024287,,BGR
Others-I00036-S,26170.074390534235,,BGR
Others-I00037-S,23865.25077181613,,BGR
Others-I00038-S,8329.303321025876,,BGR
Others-I00039-S,18749.390502911578,,BGR
Others-I00040-S,24160.053581335455,,BGR
Others-I00041-S,41613.277675542166,,BGR
Others-I00042-S,11759.064182664823,,BGR
Others-I00043-S,3626.784594910153,,BGR
Others-I00044-S,26286.8230696534,,BGR
Others-I00045-S,48020.093094736134,,BGR
Others-I00046-S,14596.205323736805,,BGR
Others-I00047-S,11896.849588321347,,BGR
Others-I00048-S,6101.34614507735,,BGR
Others-I00049-S,10581.490419719208,,BGR
Others-I00050-S,7340.111781532516,,BGR
Others-I00051-S,3333.8551016314905,,BGR
Others-I00052-S,2138.966661854218,,BGR
Others-I00053-S,11651.124424523801,,BGR
Others-I00054-S,18425.588057703473,,BGR
Others-I00055-S,51739.82806573395,,BGR
Others-I00056-S,31094.930106944852,,BGR
Others-I00057-S,29192.904336999825,,BGR
Others-I00058-S,6342.884515202435,,BGR
Others-I00059-S,18785.13721583646,,BGR
Others-I00060-S,4159.917960963154,,BGR
Others-I00061-S,5182.775109667309,,BGR
Others-I00062-S,3280.8732456517596,,BGR
Others-I00063-S,5796.555547105837,,BGR
Others-I00064-S,746693.7984,,BGR
Others-I00065-S,0.0,,BGR
