FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.451473267670859e7,,BLR
Others-I00002-S,2.0046984201857091e6,,BLR
Others-I00003-S,269.6685379566881,,BLR
Others-I00004-S,97435.87213327584,,BLR
Others-I00005-S,879.4284457304144,,BLR
Others-I00006-S,4.967288826751253e6,,BLR
Others-I00007-S,28961.38250534181,,BLR
Others-I00008-S,7086.295575408387,,BLR
Others-I00009-S,13334.367424136644,,BLR
Others-I00010-S,7984.012735801754,,BLR
Others-I00011-S,9.823787449809551e6,,BLR
Others-I00012-S,4.61784328184634e6,,BLR
Others-I00013-S,1.344341379505107e6,,BLR
Others-I00014-S,2.0948277465187404e6,,BLR
Others-I00015-S,395534.7811520007,,BLR
Others-I00016-S,63182.01473823585,,BLR
Others-I00017-S,56851.708919380515,,BLR
Others-I00018-S,28675.15890508106,,BLR
Others-I00019-S,275473.2759149792,,BLR
Others-I00020-S,7.813917616687175e6,,BLR
Others-I00021-S,386479.546366407,,BLR
Others-I00022-S,1.9320479259052053e7,,BLR
Others-I00023-S,12447.086358706018,,BLR
Others-I00024-S,1.0669305675986163e7,,BLR
Others-I00025-S,60360.649675280314,,BLR
Others-I00026-S,36587.24749878455,,BLR
Others-I00027-S,472405.5832249359,,BLR
Others-I00028-S,33772.44512656475,,BLR
Others-I00029-S,40067.077966774275,,BLR
Others-I00030-S,39943.345535236054,,BLR
Others-I00031-S,1.4847176842633141e7,,BLR
