FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,2.3211372763563083e6,,BOL
Others-I00002-S,1.1448069145101474e6,,BOL
Others-I00003-S,148614.28072249188,,BOL
Others-I00004-S,1.7905981322166868e7,,BOL
Others-I00005-S,597064.6126602163,,BOL
Others-I00006-S,8.673135402272083e6,,BOL
Others-I00007-S,3401.0861288879883,,BOL
Others-I00008-S,11860.804271886846,,BOL
Others-I00009-S,472364.73477297416,,BOL
Others-I00010-S,7974.518909279186,,BOL
Others-I00011-S,2002.7595091296137,,BOL
Others-I00012-S,12404.807259664056,,BOL
Others-I00013-S,8578.435627224693,,BOL
Others-I00014-S,378.6747460254527,,BOL
Others-I00015-S,3716.187875602129,,BOL
Others-I00016-S,468658.9709396631,,BOL
Others-I00017-S,151763.62947279448,,BOL
Others-I00018-S,237638.89922913656,,BOL
Others-I00019-S,446229.9705277836,,BOL
Others-I00020-S,19363.370067908934,,BOL
Others-I00021-S,298737.75371729105,,BOL
Others-I00022-S,52374.11034975129,,BOL
Others-I00023-S,83389.18591518428,,BOL
Others-I00024-S,655870.2445696604,,BOL
Others-I00025-S,284359.9856154721,,BOL
Others-I00026-S,2.5579712606665813e6,,BOL
Others-I00027-S,9.615136126266873e6,,BOL
Others-I00028-S,7457.698807556658,,BOL
Others-I00029-S,18520.12552022968,,BOL
Others-I00030-S,4.49398935339747e6,,BOL
Others-I00031-S,7859.054990786484,,BOL
Others-I00032-S,2.036333914182283e6,,BOL
Others-I00033-S,12172.011189212044,,BOL
Others-I00034-S,1.4948299879037484e6,,BOL
Others-I00035-S,47067.399831448114,,BOL
