FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003JLR-E_Forestry_I00003,660.8316381257314,CDP,BRA
002C5D-E_Coal_I00004,1.0617041988077592e6,CDP,BRA
002C5D-E_Fertilizers_I00004,4.543532287249767e6,CDP,BRA
003LG0-E_Distribution_I00005,1.1889894084543843e7,CDP,BRA
003LG0-E_Exploration and Production_I00005,552295.2594019877,CDP,BRA
003LG0-E_Gas and Power_I00005,3.9944999087601877e6,CDP,BRA
"003LG0-E_Refining, Transportation and Marketing_I00005",1.889449654295505e7,CDP,BRA
002C5D-E_Ferrous Minerals_I00006,1.144555969099572e6,CDP,BRA
002C5D-E_Base Metals_I00007,423241.7729200608,CDP,BRA
06J41J-E_Beef_I00008,293074.7815643421,CDP,BRA
06JQ36-E_Beef_I00008,14684.397495941115,CDP,BRA
07NJDS-E_Asia_I00008,15370.24017169232,CDP,BRA
07NJDS-E_Brazil_I00008,74933.36087833236,CDP,BRA
07NJDS-E_Europe_I00008,17005.672032017916,CDP,BRA
07NJDS-E_Latin America_I00008,9963.443690923184,CDP,BRA
07NJDS-E_Middle East and Africa_I00008,33162.105907933204,CDP,BRA
06J41J-E_Beef_I00010,290812.39189168887,CDP,BRA
06JQ36-E_Beef_I00010,14571.041344768286,CDP,BRA
07NJDS-E_Asia_I00010,15251.589660566702,CDP,BRA
07NJDS-E_Brazil_I00010,74354.91308120888,CDP,BRA
07NJDS-E_Europe_I00010,16874.39681080507,CDP,BRA
07NJDS-E_Latin America_I00010,9886.530924870476,CDP,BRA
07NJDS-E_Middle East and Africa_I00010,32906.11115625557,CDP,BRA
06J41J-E_Beef_I00015,26282.969280137724,CDP,BRA
086DVT-E_Deca_I00016,9031.200438694359,CDP,BRA
086DVT-E_Wood_I00016,134051.33948625412,CDP,BRA
003JLR-E_Conversion_I00017,179913.4083691138,CDP,BRA
003JLR-E_Paper_I00017,238187.53938952574,CDP,BRA
08B2D0-E_Pulp_I00017,637539.8510832667,CDP,BRA
003LG0-E_Distribution_I00019,8.301426415260572e6,CDP,BRA
003LG0-E_Exploration and Production_I00019,385608.0149093058,CDP,BRA
003LG0-E_Gas and Power_I00019,2.788927035224297e6,CDP,BRA
"003LG0-E_Refining, Transportation and Marketing_I00019",1.3191982333016232e7,CDP,BRA
05J1R2-E_Basic Petrochemicals_I00019,1.6220754250182393e6,CDP,BRA
05J1R2-E_Chemical Distribution_I00019,58455.69255260918,CDP,BRA
05J1R2-E_Polyolefin_I00019,1.3357804526824683e6,CDP,BRA
05J1R2-E_United States and Europe_I00019,550716.446139424,CDP,BRA
05J1R2-E_Vinyls_I00019,185806.9404374851,CDP,BRA
003LG0-E_Biofuels_I00020,5938.2684025537255,CDP,BRA
05J1R2-E_Basic Petrochemicals_I00020,186129.68906627945,CDP,BRA
05J1R2-E_Chemical Distribution_I00020,6707.665815755042,CDP,BRA
05J1R2-E_Polyolefin_I00020,153277.95272886663,CDP,BRA
05J1R2-E_United States and Europe_I00020,63193.535456259575,CDP,BRA
05J1R2-E_Vinyls_I00020,21320.94939395123,CDP,BRA
05J1R2-E_Basic Petrochemicals_I00021,542132.4921246046,CDP,BRA
05J1R2-E_Chemical Distribution_I00021,19537.149625492515,CDP,BRA
05J1R2-E_Polyolefin_I00021,446446.55518157315,CDP,BRA
05J1R2-E_United States and Europe_I00021,184061.2802553336,CDP,BRA
05J1R2-E_Vinyls_I00021,62100.67554182266,CDP,BRA
086DVT-E_Deca_I00026,1747.1812488960377,CDP,BRA
086DVT-E_Deca_I00029,553.5242992653965,CDP,BRA
05J13M-E_Energy_I00031,2.615278556711216,CDP,BRA
05J13M-E_Exterior_I00031,6.025729828059069,CDP,BRA
05J13M-E_Industry_I00031,5.252595117661604,CDP,BRA
0066G5-E_Commercialization_I00038,0.4782159091486378,CDP,BRA
0066G5-E_Conventional Generation Sources_I00038,0.15952706177930115,CDP,BRA
0066G5-E_Distribution_I00038,4.611752316024051,CDP,BRA
0066G5-E_Renewable Generation Sources_I00038,0.3517063599401742,CDP,BRA
05HWJK-E_Distribution_I00038,1.580754918979632e6,CDP,BRA
05HWJK-E_Generation_I00038,2.7855597523579723e6,CDP,BRA
05HWJK-E_Transmission_I00038,865130.2688826631,CDP,BRA
05HX9G-E_Distribution_I00038,1.3265076888339487,CDP,BRA
05HX9G-E_Gas_I00038,0.14936324992477223,CDP,BRA
05HX9G-E_Generation_I00038,0.7546219378853585,CDP,BRA
05HX9G-E_Telecommunications_I00038,0.013126103124292895,CDP,BRA
05HX9G-E_Transmission_I00038,0.05554527681208234,CDP,BRA
05HZGW-E_Distribution of Electricity_I00038,5401.457639219035,CDP,BRA
05W4CT-E_Celesc Distribution_I00038,5715.064467285429,CDP,BRA
05W4CT-E_Celesc Generation_I00038,113.65293532642704,CDP,BRA
05W4HH-E_Distribution of Electricity_I00038,112076.9310505463,CDP,BRA
05W4HH-E_Gas_I00038,16269.470038406389,CDP,BRA
05W4HH-E_Generation & Transmission of Electricity_I00038,55747.99149797948,CDP,BRA
05W4HH-E_Telecommunications_I00038,3184.75625261257,CDP,BRA
05WHCL-E_Energy Generation and Distribution_I00038,2277.689274016395,CDP,BRA
06FFMD-E_Service of Sewage_I00039,256294.8447156301,CDP,BRA
06FFMD-E_Service of Water_I00039,490049.502234608,CDP,BRA
06FFMD-E_Solid Waste_I00039,743.3292882730266,CDP,BRA
06NDR6-E_Construction Services_I00040,86.18893735087312,CDP,BRA
06NDR6-E_Real Estate Development_I00040,5033.05404366479,CDP,BRA
001YYP-E_Cash & Carry_I00041,23997.755148251294,CDP,BRA
001YYP-E_E-Commerce_I00041,29206.87276342227,CDP,BRA
001YYP-E_Food Retail_I00041,61398.25539891252,CDP,BRA
