FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003NJ1-E_Agribusiness Group_I00003,9169.474403297074,CDP,CAN
00CZ2W-E_Production_I00008,27.507897315488457,CDP,CAN
0BCB9M-E_Bitumen_I00008,9.07800001487534,CDP,CAN
0BCB9M-E_Light Oil_I00008,13.33758141720399,CDP,CAN
0BCB9M-E_Natural Gas Liquids_I00008,3.542356192898057,CDP,CAN
0BCB9M-E_Natural Gas_I00008,8.308046525241592,CDP,CAN
003LB1-E_Upstream_I00009,2.35486662056225e6,CDP,CAN
003MTY-E_Upstream_I00009,1.9485751533960463e6,CDP,CAN
003P1M-E_Natural Gas_I00009,4917.054338765761,CDP,CAN
003P1M-E_Oil and Condensate_I00009,480.2259295837391,CDP,CAN
006P4Y-E_Petroleum_I00009,1.7268983718358735e6,CDP,CAN
00CS2T-E_Oil and Gas_I00009,178460.81613022744,CDP,CAN
00CZ2H-E_Gathering and Processing_I00009,1.0220403178261382e6,CDP,CAN
00CZ2H-E_Liquids Infrastructure_I00009,239101.18316314885,CDP,CAN
00CZ2W-E_Production_I00009,793184.1426544712,CDP,CAN
0817XN-E_Exploration and Production_I00009,990838.1173098136,CDP,CAN
0817XN-E_Refining and Marketing_I00009,3.694581466725889e6,CDP,CAN
083V0Q-E_Conventional_I00009,669950.6180506025,CDP,CAN
0BCB9B-E_Oil and Natural Gas_I00009,764496.6425000262,CDP,CAN
0BCB9M-E_Bitumen_I00009,261762.1251174979,CDP,CAN
0BCB9M-E_Light Oil_I00009,384586.21392092033,CDP,CAN
0BCB9M-E_Natural Gas Liquids_I00009,102143.05832305705,CDP,CAN
0BCB9M-E_Natural Gas_I00009,239560.68632504257,CDP,CAN
001NDB-E_Energy_I00010,5463.123402600682,CDP,CAN
003LB1-E_Upstream_I00010,2.1435872239822308e6,CDP,CAN
003MTY-E_Upstream_I00010,1.77374835895873e6,CDP,CAN
003P1M-E_Natural Gas_I00010,4475.894629517536,CDP,CAN
003P1M-E_Oil and Condensate_I00010,437.13990350541036,CDP,CAN
0817XN-E_Oil Sands_I00010,5.320297636417016e6,CDP,CAN
0817XN-E_Refining and Marketing_I00010,3.363102419849259e6,CDP,CAN
083V0Q-E_Oil Sands_I00010,1.2280854584251463e6,CDP,CAN
001NDB-E_Steelmaking Coal_I00011,1.2436820048469072e6,CDP,CAN
05DZGZ-E_Cortez_I00012,31.869287929542818,CDP,CAN
05DZGZ-E_Gold - Acacia_I00012,24.27598549106016,CDP,CAN
05DZGZ-E_Gold - Lagunas Norte_I00012,18.997370041259792,CDP,CAN
05DZGZ-E_Goldstrike_I00012,32.26447839102529,CDP,CAN
05DZGZ-E_Kalgoorlie_I00012,10.105584657906398,CDP,CAN
05DZGZ-E_Porgera_I00012,14.283312393577209,CDP,CAN
05DZGZ-E_Pueblo Viejo_I00012,37.59954962103719,CDP,CAN
05DZGZ-E_Turquoise Ridge_I00012,6.633554174882683,CDP,CAN
05DZGZ-E_Veladero_I00012,20.32408087623633,CDP,CAN
05DZGZ-E_Lumwana_I00013,28.339298900427135,CDP,CAN
05DZGZ-E_Zaldivar_I00013,29.86656650583935,CDP,CAN
06LJ3H-E_Gold Mines_I00013,1539.4654369645948,CDP,CAN
001NDB-E_Copper_I00014,136591.2967571012,CDP,CAN
001NDB-E_Zinc_I00014,157006.67637149864,CDP,CAN
001XGZ-E_Fuel Services_I00015,1108.3448577421057,CDP,CAN
001XGZ-E_Uranium_I00015,93689.54793930825,CDP,CAN
000TKN-E_Phosphate_I00019,4121.403504547144,CDP,CAN
001NDB-E_Energy_I00019,4.288066793211839,CDP,CAN
000TKN-E_Potash_I00020,28553.665383533487,CDP,CAN
006P4Y-E_Petroleum_I00020,5855.699404198768,CDP,CAN
0BCB9M-E_Bitumen_I00020,887.6030837082839,CDP,CAN
0BCB9M-E_Light Oil_I00020,1304.0844212075199,CDP,CAN
0BCB9M-E_Natural Gas_I00020,812.3207428192094,CDP,CAN
001NDB-E_Energy_I00021,2196.3672151407286,CDP,CAN
003LB1-E_Upstream_I00021,861797.2457491693,CDP,CAN
003MTY-E_Upstream_I00021,713109.0507075225,CDP,CAN
003MYN-E_Energy & Resources_I00021,2288.782827665023,CDP,CAN
003P1M-E_Natural Gas_I00021,1799.466623436866,CDP,CAN
003P1M-E_Oil and Condensate_I00021,175.74557295044931,CDP,CAN
00CS2T-E_Oil and Gas_I00021,65310.297607623426,CDP,CAN
05DZGZ-E_Cortez_I00021,4496.42701811544,CDP,CAN
05DZGZ-E_Gold - Acacia_I00021,3425.090554100347,CDP,CAN
05DZGZ-E_Gold - Lagunas Norte_I00021,2680.3324917552604,CDP,CAN
05DZGZ-E_Goldstrike_I00021,4552.1843062054595,CDP,CAN
05DZGZ-E_Kalgoorlie_I00021,1425.793509730139,CDP,CAN
05DZGZ-E_Lumwana_I00021,1681.2148422297314,CDP,CAN
05DZGZ-E_Porgera_I00021,2015.2276981101973,CDP,CAN
05DZGZ-E_Pueblo Viejo_I00021,5304.907695420516,CDP,CAN
05DZGZ-E_Turquoise Ridge_I00021,935.9259072250902,CDP,CAN
05DZGZ-E_Veladero_I00021,2867.51767320028,CDP,CAN
05DZGZ-E_Zaldivar_I00021,1771.8192349247454,CDP,CAN
0817XN-E_Exploration and Production_I00021,362611.4332866171,CDP,CAN
083V0Q-E_Conventional_I00021,245178.04634137268,CDP,CAN
083V0Q-E_Oil Sands_I00021,493733.42674119724,CDP,CAN
0BCB9B-E_Oil and Natural Gas_I00021,279778.5212708585,CDP,CAN
001NDB-E_Copper_I00022,105502.88688607502,CDP,CAN
001NDB-E_Steelmaking Coal_I00022,234184.8893009917,CDP,CAN
001NDB-E_Zinc_I00022,121271.69161471215,CDP,CAN
0032MZ-E_Emera Energy_I00022,134028.26615717358,CDP,CAN
0032MZ-E_Emera Maine_I00022,64548.95815435331,CDP,CAN
006P4Y-E_Power_I00022,1859.3484808218784,CDP,CAN
06LJ3H-E_Gold Mines_I00022,1605.041460033939,CDP,CAN
00C0ZN-E_Energy Revenues_I00023,8.89389505808895e6,CDP,CAN
00CZ2H-E_Liquids Infrastructure_I00024,1436.7982547326774,CDP,CAN
00CZ2H-E_Marketing_I00024,111314.00279315676,CDP,CAN
00C0ZN-E_Energy Revenues_I00030,31541.59622424479,CDP,CAN
003MY3-E_Cheese and Dairy Foods_I00038,28100.10626610462,CDP,CAN
003MY3-E_Dairy Ingredients_I00038,6814.398383055042,CDP,CAN
003MY3-E_Dairy_I00039,14939.268179777246,CDP,CAN
003NJ1-E_Meat Products Group_I00040,68441.74617824885,CDP,CAN
06B3CZ-E_Company-operated Stores_I00049,122.40430194676374,CDP,CAN
06B3CZ-E_Direct to Consumer_I00049,72.65282535314923,CDP,CAN
0093J5-E_Wood Products_I00050,324381.85634449025,CDP,CAN
0093J5-E_Wood Products_I00051,16131.070413335385,CDP,CAN
0093J5-E_Market Pulp_I00053,122688.9720265629,CDP,CAN
0093J5-E_Newsprint_I00053,60203.46649858448,CDP,CAN
0093J5-E_Paper_I00053,60148.98372347303,CDP,CAN
003NFW-E_Printing and Packaging_I00055,41515.36375692752,CDP,CAN
003LB1-E_Downstream_I00056,3.811585659599271e6,CDP,CAN
003MTY-E_Downstream_I00056,4.988940613287257e6,CDP,CAN
0817XN-E_Refining and Marketing_I00056,1.4970145907211443e6,CDP,CAN
083V0Q-E_Refining and Marketing_I00056,1.9420137139625412e6,CDP,CAN
000PVY-E_Methanol_I00058,324798.0,CDP,CAN
003MTY-E_Chemical_I00058,144452.4297520225,CDP,CAN
003NJ1-E_Agribusiness Group_I00058,1315.1766793613788,CDP,CAN
003MTY-E_Chemical_I00059,86729.55914379665,CDP,CAN
000TKN-E_Nitrogen_I00060,185300.0083048333,CDP,CAN
000TKN-E_Phosphate_I00060,160081.79028082118,CDP,CAN
003SBR-E_Sulphur Products & Performance Chemicals_I00064,82580.72708372177,CDP,CAN
003N20-E_CCL_I00065,319.50152276610606,CDP,CAN
001XGZ-E_Fuel Services_I00072,18076.69663658763,CDP,CAN
06LJ3H-E_Gold Mines_I00072,9666.493103001465,CDP,CAN
003N20-E_Container_I00075,48.128477233893925,CDP,CAN
003NSW-E_Automation Systems_I00083,44.31998576248167,CDP,CAN
003NSW-E_Construction Contracts_I00083,341.43469425370876,CDP,CAN
002C52-E_Electronics Manufacturing Services_I00089,270.4201839178952,CDP,CAN
002C52-E_Electronics Manufacturing Services_I00090,628.9195402388813,CDP,CAN
002C52-E_Electronics Manufacturing Services_I00091,950.9967509914432,CDP,CAN
002C52-E_Electronics Manufacturing Services_I00092,3969.050693215786,CDP,CAN
003N1G-E_Healthcare_I00095,78.5313938320475,CDP,CAN
000PCN-E_Complete Vehicle Assembly_I00096,60639.62729000736,CDP,CAN
000PCN-E_Body Systems and Chassis Systems_I00098,19071.323019937303,CDP,CAN
000PCN-E_Closure Systems_I00098,5623.46970177099,CDP,CAN
000PCN-E_Powertrain Systems_I00099,10107.60941867257,CDP,CAN
000PCN-E_Vision and Electronic Systems_I00100,6323.64921187396,CDP,CAN
000PCN-E_Powertrain Systems_I00103,1533.4869818154784,CDP,CAN
000PCN-E_Seating Systems_I00104,11009.465933332238,CDP,CAN
000PCN-E_Exterior Systems_I00106,12620.368442590092,CDP,CAN
003SWR-E_Furniture_I00113,731.3871784595889,CDP,CAN
003SWR-E_Walls_I00113,282.5609186197469,CDP,CAN
003MY3-E_Cheese and Dairy Foods_I00118,20455.447635410823,CDP,CAN
003MY3-E_Dairy Ingredients_I00118,4960.535307994541,CDP,CAN
00CZ2H-E_Marketing_I00118,28085.990341464203,CDP,CAN
0817XN-E_Refining and Marketing_I00118,5601.692385857865,CDP,CAN
003MY3-E_Dairy_I00119,15846.244227657739,CDP,CAN
0093J5-E_Newsprint_I00120,7450.196626472163,CDP,CAN
0093J5-E_Paper_I00120,7443.454367081737,CDP,CAN
001SSL-E_Equipment One_I00122,104.80670317421838,CDP,CAN
003NXF-E_New Equipment_I00122,14540.241658568188,CDP,CAN
003NXF-E_Product Support_I00122,5465.222221214463,CDP,CAN
003NXF-E_Used Equipment_I00122,2266.097991577583,CDP,CAN
003NJ1-E_Agribusiness Group_I00124,68.84785720833231,CDP,CAN
003MQX-E_Retail_I00126,35155.3245119171,CDP,CAN
003VJL-E_Food and Pharmaceutical_I00130,118001.07230264359,CDP,CAN
003VJL-E_Food and Pharmaceutical_I00131,70570.71944580943,CDP,CAN
003MTY-E_Downstream_I00132,25372.076084071334,CDP,CAN
06B3CZ-E_Company-operated Stores_I00133,495.12726155973183,CDP,CAN
0019S0-E_Cargo_I00137,96323.24199288255,CDP,CAN
