FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HL4J-E_Taste & Wellbeing_I00003,6108.120063816832,CDP,CHE
05HL4J-E_Fragrance & Beauty_I00008,17644.27993618317,CDP,CHE
000VJ8-E_Diagnostics_I00009,8605.850961252305,CDP,CHE
000VJ8-E_Pharmaceuticals_I00009,30996.1490387477,CDP,CHE
05FGM6-E_Innovative Medicines_I00009,11767.415928070606,CDP,CHE
05HXN2-E_Drugs_I00009,1610.0355427886075,CDP,CHE
05HYVW-E_GF Piping Systems_I00012,2684.7782872687535,CDP,CHE
05J10Q-E_Fiber Optics_I00012,584.9128644777644,CDP,CHE
05J10Q-E_Low Frequency_I00012,456.3904939523955,CDP,CHE
05J10Q-E_Radio Frequency_I00012,430.6564284852977,CDP,CHE
05J68X-E_Production_I00012,429743.6631335891,CDP,CHE
05J68X-E_Sales & Services_I00012,109326.75571667543,CDP,CHE
05J10Q-E_Fiber Optics_I00014,565.9133135161866,CDP,CHE
05J10Q-E_Low Frequency_I00014,441.5656970042718,CDP,CHE
05J10Q-E_Radio Frequency_I00014,416.6675435472941,CDP,CHE
0036X2-E_Discrete Automation & Motion_I00015,42056.372989596624,CDP,CHE
0036X2-E_Low Voltage Products_I00015,30754.83705433288,CDP,CHE
0036X2-E_Power Products_I00015,41363.02722669696,CDP,CHE
0028NS-E_Chemtech_I00016,194.78946310074406,CDP,CHE
0028NS-E_Flow Equipment_I00016,471.5557342985453,CDP,CHE
0028NS-E_Services_I00016,201.65480260071052,CDP,CHE
05HWY5-E_Drive Systems_I00016,262.5020221245494,CDP,CHE
05HWY5-E_Polymer Processing Solutions_I00016,321.645996245204,CDP,CHE
05HWY5-E_Surface Solutions_I00016,497.8626314677024,CDP,CHE
05HWZT-E_Elevators & Escalators_I00016,95652.81494263516,CDP,CHE
05HYVW-E_GF Machining Solutions_I00016,137.45238918602163,CDP,CHE
05HYVW-E_GF Casting Solutions_I00017,29.769323545225014,CDP,CHE
0036X2-E_Power Systems_I00022,405169.77199286956,CDP,CHE
05HWWX-E_Airfreight_I00028,14.129568214456414,CDP,CHE
05HWWX-E_Contract Logistics_I00028,17.794012307457958,CDP,CHE
05HWWX-E_Road Logistics_I00028,10.683835311690316,CDP,CHE
05HWWX-E_Sea Logistics_I00028,26.435167634873757,CDP,CHE
05LS6N-E_Air Freight_I00028,5.550099070108795,CDP,CHE
05LS6N-E_Ocean Freight_I00028,5.427908553399647,CDP,CHE
05HWWX-E_Airfreight_I00029,2.8563860022670364,CDP,CHE
05HWWX-E_Contract Logistics_I00029,3.597177699116665,CDP,CHE
05HWWX-E_Road Logistics_I00029,2.1598082242609107,CDP,CHE
05HWWX-E_Sea Logistics_I00029,5.344044605876937,CDP,CHE
002TZV-E_Group Headquarters_I00035,1.1781265125834968,CDP,CHE
05FWCG-E_Switzerland_I00035,37.85396394345064,CDP,CHE
05GGL5-E_Farmers_I00035,15.735000061771718,CDP,CHE
05GGL5-E_Life_I00035,70.96668704902552,CDP,CHE
05GGL5-E_Property & Casualty_I00035,92.94670659056658,CDP,CHE
0BT2BZ-E_Life & Health Reinsurance_I00035,53.45987420696576,CDP,CHE
0BT2BZ-E_Property & Casualty Reinsurance_I00035,70.47271537029218,CDP,CHE
05FWCG-E_Asset Managers_I00036,11.241593503837306,CDP,CHE
05FWMC-E_Asset Management_I00036,250.13903982285214,CDP,CHE
05FWMC-E_Investment Banking_I00036,143.28299262820352,CDP,CHE
05FWMC-E_Wealth Management_I00036,128.5138226188348,CDP,CHE
05GGL5-E_Farmers_I00036,31.233122868529342,CDP,CHE
05GGL5-E_Life_I00036,140.86503002689614,CDP,CHE
05GGL5-E_Property & Casualty_I00036,184.4941783140636,CDP,CHE
05HYW0-E_Holding_I00036,391.8035175789193,CDP,CHE
05HYW0-E_Property Management_I00036,395.38132747797243,CDP,CHE
05HYW0-E_Real Estate Investments_I00036,7008.218474749647,CDP,CHE
05J13K-E_Bucher Emhart Glass_I00036,34.7466560706722,CDP,CHE
05J13K-E_Bucher Hydraulics_I00036,44.55838552253517,CDP,CHE
05J13K-E_Bucher Municipal_I00036,37.12233072141855,CDP,CHE
05J13K-E_Bucher Specials_I00036,24.838354478534995,CDP,CHE
05J13K-E_Kuhn Group_I00036,103.16801745497254,CDP,CHE
05J16T-E_Banking and Related Activities_I00036,154.12756664544548,CDP,CHE
05LS6N-E_Logistics_I00036,0.02199237649155786,CDP,CHE
05MBK2-E_Fresh Cheese_I00036,1683.9711608088048,CDP,CHE
05MBK2-E_Fresh Products_I00036,8421.894769890021,CDP,CHE
05MBK2-E_Powder/Concentrates_I00036,976.7934170222983,CDP,CHE
08587L-E_Banking & Related Activities_I00036,955.2410932411204,CDP,CHE
05FWCG-E_Switzerland_I00037,53.89079889954375,CDP,CHE
05GGL5-E_Farmers_I00037,22.401134139611322,CDP,CHE
05GGL5-E_Life_I00037,101.0317298880289,CDP,CHE
05GGL5-E_Property & Casualty_I00037,132.32358652662995,CDP,CHE
0BT2BZ-E_Life & Health Reinsurance_I00037,76.10815433718815,CDP,CHE
0BT2BZ-E_Property & Casualty Reinsurance_I00037,100.3284870667366,CDP,CHE
002C2M-E_Engineering & Technical_I00038,3.1876700148430928,CDP,CHE
002C2M-E_Finance & Legal_I00038,2.565891485910769,CDP,CHE
002C2M-E_Industrial_I00038,31.22115988942077,CDP,CHE
002C2M-E_Information Technology_I00038,7.2812797867730925,CDP,CHE
002C2M-E_Medical & Science_I00038,1.1450853451378105,CDP,CHE
002C2M-E_Office_I00038,14.824212981648952,CDP,CHE
002C2M-E_Solutions_I00038,1.6993404139145885,CDP,CHE
05FWCG-E_Switzerland_I00038,77.19365511298679,CDP,CHE
05GGL5-E_Farmers_I00038,32.08758189197211,CDP,CHE
05GGL5-E_Life_I00038,144.7187399649214,CDP,CHE
05GGL5-E_Property & Casualty_I00038,189.54147109028318,CDP,CHE
0BT2BZ-E_Life & Health Reinsurance_I00038,109.01799077320064,CDP,CHE
0BT2BZ-E_Property & Casualty Reinsurance_I00038,143.711408752246,CDP,CHE
002C2M-E_Engineering & Technical_I00039,3.4095860410031698,CDP,CHE
002C2M-E_Finance & Legal_I00039,2.7445211556883424,CDP,CHE
002C2M-E_Industrial_I00039,33.394683404247225,CDP,CHE
