FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HWQX-E_Forestry_I00010,915.6522539423049,CDP,CHL
0013TL-E_Wines_I00031,24765.518837076434,CDP,CHL
05HWQX-E_Cellulose_I00041,95288.42945251909,CDP,CHL
05HWQX-E_Biopackaging_I00042,172682.86438992387,CDP,CHL
05HWQX-E_Softys_I00043,348665.05390361475,CDP,CHL
Others-I00001-S,697729.1749242248,,CHL
Others-I00002-S,406467.5739489943,,CHL
Others-I00003-S,413127.3591574198,,CHL
Others-I00004-S,1.0868940753076312e6,,CHL
Others-I00005-S,4.023968523966291e6,,CHL
Others-I00006-S,2.5980503667947655e6,,CHL
Others-I00007-S,676486.4441026369,,CHL
Others-I00008-S,537014.2652596805,,CHL
Others-I00009-S,2642.6338036082157,,CHL
Others-I00010-S,8169.479401852313,,CHL
Others-I00011-S,10807.033252738529,,CHL
Others-I00012-S,2953.797022675285,,CHL
Others-I00013-S,918722.8285088157,,CHL
Others-I00014-S,1.4984866293042242e6,,CHL
Others-I00015-S,6.571405646472157e6,,CHL
Others-I00016-S,154059.04013751462,,CHL
Others-I00017-S,221633.2351313965,,CHL
Others-I00018-S,336981.4022657357,,CHL
Others-I00019-S,58123.51432675778,,CHL
Others-I00020-S,12664.065386258379,,CHL
Others-I00021-S,58956.14038230783,,CHL
Others-I00022-S,23168.644966739266,,CHL
Others-I00023-S,5969.597477063913,,CHL
Others-I00024-S,33420.472328472686,,CHL
Others-I00025-S,13249.518042133088,,CHL
Others-I00026-S,39234.01157897862,,CHL
Others-I00027-S,28492.058879894998,,CHL
Others-I00028-S,3030.006468232513,,CHL
Others-I00029-S,25101.40000207116,,CHL
Others-I00030-S,3130.139239594061,,CHL
Others-I00031-S,7359.076249049864,,CHL
Others-I00032-S,9598.494135551919,,CHL
Others-I00033-S,30884.07052155204,,CHL
Others-I00034-S,4154.87872598294,,CHL
Others-I00035-S,3961.95992896396,,CHL
Others-I00036-S,5714.321694849928,,CHL
Others-I00037-S,585.542827103226,,CHL
Others-I00038-S,1294.7454027102176,,CHL
Others-I00039-S,13999.906497327816,,CHL
Others-I00040-S,485481.65739533067,,CHL
Others-I00041-S,410214.8981453966,,CHL
Others-I00042-S,225582.63655898615,,CHL
Others-I00043-S,-14170.310632837121,,CHL
Others-I00044-S,393744.19565178355,,CHL
Others-I00045-S,2.845407690931802e6,,CHL
Others-I00046-S,1.8618742333259324e6,,CHL
Others-I00047-S,205045.8811592447,,CHL
Others-I00048-S,799544.6438370098,,CHL
Others-I00049-S,418174.04269249464,,CHL
Others-I00050-S,710746.1907728692,,CHL
Others-I00051-S,428211.93539507606,,CHL
Others-I00052-S,1.9242012957216077e6,,CHL
Others-I00053-S,27469.600440496557,,CHL
Others-I00054-S,42674.28681594645,,CHL
Others-I00055-S,489969.8531837476,,CHL
Others-I00056-S,1.2860500765042563e6,,CHL
Others-I00057-S,195485.7188824796,,CHL
Others-I00058-S,959763.5304190319,,CHL
Others-I00059-S,537439.7545657416,,CHL
Others-I00060-S,335985.79843302275,,CHL
Others-I00061-S,5256.0208349557215,,CHL
Others-I00062-S,285090.5369808861,,CHL
Others-I00063-S,387423.338767334,,CHL
Others-I00064-S,1.8632467539671347e7,,CHL
Others-I00065-S,1.6536848199163696e6,,CHL
Others-I00066-S,1.323577490527043e7,,CHL
Others-I00067-S,95736.68921716836,,CHL
Others-I00068-S,20272.739226877668,,CHL
Others-I00069-S,1.4421894960729403e7,,CHL
Others-I00070-S,12216.16128050349,,CHL
Others-I00071-S,7769.977486053564,,CHL
Others-I00072-S,17182.358628321635,,CHL
Others-I00073-S,14125.60949553394,,CHL
Others-I00074-S,54684.96770798431,,CHL
Others-I00075-S,228014.3957872464,,CHL
Others-I00076-S,989959.1655917759,,CHL
Others-I00077-S,19895.714763499564,,CHL
Others-I00078-S,86967.09850358184,,CHL
Others-I00079-S,21194.746629179295,,CHL
Others-I00080-S,8.783633731142491e6,,CHL
Others-I00081-S,1.025428940927288e7,,CHL
Others-I00082-S,1060.3279780255077,,CHL
Others-I00083-S,1.368032168065117e6,,CHL
Others-I00084-S,3.3128643725115815e6,,CHL
Others-I00085-S,23176.496077637476,,CHL
Others-I00086-S,8137.936123930378,,CHL
Others-I00087-S,4.1070094603271657e6,,CHL
Others-I00088-S,14596.017495039461,,CHL
Others-I00089-S,49232.115358043615,,CHL
Others-I00090-S,24925.989899236185,,CHL
Others-I00091-S,32257.607513936237,,CHL
Others-I00092-S,48476.82258904,,CHL
Others-I00093-S,22696.883536405803,,CHL
Others-I00094-S,133511.2477051642,,CHL
Others-I00095-S,38649.04632596092,,CHL
Others-I00096-S,33444.72962276908,,CHL
Others-I00097-S,86797.2559080631,,CHL
Others-I00098-S,169257.45692374045,,CHL
Others-I00099-S,42115.754407375935,,CHL
Others-I00100-S,103342.43225985824,,CHL
Others-I00101-S,99781.03094290206,,CHL
Others-I00102-S,42842.63578189914,,CHL
Others-I00103-S,108522.96022055631,,CHL
Others-I00104-S,175005.66479876728,,CHL
Others-I00105-S,95922.40746494013,,CHL
Others-I00106-S,64282.401197046944,,CHL
Others-I00107-S,80847.31530094432,,CHL
Others-I00108-S,99191.89940914023,,CHL
Others-I00109-S,19655.31478952265,,CHL
Others-I00110-S,21240.982844402155,,CHL
Others-I00111-S,3.290565051797963e6,,CHL
