FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.1320984925925138e6,,CIV
Others-I00002-S,1.2529281038914109e6,,CIV
Others-I00003-S,2.214902531040976e6,,CIV
Others-I00004-S,2323.405798673464,,CIV
Others-I00005-S,379805.9997879599,,CIV
Others-I00006-S,4903.427281359429,,CIV
Others-I00007-S,4.792625847198092e6,,CIV
Others-I00008-S,53369.16685687412,,CIV
Others-I00009-S,42482.27576928279,,CIV
Others-I00010-S,130153.52727842306,,CIV
Others-I00011-S,184762.86018775194,,CIV
Others-I00012-S,37860.57421319719,,CIV
Others-I00013-S,270722.3203651163,,CIV
Others-I00014-S,27685.432952440264,,CIV
Others-I00015-S,11179.819490064947,,CIV
Others-I00016-S,5640.730569632773,,CIV
Others-I00017-S,1179.0246439576947,,CIV
Others-I00018-S,49205.14267296606,,CIV
Others-I00019-S,37231.026808556664,,CIV
Others-I00020-S,725792.1095814058,,CIV
Others-I00021-S,240645.3484569626,,CIV
Others-I00022-S,465351.03450081137,,CIV
Others-I00023-S,112643.19452996274,,CIV
Others-I00024-S,105411.83125638153,,CIV
Others-I00025-S,5474.442080226749,,CIV
Others-I00026-S,95.11539186963313,,CIV
Others-I00027-S,377.28902136781295,,CIV
Others-I00028-S,129052.1577083871,,CIV
Others-I00029-S,510217.11741510086,,CIV
Others-I00030-S,63929.75604248871,,CIV
Others-I00031-S,2.511317998365826e6,,CIV
Others-I00032-S,43568.43183404674,,CIV
Others-I00033-S,14250.96247517166,,CIV
Others-I00034-S,3.9349561130810687e6,,CIV
Others-I00035-S,152227.571717972,,CIV
Others-I00036-S,86521.27698625566,,CIV
Others-I00037-S,89047.14000592631,,CIV
Others-I00038-S,2.984968589677658e6,,CIV
Others-I00039-S,161734.9593558681,,CIV
Others-I00040-S,73303.96903060787,,CIV
Others-I00041-S,23647.709228791686,,CIV
Others-I00042-S,4.596518712847168e6,,CIV
