FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,10471.618125365785,,CRI
Others-I00002-S,1849.3847367231913,,CRI
Others-I00003-S,2868.447059406416,,CRI
Others-I00004-S,197306.21339544898,,CRI
Others-I00005-S,5532.739507474956,,CRI
Others-I00006-S,19005.95050144949,,CRI
Others-I00007-S,8177.060168701386,,CRI
Others-I00008-S,8483.585008244225,,CRI
Others-I00009-S,16857.592734006164,,CRI
Others-I00010-S,51418.9912923633,,CRI
Others-I00011-S,38523.96791630434,,CRI
Others-I00012-S,13997.19016037163,,CRI
Others-I00013-S,11291.0422347955,,CRI
Others-I00014-S,208529.65274532262,,CRI
Others-I00015-S,9334.292026365358,,CRI
Others-I00016-S,223089.06318332732,,CRI
Others-I00017-S,38597.52958431328,,CRI
Others-I00018-S,90449.00934045679,,CRI
Others-I00019-S,37791.099473930946,,CRI
Others-I00020-S,9681.182575206965,,CRI
Others-I00021-S,23639.104150042516,,CRI
Others-I00022-S,2.3264310461293366e6,,CRI
Others-I00023-S,397167.91912820545,,CRI
Others-I00024-S,118215.50000275689,,CRI
Others-I00025-S,165004.3960979355,,CRI
Others-I00026-S,468.67496780578347,,CRI
Others-I00027-S,96.97013650813783,,CRI
Others-I00028-S,56.22533534624259,,CRI
Others-I00029-S,85.00955513658103,,CRI
Others-I00030-S,514.8754979801087,,CRI
Others-I00031-S,0.8845953370641768,,CRI
Others-I00032-S,5434.653062926254,,CRI
Others-I00033-S,75966.04850841303,,CRI
Others-I00034-S,2923.721939866545,,CRI
Others-I00035-S,13817.009715082573,,CRI
Others-I00036-S,30362.41674390794,,CRI
Others-I00037-S,40382.589755970344,,CRI
Others-I00038-S,13296.701219022909,,CRI
Others-I00039-S,25216.42602928804,,CRI
Others-I00040-S,32984.11025859195,,CRI
Others-I00041-S,19302.373048446407,,CRI
Others-I00042-S,5081.30765093587,,CRI
Others-I00043-S,21801.809022408346,,CRI
Others-I00044-S,4218.518819283824,,CRI
Others-I00045-S,14685.34622318002,,CRI
Others-I00046-S,12587.508770521677,,CRI
Others-I00047-S,32833.798963864254,,CRI
Others-I00048-S,5747.277788437403,,CRI
Others-I00049-S,13469.286759159757,,CRI
Others-I00050-S,2320.1354930997295,,CRI
Others-I00051-S,1294.0952382539072,,CRI
Others-I00052-S,161459.92155121002,,CRI
Others-I00053-S,44710.26576694565,,CRI
Others-I00054-S,27091.563443041163,,CRI
Others-I00055-S,93701.99365928791,,CRI
Others-I00056-S,80508.45668977979,,CRI
Others-I00057-S,20926.88539278099,,CRI
Others-I00058-S,34028.80604438985,,CRI
Others-I00059-S,47181.84600919243,,CRI
Others-I00060-S,39766.29284340505,,CRI
Others-I00061-S,19609.273924875768,,CRI
Others-I00062-S,4488.497023145763,,CRI
Others-I00063-S,3671.9559769271627,,CRI
Others-I00064-S,26596.151256852845,,CRI
Others-I00065-S,12529.10964547783,,CRI
Others-I00066-S,10077.874560701774,,CRI
Others-I00067-S,109.23989260842393,,CRI
Others-I00068-S,4514.519060034629,,CRI
Others-I00069-S,15271.457261928606,,CRI
Others-I00070-S,149.6574287708813,,CRI
Others-I00071-S,18879.890228889726,,CRI
Others-I00072-S,1249.8534422790035,,CRI
Others-I00073-S,8978.320960048686,,CRI
Others-I00074-S,1402.7531196275877,,CRI
Others-I00075-S,93875.75927809482,,CRI
Others-I00076-S,906349.502243726,,CRI
Others-I00077-S,1.3540694299814773e6,,CRI
Others-I00078-S,14270.46978268242,,CRI
Others-I00079-S,1476.9604333912644,,CRI
Others-I00080-S,2092.470639514597,,CRI
Others-I00081-S,5857.033487375553,,CRI
Others-I00082-S,309938.04959238315,,CRI
Others-I00083-S,2710.710340231648,,CRI
Others-I00084-S,22.12977740785226,,CRI
Others-I00085-S,1.5759419116025355e6,,CRI
Others-I00086-S,1.5113926194671278e6,,CRI
Others-I00087-S,2.659702808832478e6,,CRI
Others-I00088-S,178060.2971493282,,CRI
Others-I00089-S,1518.4737421771163,,CRI
Others-I00090-S,1196.3638109188469,,CRI
Others-I00091-S,7096.216310769083,,CRI
Others-I00092-S,3821.2821670362473,,CRI
Others-I00093-S,8296.848720407077,,CRI
Others-I00094-S,829.9898653186002,,CRI
Others-I00095-S,9294.382113804097,,CRI
Others-I00096-S,3899.400288133347,,CRI
Others-I00097-S,8302.099878582581,,CRI
Others-I00098-S,2181.061612186884,,CRI
Others-I00099-S,2537.3717950337596,,CRI
