FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,470358.1783040393,,CYP
Others-I00002-S,12.585261536821383,,CYP
Others-I00003-S,35.29791985511292,,CYP
Others-I00004-S,5507.312745496365,,CYP
Others-I00005-S,56121.57038,,CYP
Others-I00006-S,450.0398263518344,,CYP
Others-I00007-S,74373.69278151097,,CYP
Others-I00008-S,1022.4640564039687,,CYP
Others-I00009-S,1239.288691718687,,CYP
Others-I00010-S,0.0,,CYP
Others-I00011-S,54300.74315318765,,CYP
Others-I00012-S,221689.65512591397,,CYP
Others-I00013-S,1088.7075213667179,,CYP
Others-I00014-S,83171.25603804908,,CYP
Others-I00015-S,3670.9535383602015,,CYP
Others-I00016-S,2997.047609446838,,CYP
Others-I00017-S,0.0,,CYP
Others-I00018-S,0.0,,CYP
Others-I00019-S,779.7702065054907,,CYP
Others-I00020-S,122.46415714518109,,CYP
Others-I00021-S,27.273084104275444,,CYP
Others-I00022-S,1052.8523180791826,,CYP
Others-I00023-S,419.3039491975271,,CYP
Others-I00024-S,3.040672589347351e6,,CYP
Others-I00025-S,1399.379863750832,,CYP
Others-I00026-S,634649.6251698673,,CYP
Others-I00027-S,27165.28187676885,,CYP
Others-I00028-S,1395.6078751788443,,CYP
Others-I00029-S,4982.719321117517,,CYP
Others-I00030-S,437964.1183751533,,CYP
Others-I00031-S,258743.31335497217,,CYP
Others-I00032-S,794353.0839679799,,CYP
Others-I00033-S,734736.3464799613,,CYP
Others-I00034-S,1.609746591568659e6,,CYP
Others-I00035-S,1438.63101225727,,CYP
Others-I00036-S,9075.694583404602,,CYP
Others-I00037-S,12298.763725410767,,CYP
Others-I00038-S,1806.574643635213,,CYP
Others-I00039-S,10533.557587171348,,CYP
Others-I00040-S,4693.252928651211,,CYP
Others-I00041-S,16580.852897274573,,CYP
Others-I00042-S,1615.5193953941846,,CYP
Others-I00043-S,5226.72237277196,,CYP
Others-I00044-S,3388.3204076444226,,CYP
Others-I00045-S,5921.472233024512,,CYP
Others-I00046-S,7308.55741479746,,CYP
Others-I00047-S,576.1906229152345,,CYP
Others-I00048-S,102.18256106658923,,CYP
Others-I00049-S,963.2708024159017,,CYP
Others-I00050-S,363.41051914116287,,CYP
Others-I00051-S,488.9620452232884,,CYP
Others-I00052-S,381.54648757361576,,CYP
Others-I00053-S,996.6126691512367,,CYP
Others-I00054-S,712.8544127535474,,CYP
Others-I00055-S,8573.86995824382,,CYP
Others-I00056-S,5652.9871947828315,,CYP
Others-I00057-S,4024.0262687142617,,CYP
Others-I00058-S,493.4410594513478,,CYP
Others-I00059-S,1070.3766887411896,,CYP
Others-I00060-S,847.9877979307701,,CYP
Others-I00061-S,543.3475105696047,,CYP
Others-I00062-S,59.573582027314906,,CYP
Others-I00063-S,1083.2258047080572,,CYP
Others-I00064-S,352521.1920380778,,CYP
Others-I00065-S,0.0,,CYP
