FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HWYY-E_Distribution & Sale_C00033,1.6558665454488216e7,CDP,CZE
05HWYY-E_Mining_C00033,535435.9348389223,CDP,CZE
05HWYY-E_Power Production & Trading_C00033,6.631344281093172e6,CDP,CZE
Others-C00001-S,8.817066848626645e6,,CZE
Others-C00002-S,13345.477341360927,,CZE
Others-C00003-S,416.60234339828367,,CZE
Others-C00004-S,3.1320590519059426e6,,CZE
Others-C00005-S,493176.0954481389,,CZE
Others-C00006-S,2276.32134196011,,CZE
Others-C00007-S,12610.261325991762,,CZE
Others-C00008-S,1.2385128428861871e6,,CZE
Others-C00009-S,769307.1844956821,,CZE
Others-C00010-S,199519.27167081356,,CZE
Others-C00011-S,8399.560573458595,,CZE
Others-C00012-S,28480.404885650067,,CZE
Others-C00013-S,8526.584334655781,,CZE
Others-C00014-S,2570.2044570561434,,CZE
Others-C00015-S,1.2673965801975338e6,,CZE
Others-C00016-S,213021.6635884657,,CZE
Others-C00017-S,129640.94934512355,,CZE
Others-C00018-S,1.5359112446700942e6,,CZE
Others-C00019-S,3.9312835917499363e6,,CZE
Others-C00020-S,950897.9357988555,,CZE
Others-C00021-S,218215.07562391815,,CZE
Others-C00022-S,523006.8774095739,,CZE
Others-C00023-S,5.775304793404856e6,,CZE
Others-C00024-S,344911.9017408691,,CZE
Others-C00025-S,276311.2638742657,,CZE
Others-C00026-S,328065.19637077395,,CZE
Others-C00027-S,316465.03710297577,,CZE
Others-C00028-S,404497.9922578758,,CZE
Others-C00029-S,22726.551395610695,,CZE
Others-C00030-S,39379.249650069425,,CZE
Others-C00031-S,57956.93901034756,,CZE
Others-C00032-S,111311.66311306157,,CZE
Others-C00033-S,3.362237924709282e7,,CZE
Others-C00034-S,20308.826848102726,,CZE
Others-C00035-S,5.1262289958405895e6,,CZE
Others-C00036-S,155423.28500522862,,CZE
Others-C00037-S,100969.36883078239,,CZE
Others-C00038-S,127087.47039093649,,CZE
Others-C00039-S,136919.80864570226,,CZE
Others-C00040-S,3.201244419037873e6,,CZE
Others-C00041-S,9.729200083065785e6,,CZE
Others-C00042-S,9700.166007114889,,CZE
Others-C00043-S,993378.1440698713,,CZE
Others-C00044-S,7.679713449396841e6,,CZE
Others-C00045-S,31591.194054417698,,CZE
Others-C00046-S,41789.723136298155,,CZE
Others-C00047-S,121482.45720019292,,CZE
Others-C00048-S,135476.4027980741,,CZE
Others-C00049-S,22471.8910408277,,CZE
Others-C00050-S,16380.742352846151,,CZE
Others-C00051-S,83824.71290463541,,CZE
Others-C00052-S,153544.71714261064,,CZE
Others-C00053-S,28460.418990423543,,CZE
Others-C00054-S,178888.46654011976,,CZE
Others-C00055-S,69038.54906303805,,CZE
Others-C00056-S,41448.767850926495,,CZE
Others-C00057-S,530573.6058402071,,CZE
Others-C00058-S,69313.62787029613,,CZE
Others-C00059-S,63304.62479912443,,CZE
Others-C00060-S,135028.08545662975,,CZE
Others-C00061-S,85506.77836875732,,CZE
Others-C00062-S,91481.952978195,,CZE
Others-C00063-S,68575.63327088852,,CZE
Others-C00064-S,1300.2114581060066,,CZE
Others-C00065-S,26259.788532358885,,CZE
Others-C00066-S,12721.282057339764,,CZE
Others-C00067-S,45635.73689562749,,CZE
Others-C00068-S,18450.75520786732,,CZE
Others-C00069-S,32920.434603248745,,CZE
Others-C00070-S,49874.72549072502,,CZE
Others-C00071-S,281557.8479028207,,CZE
Others-C00072-S,173077.09290328884,,CZE
Others-C00073-S,208077.97790317883,,CZE
Others-C00074-S,23422.648860088637,,CZE
Others-C00075-S,7964.822293003424,,CZE
Others-C00076-S,15286.013590383569,,CZE
Others-C00077-S,11076.150549854541,,CZE
Others-C00078-S,25633.96199027982,,CZE
Others-C00079-S,28721.254234846252,,CZE
Others-C00080-S,17258.7470430823,,CZE
Others-C00081-S,20091.435601966496,,CZE
Others-C00082-S,7.812964145519924e6,,CZE
