FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HHL0-E_Gas_I00004,247275.96829210673,CDP,DEU
008TGL-E_Flavor & Nutrition_I00005,16707.699768695722,CDP,DEU
05HSK3-E_Accessories_I00006,288.6185693620287,CDP,DEU
05HSK3-E_Shoes_I00006,683.0427833377615,CDP,DEU
05HSK3-E_Textiles_I00006,564.5386473002097,CDP,DEU
05HWRB-E_Classifieds Media_I00009,260.9891822217976,CDP,DEU
05HWRB-E_Marketing Media_I00009,304.58556931979535,CDP,DEU
05HWRB-E_News Media_I00009,548.3164043438165,CDP,DEU
05HWRB-E_Services/Holding_I00009,7.042085467032622,CDP,DEU
003715-E_Renewables_I00010,7644.035348296583,CDP,DEU
001L0T-E_Electronics_I00011,17909.632007225107,CDP,DEU
001L0T-E_Healthcare_I00011,48592.03569091305,CDP,DEU
001L0T-E_Life Science_I00011,23513.925604101743,CDP,DEU
0028L7-E_Consumer Health_I00011,420281.82257043594,CDP,DEU
0028L7-E_Covestro_I00011,551628.5242676048,CDP,DEU
0028L7-E_Crop Science_I00011,477276.9914106374,CDP,DEU
0028L7-E_Pharmaceuticals_I00011,632793.6960489255,CDP,DEU
"002PBB-E_Adhesive for Consumers, Craftsmen and Building_I00011",10821.512081060016,CDP,DEU
002PBB-E_Adhesives Technologies_I00011,41242.17793118806,CDP,DEU
002PBB-E_Beauty Care_I00011,22193.074267898897,CDP,DEU
002PBB-E_Laundry & Home Care_I00011,29743.23571985302,CDP,DEU
002YCC-E_Agricultural Solutions_I00011,604949.3171655705,CDP,DEU
002YCC-E_Chemicals_I00011,1.5248464747111546e6,CDP,DEU
002YCC-E_Functional Materials & Solutions_I00011,1.925339553583825e6,CDP,DEU
002YCC-E_Performance Products_I00011,1.6265029063585645e6,CDP,DEU
003715-E_Renewables_I00011,6139.322620723104,CDP,DEU
006NX1-E_Advanced Intermediates_I00011,394.29708978067634,CDP,DEU
006NX1-E_Consumer Protection_I00011,450.22422354474804,CDP,DEU
006NX1-E_Performance Polymer_I00011,851.6471643455571,CDP,DEU
00846Z-E_Biosolutions_I00011,35467.91396981357,CDP,DEU
00846Z-E_Polymers_I00011,209190.51237903742,CDP,DEU
00846Z-E_Polysilicon_I00011,176151.9075852385,CDP,DEU
00846Z-E_Silicones_I00011,349604.5827526829,CDP,DEU
008TGL-E_Scent & Care_I00011,45047.30023130427,CDP,DEU
