FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HWX4-E_Beverages_C00012,5218.995000599366,CDP,DNK
003G89-E_Diabetes and Obesity Care_C00023,11981.98143189378,CDP,DNK
003G89-E_Rare Disease_C00023,3127.0185681062194,CDP,DNK
00455M-E_Abilify Maintena_C00023,93.72419542428784,CDP,DNK
00455M-E_Azilect_C00023,204.11980976560156,CDP,DNK
00455M-E_Brintellix/Trintellix_C00023,88.1203571328506,CDP,DNK
00455M-E_Cipralex/Lexapro_C00023,362.9886253278472,CDP,DNK
00455M-E_Northera_C00023,66.54557971081724,CDP,DNK
00455M-E_Onfi_C00023,246.1485969513808,CDP,DNK
00455M-E_Sabril_C00023,137.99451792664206,CDP,DNK
00455M-E_Xenazine_C00023,308.35120198633416,CDP,DNK
05HZ4Y-E_Cement_C00026,3706.461961412306,CDP,DNK
05HZ4Y-E_Mining_C00026,955.3586873324492,CDP,DNK
05HZ4Y-E_Product Companies_C00026,4709.130525762655,CDP,DNK
05J1DS-E_Insulation_C00026,53485.43348883554,CDP,DNK
05J1DS-E_System_C00026,17452.566511164452,CDP,DNK
05HWPS-E_Hearing Devices_C00029,24.287069470856867,CDP,DNK
05HWPS-E_Diagnostics_C00030,6.6867773469164185,CDP,DNK
05HZ4Y-E_Mining_C00035,206.55369638166562,CDP,DNK
05HWPS-E_Diagnostics_C00039,1.9272222481272032,CDP,DNK
05HWPS-E_Hearing Devices_C00039,17.22724397585131,CDP,DNK
05HWPS-E_Hearing Implants_C00039,32.780696911103455,CDP,DNK
05HWWD-E_Chronic Care_C00039,1146.4571895647437,CDP,DNK
05HWWD-E_Skin and Hair Care_C00039,213.16245487364623,CDP,DNK
05HWWD-E_Urology_C00039,154.3803555616103,CDP,DNK
06FVBQ-E_Installation_C00041,1003.0,CDP,DNK
05HH9B-E_Power Solutions_C00042,3849.9741864746816,CDP,DNK
05HH9B-E_Service_C00042,601.4098317375689,CDP,DNK
00455M-E_Abilify Maintena_C00054,20.510475701687596,CDP,DNK
00455M-E_Azilect_C00054,44.6693020887277,CDP,DNK
00455M-E_Brintellix/Trintellix_C00054,19.284139336863223,CDP,DNK
00455M-E_Cipralex/Lexapro_C00054,79.4359380314986,CDP,DNK
00455M-E_Northera_C00054,14.5627443322894,CDP,DNK
00455M-E_Onfi_C00054,53.866824824910466,CDP,DNK
00455M-E_Sabril_C00054,30.198532983800128,CDP,DNK
00455M-E_Xenazine_C00054,67.47915847446096,CDP,DNK
05HH9B-E_Power Solutions_C00054,55.88595836682395,CDP,DNK
05HH9B-E_Service_C00054,8.73002342092597,CDP,DNK
05HWPS-E_Diagnostics_C00054,42.367973871746266,CDP,DNK
05HWPS-E_Hearing Devices_C00054,378.7230161753984,CDP,DNK
05HWX4-E_Beverages_C00054,16356.004999400637,CDP,DNK
05HZ61-E_Road_C00058,699583.9949270078,CDP,DNK
00606S-E_Dry Cargo_C00059,3.0543946772531307,CDP,DNK
00606S-E_Tanker Operator_C00059,1.2456053227468689,CDP,DNK
05HZ61-E_Air and Sea_C00059,335187.2941766407,CDP,DNK
05HZ61-E_Air and Sea_C00060,315330.81091893435,CDP,DNK
05HZ61-E_Air and Sea_C00061,546649.3481059915,CDP,DNK
05HZ61-E_Road_C00061,788989.5807168499,CDP,DNK
05HZ61-E_Solutions_C00061,364543.5035036688,CDP,DNK
062N2M-E_Catering Services_C00064,664.5372178476205,CDP,DNK
05G8VG-E_Banking DK_C00072,307.4651162790698,CDP,DNK
05G8VG-E_Banking Nordic_C00072,213.0031807420431,CDP,DNK
05G8VG-E_Corporates and Institutions_C00072,91.90986364078294,CDP,DNK
05G8VG-E_Corporates and Institutions_C00073,73.74640624008242,CDP,DNK
05G8VG-E_Danica Pension_C00074,645.7581764907742,CDP,DNK
05G8VG-E_Danske Capital_C00074,51.63195892616741,CDP,DNK
05HXMM-E_Life Insurance_C00074,440.602067556171,CDP,DNK
05HXMM-E_Non-Life Insurance_C00074,624.3721704166245,CDP,DNK
05G8VG-E_Banking Nordic_C00075,59.717485519868696,CDP,DNK
05G8VG-E_Corporates and Institutions_C00075,25.76781216121155,CDP,DNK
003P21-E_Household Care_C00084,1063.1203602775008,CDP,DNK
05HZ4Y-E_Customer Services_C00087,295.8259374431938,CDP,DNK
062N2M-E_Catering Services_C00087,239.3527821523794,CDP,DNK
062N2M-E_Facility Management_C00087,208.59,CDP,DNK
062N2M-E_Support Services_C00087,486.70999999999987,CDP,DNK
062N2M-E_Security Services_C00092,486.70999999999987,CDP,DNK
062N2M-E_Cleaning Services_C00093,3476.5,CDP,DNK
062N2M-E_Property Services_C00093,1390.5999999999997,CDP,DNK
Others-C00001-S,1.0630806785908582e7,,DNK
Others-C00002-S,1312.4721318899801,,DNK
Others-C00003-S,1310.9098704795383,,DNK
Others-C00004-S,2.192182592291271e6,,DNK
Others-C00005-S,6148.011414885808,,DNK
Others-C00006-S,234681.5386941009,,DNK
Others-C00007-S,254616.4240446225,,DNK
Others-C00008-S,91268.65184438742,,DNK
Others-C00009-S,230547.42946951865,,DNK
Others-C00010-S,85078.60459514963,,DNK
Others-C00011-S,222397.05726949108,,DNK
Others-C00012-S,45243.05664637305,,DNK
Others-C00013-S,8898.596395108178,,DNK
Others-C00014-S,4815.888481708964,,DNK
Others-C00015-S,1950.91535769291,,DNK
Others-C00016-S,250.6996175534156,,DNK
Others-C00017-S,1.2007099632541414e6,,DNK
Others-C00018-S,31570.406245867875,,DNK
Others-C00019-S,25455.039557835025,,DNK
Others-C00020-S,1.996713914563641e6,,DNK
Others-C00021-S,140100.0323529113,,DNK
Others-C00022-S,187901.84053272105,,DNK
Others-C00023-S,706038.3955674816,,DNK
Others-C00024-S,19496.023494215628,,DNK
Others-C00025-S,25397.270121387086,,DNK
Others-C00026-S,153679.0071074047,,DNK
Others-C00027-S,103246.00781612267,,DNK
Others-C00028-S,49869.139375073704,,DNK
Others-C00029-S,10117.364210270009,,DNK
Others-C00030-S,24952.72950697122,,DNK
Others-C00031-S,11371.183476663233,,DNK
Others-C00032-S,2759.4378818752057,,DNK
Others-C00033-S,11442.31223927698,,DNK
Others-C00034-S,89162.37782828422,,DNK
Others-C00035-S,50382.90378463823,,DNK
Others-C00036-S,7894.642855067772,,DNK
Others-C00037-S,5614.733017421285,,DNK
Others-C00038-S,13930.568665409857,,DNK
Others-C00039-S,5627.715809195937,,DNK
Others-C00040-S,26278.397294739883,,DNK
Others-C00041-S,7060.014675505108,,DNK
Others-C00042-S,1.0890125605759723e7,,DNK
Others-C00043-S,184762.5040607199,,DNK
Others-C00044-S,7830.361357212799,,DNK
Others-C00045-S,3212.815936050979,,DNK
Others-C00046-S,291544.3176006757,,DNK
Others-C00047-S,1.0594154493585066e6,,DNK
Others-C00048-S,94221.79476822398,,DNK
Others-C00049-S,123636.70401618486,,DNK
Others-C00050-S,127063.66182720814,,DNK
Others-C00051-S,39058.34641898813,,DNK
Others-C00052-S,13096.478487295884,,DNK
Others-C00053-S,10920.0382775881,,DNK
Others-C00054-S,140973.20516049518,,DNK
Others-C00055-S,1.0757988283917129e6,,DNK
Others-C00056-S,129169.16845608462,,DNK
Others-C00057-S,2.430645690731146e6,,DNK
Others-C00058-S,3.4791046483090534e6,,DNK
Others-C00059-S,2.554490911878074e6,,DNK
Others-C00060-S,2.403167007355449e6,,DNK
Others-C00061-S,3.012535160529618e6,,DNK
Others-C00062-S,22607.676835819082,,DNK
Others-C00063-S,8693.334113486133,,DNK
Others-C00064-S,25554.8541506016,,DNK
Others-C00065-S,51783.17569681081,,DNK
Others-C00066-S,4652.91815556367,,DNK
Others-C00067-S,8270.010055082563,,DNK
Others-C00068-S,6807.2133240957355,,DNK
Others-C00069-S,25705.581111823616,,DNK
Others-C00070-S,37001.66901935789,,DNK
Others-C00071-S,5698.030223501848,,DNK
Others-C00072-S,37006.788141782505,,DNK
Others-C00073-S,30111.026050785524,,DNK
Others-C00074-S,14977.764757931815,,DNK
Others-C00075-S,10461.408936994223,,DNK
Others-C00076-S,6517.630277756114,,DNK
Others-C00077-S,33775.57643634066,,DNK
Others-C00078-S,40023.54209761894,,DNK
Others-C00079-S,64883.952030535256,,DNK
Others-C00080-S,7727.196443376621,,DNK
Others-C00081-S,9198.640987263352,,DNK
Others-C00082-S,17447.934378703754,,DNK
Others-C00083-S,35247.01448578495,,DNK
Others-C00084-S,9898.693202951674,,DNK
Others-C00085-S,2005.486474470944,,DNK
Others-C00086-S,10456.595751314744,,DNK
Others-C00087-S,8213.212471556686,,DNK
Others-C00088-S,680.2703087193572,,DNK
Others-C00089-S,14792.803343577096,,DNK
Others-C00090-S,13523.309295151481,,DNK
Others-C00091-S,158818.5673237338,,DNK
Others-C00092-S,1651.1723172211225,,DNK
Others-C00093-S,7867.428936313022,,DNK
Others-C00094-S,11230.249226060627,,DNK
Others-C00095-S,49920.13209091281,,DNK
Others-C00096-S,24293.059139496003,,DNK
Others-C00097-S,2929.02270224002,,DNK
Others-C00098-S,33275.977787784745,,DNK
Others-C00099-S,20001.67358585064,,DNK
Others-C00100-S,25486.65298622044,,DNK
Others-C00101-S,3878.5637249745823,,DNK
Others-C00102-S,2441.8685185171116,,DNK
Others-C00103-S,51461.46971817959,,DNK
Others-C00104-S,22275.808807351947,,DNK
Others-C00105-S,16875.814736522578,,DNK
Others-C00106-S,55989.811681882085,,DNK
Others-C00107-S,6879.057074489476,,DNK
Others-C00108-S,760.0382527574145,,DNK
Others-C00109-S,5575.12012660503,,DNK
Others-C00110-S,3375.910931411954,,DNK
Others-C00111-S,2570.5864557917207,,DNK
Others-C00112-S,2772.6611862980376,,DNK
Others-C00113-S,2695.081369838012,,DNK
Others-C00114-S,13725.61131328271,,DNK
Others-C00115-S,2755.9719152058324,,DNK
Others-C00116-S,6793.520563874139,,DNK
Others-C00117-S,2.1318345547779854e6,,DNK
