FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.4369297423650865e6,,DOM
Others-I00002-S,29888.029778735065,,DOM
Others-I00003-S,46270.134013483555,,DOM
Others-I00004-S,449413.3609263708,,DOM
Others-I00005-S,6.190634560354724e6,,DOM
Others-I00006-S,285645.0711122355,,DOM
Others-I00007-S,47578.437088431325,,DOM
Others-I00008-S,9110.014479282196,,DOM
Others-I00009-S,365613.7862644583,,DOM
Others-I00010-S,17797.66987908394,,DOM
Others-I00011-S,7633.521825406523,,DOM
Others-I00012-S,61978.102822173445,,DOM
Others-I00013-S,39200.32356189555,,DOM
Others-I00014-S,13911.320362212558,,DOM
Others-I00015-S,2259.9968419519028,,DOM
Others-I00016-S,8895.531979108688,,DOM
Others-I00017-S,99657.4754709914,,DOM
Others-I00018-S,353708.59603547916,,DOM
Others-I00019-S,57563.87759625898,,DOM
Others-I00020-S,197159.3016931035,,DOM
Others-I00021-S,580243.8883042696,,DOM
Others-I00022-S,28469.749642244366,,DOM
Others-I00023-S,505124.2211571245,,DOM
Others-I00024-S,9774.512867719544,,DOM
Others-I00025-S,2932.540027071089,,DOM
Others-I00026-S,32698.64315745778,,DOM
Others-I00027-S,21851.04751597416,,DOM
Others-I00028-S,1.699686777701819e6,,DOM
Others-I00029-S,1803.3087812988108,,DOM
Others-I00030-S,190143.65228907962,,DOM
Others-I00031-S,7.927609355044158e6,,DOM
Others-I00032-S,7.358210225890329e6,,DOM
Others-I00033-S,62711.72422505474,,DOM
Others-I00034-S,19519.927462186348,,DOM
Others-I00035-S,31853.007754491875,,DOM
Others-I00036-S,11281.631589433091,,DOM
Others-I00037-S,4.610049728666302e6,,DOM
Others-I00038-S,12606.515638273331,,DOM
Others-I00039-S,14355.979372346428,,DOM
Others-I00040-S,5.883735981411806e6,,DOM
