FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,584282.776829297,,ECU
Others-I00002-S,2.871952279763059e6,,ECU
Others-I00003-S,195465.64160702645,,ECU
Others-I00004-S,187443.05156503915,,ECU
Others-I00005-S,314623.1343690079,,ECU
Others-I00006-S,51770.801162641765,,ECU
Others-I00007-S,8.230908730241591e6,,ECU
Others-I00008-S,492406.3159204887,,ECU
Others-I00009-S,1512.33443756456,,ECU
Others-I00010-S,723.4956481382728,,ECU
Others-I00011-S,256.6446124497875,,ECU
Others-I00012-S,7.539674684242745e6,,ECU
Others-I00013-S,1.3254584806372866e6,,ECU
Others-I00014-S,128.30392205820422,,ECU
Others-I00015-S,112.01320060107257,,ECU
Others-I00016-S,12097.284205695754,,ECU
Others-I00017-S,11125.244484481304,,ECU
Others-I00018-S,2068.725228357879,,ECU
Others-I00019-S,4684.484983768907,,ECU
Others-I00020-S,5436.178624060117,,ECU
Others-I00021-S,349229.4123740486,,ECU
Others-I00022-S,5312.335791533256,,ECU
Others-I00023-S,3849.934386071371,,ECU
Others-I00024-S,543.6425385349548,,ECU
Others-I00025-S,1864.6888936121888,,ECU
Others-I00026-S,3314.979411662692,,ECU
Others-I00027-S,1953.977311927146,,ECU
Others-I00028-S,1007.3344192946456,,ECU
Others-I00029-S,4298.194784660842,,ECU
Others-I00030-S,4227.580996891468,,ECU
Others-I00031-S,3194.426729661562,,ECU
Others-I00032-S,425.7141432626816,,ECU
Others-I00033-S,3186.5734537043113,,ECU
Others-I00034-S,3621.0534980105476,,ECU
Others-I00035-S,1772.6312652714078,,ECU
Others-I00036-S,242776.4949770025,,ECU
Others-I00037-S,209538.56600548353,,ECU
Others-I00038-S,761445.1757899006,,ECU
Others-I00039-S,88853.63871769347,,ECU
Others-I00040-S,406189.6060298245,,ECU
Others-I00041-S,35932.71279835289,,ECU
Others-I00042-S,178634.05447684723,,ECU
Others-I00043-S,1860.525286458793,,ECU
Others-I00044-S,86057.0504488507,,ECU
Others-I00045-S,243734.95090490876,,ECU
Others-I00046-S,202148.0572232121,,ECU
Others-I00047-S,229404.08244939867,,ECU
Others-I00048-S,5188.947313126616,,ECU
Others-I00049-S,154644.23180319232,,ECU
Others-I00050-S,149566.9374924657,,ECU
Others-I00051-S,1.234711620914918e6,,ECU
Others-I00052-S,8737.58208072437,,ECU
Others-I00053-S,312566.91158369486,,ECU
Others-I00054-S,4.862092494820854e6,,ECU
Others-I00055-S,16178.432996100953,,ECU
Others-I00056-S,8453.46716019311,,ECU
Others-I00057-S,39078.20507315126,,ECU
Others-I00058-S,1.91029925157472e7,,ECU
Others-I00059-S,12709.81250449151,,ECU
Others-I00060-S,62885.35256895171,,ECU
Others-I00061-S,56004.75203695803,,ECU
Others-I00062-S,15513.326734270295,,ECU
Others-I00063-S,88710.9372280859,,ECU
Others-I00064-S,7.255232585040835e6,,ECU
Others-I00065-S,112275.8416823376,,ECU
Others-I00066-S,26087.727613181596,,ECU
Others-I00067-S,56009.77924582415,,ECU
Others-I00068-S,19867.438035117557,,ECU
Others-I00069-S,45908.053519496636,,ECU
Others-I00070-S,5.879035102905395e6,,ECU
Others-I00071-S,2.4187025249906806e6,,ECU
