FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05DZH8-E_Downstream_I00004,652117.8715223384,CDP,ESP
05DZH8-E_Exploration and Production_I00004,63620.83443661813,CDP,ESP
05HK52-E_Fresh/Premium Pasta_I00005,51625.874674902945,CDP,ESP
05HK52-E_Rice_I00005,52704.727760910864,CDP,ESP
05HFQP-E_Bershka_I00006,528.4609607777164,CDP,ESP
05HFQP-E_Zara/Zara Home_I00006,3840.107682730444,CDP,ESP
05DZH8-E_Downstream_I00010,6.815072015372841e6,CDP,ESP
05DZH8-E_Exploration and Production_I00010,664880.6715747442,CDP,ESP
003G1Q-E_Biofuels_I00011,417740.03217146645,CDP,ESP
05HTSQ-E_Chlorine Derivatives_I00011,130996.26849954028,CDP,ESP
05HTSQ-E_Intermediate Chemistry_I00011,62700.37696377725,CDP,ESP
00394S-E_Bioscience_I00012,23386.529972710665,CDP,ESP
00394S-E_Diagnostic_I00012,5333.136855046118,CDP,ESP
00394S-E_Hospital_I00012,742.3331722432125,CDP,ESP
009BRJ-E_Commercialization through Licensees_I00012,179.4015356994094,CDP,ESP
009BRJ-E_Commercialization through Own Network_I00012,2110.2121282645585,CDP,ESP
009BRJ-E_Dermatology in the United States_I00012,1916.5911103056546,CDP,ESP
05HTSQ-E_Pharmacy_I00012,16415.98550171619,CDP,ESP
05HLL9-E_Cements_I00014,184057.9272048796,CDP,ESP
05HWMK-E_Flat Stainless Steel_I00015,141813.96007693183,CDP,ESP
05HWMK-E_Long Stainless Steel_I00015,21571.19999761133,CDP,ESP
05HVZW-E_Automotive_I00016,10859.942277654409,CDP,ESP
05HVZW-E_Solutions and Services_I00016,8298.344138363995,CDP,ESP
05HVZW-E_Automotive_I00020,4769.713583981595,CDP,ESP
003G1Q-E_Solar_I00024,54040.572470723906,CDP,ESP
003HR3-E_Distribution_I00024,2.428525157323176e6,CDP,ESP
003HR3-E_Generation and Supply_I00024,2.5624151273959156e7,CDP,ESP
05HDYL-E_Electricity Distribution_I00024,2.045010681179775e6,CDP,ESP
05HDYL-E_Electricity_I00024,3.4087662816011235e6,CDP,ESP
05HDYL-E_Gas Distribution_I00024,2.8252781548455055e6,CDP,ESP
05HDYL-E_Gas_I00024,5.908984882373595e6,CDP,ESP
05HFXJ-E_Liberalised_I00024,4.2820965682217255e6,CDP,ESP
05HFXJ-E_Networks_I00024,1.479123932517721e6,CDP,ESP
05HFXJ-E_Renewables_I00024,293755.4992605523,CDP,ESP
05HJVH-E_Energy_I00024,282731.99193866673,CDP,ESP
05HJVH-E_Water_I00024,47080.84385870005,CDP,ESP
05HTSN-E_Infrastructures_I00024,31182.492544154768,CDP,ESP
