FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.620844994439346e6,,EST
Others-I00002-S,6055.212818217517,,EST
Others-I00003-S,773.9117853847539,,EST
Others-I00004-S,4.601490775695017e6,,EST
Others-I00005-S,97216.32417604758,,EST
Others-I00006-S,8011.722574475491,,EST
Others-I00007-S,379809.65591133264,,EST
Others-I00008-S,20028.639846440365,,EST
Others-I00009-S,21170.32091004542,,EST
Others-I00010-S,14828.865446294536,,EST
Others-I00011-S,220110.0802036281,,EST
Others-I00012-S,23150.977823658915,,EST
Others-I00013-S,5882.371774235771,,EST
Others-I00014-S,74042.10859982662,,EST
Others-I00015-S,363346.32880662585,,EST
Others-I00016-S,13866.03465851708,,EST
Others-I00017-S,20477.31922885091,,EST
Others-I00018-S,11987.139896825222,,EST
Others-I00019-S,4637.946449681294,,EST
Others-I00020-S,5015.361533422694,,EST
Others-I00021-S,954.3991380166542,,EST
Others-I00022-S,17587.998356337765,,EST
Others-I00023-S,8469.26055436451,,EST
Others-I00024-S,1.244453910772243e7,,EST
Others-I00025-S,2436.3582104831494,,EST
Others-I00026-S,1.6863193050400126e6,,EST
Others-I00027-S,117716.92100339057,,EST
Others-I00028-S,13625.020737606017,,EST
Others-I00029-S,45908.41860460461,,EST
Others-I00030-S,236041.32834686383,,EST
Others-I00031-S,1.0223230171422835e6,,EST
Others-I00032-S,947152.2518869617,,EST
Others-I00033-S,154635.3647450708,,EST
Others-I00034-S,1.2969782246912685e6,,EST
Others-I00035-S,3087.526413251351,,EST
Others-I00036-S,18675.952126894197,,EST
Others-I00037-S,11914.607758633732,,EST
Others-I00038-S,4460.166893383386,,EST
Others-I00039-S,12036.298969078769,,EST
Others-I00040-S,19255.03898791884,,EST
Others-I00041-S,18717.59211076681,,EST
Others-I00042-S,4602.949479640141,,EST
Others-I00043-S,3627.2287653403146,,EST
Others-I00044-S,60122.6065418559,,EST
Others-I00045-S,14610.140050161452,,EST
Others-I00046-S,6968.15124561855,,EST
Others-I00047-S,5596.70043254056,,EST
Others-I00048-S,7048.511391142635,,EST
Others-I00049-S,3738.1752820426937,,EST
Others-I00050-S,7503.588782747429,,EST
Others-I00051-S,4575.457850908217,,EST
Others-I00052-S,4819.001511979252,,EST
Others-I00053-S,11664.815357208961,,EST
Others-I00054-S,42986.5803157397,,EST
Others-I00055-S,25922.453029893863,,EST
Others-I00056-S,22391.033454072603,,EST
Others-I00057-S,3360.475421865123,,EST
Others-I00058-S,6954.467101844815,,EST
Others-I00059-S,6362.743375830827,,EST
Others-I00060-S,4309.224782974734,,EST
Others-I00061-S,770.2634543656809,,EST
Others-I00062-S,3061.6982217709683,,EST
Others-I00063-S,164769.95521641203,,EST
