FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HXRV-E_Ball Sports_I00006,84.78838692554844,CDP,FIN
002V9S-E_Biomaterials_I00007,43823.83541846585,CDP,FIN
002V9S-E_Wood Products_I00007,310229.87573617185,CDP,FIN
002V58-E_UPM Biorefining_I00008,200289.3794749403,CDP,FIN
002V58-E_UPM Com Papers_I00008,604710.6205250598,CDP,FIN
002V9S-E_Biomaterials_I00008,51335.30355234382,CDP,FIN
002V9S-E_Consumer Board_I00008,235900.4050415837,CDP,FIN
002V9S-E_Packaging Solutions_I00008,89866.82096822235,CDP,FIN
002V9S-E_Paper_I00008,356836.0481238198,CDP,FIN
003MF9-E_Fiber Packaging_I00008,7506.68175224052,CDP,FIN
003MF9-E_Foodservice Europe-Asia-Oceania_I00008,12330.812493661202,CDP,FIN
003MF9-E_North America_I00008,17532.757316093077,CDP,FIN
05HX7G-E_Non-core Operations_I00008,39646.805100182166,CDP,FIN
05HX7G-E_Paperboard_I00008,175150.19489981784,CDP,FIN
05HXKW-E_Pulp & Paper_I00008,663.553596956485,CDP,FIN
05KSLM-E_Filtration_I00008,5863.9757358790785,CDP,FIN
05KSLM-E_Food and Medical Operations_I00008,4579.0242641209215,CDP,FIN
05HX60-E_Consumer Media_I00009,1881.9673921004965,CDP,FIN
05HX60-E_Learning_I00009,376.55457128481993,CDP,FIN
063XQ2-E_Alma Markets_I00009,14.554212462745452,CDP,FIN
063XQ2-E_Alma News and Life_I00009,8.471855015627948,CDP,FIN
063XQ2-E_Alma Regions_I00009,30.894514017104772,CDP,FIN
063XQ2-E_Alma Talent_I00009,13.588758899710925,CDP,FIN
05LP7T-E_Oil Products_I00010,192030.93271535946,CDP,FIN
05LP7T-E_Renewable Products_I00010,105339.67753053743,CDP,FIN
002V9S-E_Biomaterials_I00011,72007.71115939255,CDP,FIN
003MF9-E_Flexible Packaging_I00011,63638.44071743572,CDP,FIN
003MF9-E_Foodservice Europe-Asia-Oceania_I00011,17296.35402854544,CDP,FIN
003MF9-E_North America_I00011,24593.089692314003,CDP,FIN
05HXKW-E_Municipal & Industrial_I00011,1112.594409729604,CDP,FIN
05HXKW-E_Oil & Mining_I00011,643.0894879417768,CDP,FIN
05HXKW-E_Pulp & Paper_I00011,930.7625053721342,CDP,FIN
05LP7T-E_Oil Products_I00011,112921.9006934394,CDP,FIN
05LP7T-E_Renewable Products_I00011,61943.960990982836,CDP,FIN
05JTW6-E_Heavy Tyres_I00013,140.03017241379314,CDP,FIN
05JTW6-E_Passenger Car Tyres_I00013,979.6616379310344,CDP,FIN
05JTW6-E_Vianor_I00013,359.3081896551724,CDP,FIN
05LP7T-E_Oil Products_I00013,1712.3797109777195,CDP,FIN
05LP7T-E_Renewable Products_I00013,939.3357831136553,CDP,FIN
05HHKF-E_APAC_I00015,47184.757957559676,CDP,FIN
05HHKF-E_Coil Americas_I00015,128947.6591511936,CDP,FIN
05HHKF-E_Coil EMEA_I00015,453477.94098143233,CDP,FIN
05HHKF-E_Long Products_I00015,46704.505968169746,CDP,FIN
05HHKF-E_Quarto Plate_I00015,47905.13594164457,CDP,FIN
000RCG-E_Global Services_I00017,1082.8786387627963,CDP,FIN
000RCG-E_Nokia Technologies_I00017,201.51688426994863,CDP,FIN
000RCG-E_Ultra Broadband Networks_I00017,1211.0984997155285,CDP,FIN
002CKG-E_Flow Control_I00019,0.0,CDP,FIN
002CKG-E_Minerals_I00019,0.0,CDP,FIN
05HX0F-E_New Equipment_I00019,39743.33485222199,CDP,FIN
05HZJ9-E_Industrial Equipment_I00019,19040.79100658598,CDP,FIN
0DH64Z-E_Paper_I00019,2482.0179517007864,CDP,FIN
0DH64Z-E_Pulp and Energy_I00019,3438.6682699587523,CDP,FIN
05HJM0-E_City Solutions_I00024,410077.72715089784,CDP,FIN
05HJM0-E_Generation_I00024,559756.0975609756,CDP,FIN
05HJM0-E_Russia_I00024,305166.1752881265,CDP,FIN
05J0K7-E_Environmental Services_I00026,14215.175699044115,CDP,FIN
05J0K7-E_Facility Services_I00026,15669.830185828954,CDP,FIN
05J0K7-E_Industrial Services_I00026,4212.319942427137,CDP,FIN
05J0K7-E_Renewable Energy Sources_I00026,2201.6392232419175,CDP,FIN
05HZCP-E_Business Premises & Infrastructure_I00027,3246.0127234171473,CDP,FIN
05HZCP-E_Housing_I00027,5588.987276582853,CDP,FIN
05HZ28-E_Car Trade_I00028,406.0895343075635,CDP,FIN
000RCG-E_Global Services_I00029,1154.4097720152704,CDP,FIN
000RCG-E_Nokia Technologies_I00029,214.8283769759144,CDP,FIN
000RCG-E_Ultra Broadband Networks_I00029,1291.0993835301733,CDP,FIN
05J0B1-E_Stockman Retail_I00029,1.6033425439490328,CDP,FIN
05HXRV-E_Ball Sports_I00030,4716.52343996605,CDP,FIN
05HZ28-E_Building and Technical Trade_I00030,13390.792194415957,CDP,FIN
05HZ28-E_Grocery Trade_I00030,19195.350911173045,CDP,FIN
05J0B1-E_Stockman Retail_I00030,9.914565994023857,CDP,FIN
05LP7T-E_Oil Products_I00030,29011.23821542385,CDP,FIN
05LP7T-E_Renewable Products_I00030,15914.282325047092,CDP,FIN
0FB2RK-E_Discount Stores_I00030,317.03536858170656,CDP,FIN
05J0B1-E_Stockman Retail_I00031,92.59971132993073,CDP,FIN
05LP7T-E_Oil Products_I00031,270958.1322764292,CDP,FIN
05LP7T-E_Renewable Products_I00031,148635.64882322104,CDP,FIN
05HZWM-E_Airline Business_I00033,2.2090689385569915e6,CDP,FIN
05HMFJ-E_Industry Products_I00037,21.269689125031913,CDP,FIN
05HMFJ-E_Managed Services_I00037,26.509295470466604,CDP,FIN
05HMFJ-E_Product Development Services_I00037,7.366575257937883,CDP,FIN
05HX60-E_Consumer Media_I00037,4778.015969327894,CDP,FIN
05HX60-E_Learning_I00037,956.0121830347912,CDP,FIN
063XQ2-E_Alma Markets_I00037,36.95083127363525,CDP,FIN
063XQ2-E_Alma News and Life_I00037,21.508692830922012,CDP,FIN
063XQ2-E_Alma Regions_I00037,78.4362587566387,CDP,FIN
063XQ2-E_Alma Talent_I00037,34.49969818749029,CDP,FIN
05HX60-E_Consumer Media_I00039,272.85544028345083,CDP,FIN
05HX60-E_Learning_I00039,54.59444396854836,CDP,FIN
05HXDY-E_Consumer Customers_I00039,43.5402514267844,CDP,FIN
05HXDY-E_Corporate Customers_I00039,25.963841956391068,CDP,FIN
05HMFJ-E_Consulting and System Integration_I00040,5.030705724745599,CDP,FIN
05HMFJ-E_Industry Products_I00040,4.045752952339144,CDP,FIN
05HMFJ-E_Managed Services_I00040,5.042389655232444,CDP,FIN
05HMFJ-E_Product Development Services_I00040,1.4012119981272158,CDP,FIN
05HXDY-E_Consumer Customers_I00040,145.0254192288484,CDP,FIN
05HXDY-E_Corporate Customers_I00040,86.48128894820363,CDP,FIN
063XQ2-E_Alma Markets_I00040,7.028496459817022,CDP,FIN
063XQ2-E_Alma News and Life_I00040,4.091214357206923,CDP,FIN
063XQ2-E_Alma Regions_I00040,14.919528140241768,CDP,FIN
063XQ2-E_Alma Talent_I00040,6.5622612054344645,CDP,FIN
05HZ7G-E_Corporate Banking_I00041,410.09332251355204,CDP,FIN
05HZ7G-E_Insurance_I00042,465.86601437539497,CDP,FIN
05HZJX-E_Logistics Properties_I00044,0.0,CDP,FIN
05HZJX-E_Office Properties_I00044,0.0,CDP,FIN
05HZJX-E_Property Development_I00044,0.0,CDP,FIN
05HZJX-E_Russia_I00044,0.0,CDP,FIN
05HZJX-E_Shopping Centers_I00044,0.0,CDP,FIN
05J0B1-E_Real Estate_I00044,0.3166093806009634,CDP,FIN
05HZJX-E_Logistics Properties_I00045,0.0,CDP,FIN
05HZJX-E_Office Properties_I00045,0.0,CDP,FIN
05HZJX-E_Property Development_I00045,0.0,CDP,FIN
05HZJX-E_Russia_I00045,0.0,CDP,FIN
05HZJX-E_Shopping Centers_I00045,0.0,CDP,FIN
05LP7T-E_Oil Products_I00045,6375.1485414965855,CDP,FIN
0DH64Z-E_Automation_I00046,597.708098824875,CDP,FIN
05HYXL-E_Energy Solutions_I00047,3233.612326043738,CDP,FIN
05HYXL-E_Marine Solutions_I00047,4939.4433399602385,CDP,FIN
05HYXL-E_Services_I00047,6271.9443339960235,CDP,FIN
05HZWM-E_Airline Business_I00053,6544.902802610818,CDP,FIN
Others-I00001-S,5.05652995074888e6,,FIN
Others-I00002-S,15490.900472777943,,FIN
Others-I00003-S,671.1828627720079,,FIN
Others-I00004-S,8.312483879789896e6,,FIN
Others-I00005-S,268755.43074478663,,FIN
Others-I00006-S,11760.71639918054,,FIN
Others-I00007-S,1.2068729132292045e6,,FIN
Others-I00008-S,26259.299757182365,,FIN
Others-I00009-S,162295.52375895836,,FIN
Others-I00010-S,4.064212203302397e6,,FIN
Others-I00011-S,2.209697958537129e6,,FIN
Others-I00012-S,617412.9884447748,,FIN
Others-I00013-S,34762.42433531194,,FIN
Others-I00014-S,249270.66655595825,,FIN
Others-I00015-S,2.4413896808151607e6,,FIN
Others-I00016-S,77498.66569336943,,FIN
Others-I00017-S,97461.1341400497,,FIN
Others-I00018-S,65083.45770022856,,FIN
Others-I00019-S,82479.4960599113,,FIN
Others-I00020-S,12615.92652114842,,FIN
Others-I00021-S,12773.322600060741,,FIN
Others-I00022-S,30554.6287457126,,FIN
Others-I00023-S,21967.904903115086,,FIN
Others-I00024-S,1.7213908828717425e7,,FIN
Others-I00025-S,4135.208571512125,,FIN
Others-I00026-S,1.3745665376947641e7,,FIN
Others-I00027-S,975098.2726559598,,FIN
Others-I00028-S,36617.08319429774,,FIN
Others-I00029-S,103897.4686453464,,FIN
Others-I00030-S,576374.7354271163,,FIN
Others-I00031-S,5.734563438304192e6,,FIN
Others-I00032-S,1.349071674012109e6,,FIN
Others-I00033-S,-118189.24615371996,,FIN
Others-I00034-S,4.10678372063833e6,,FIN
Others-I00035-S,17402.135827133265,,FIN
Others-I00036-S,53315.67773219258,,FIN
Others-I00037-S,411987.38372395287,,FIN
Others-I00038-S,16537.522402495844,,FIN
Others-I00039-S,23470.562045932227,,FIN
Others-I00040-S,79219.14364562772,,FIN
Others-I00041-S,43504.12263010649,,FIN
Others-I00042-S,18581.61045450878,,FIN
Others-I00043-S,16954.26814092145,,FIN
Others-I00044-S,95898.83606553018,,FIN
Others-I00045-S,138423.07703200736,,FIN
Others-I00046-S,39870.98624178779,,FIN
