FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
001YMJ-E_Early Life Nutrition_I00013,11868.660360521148,CDP,FRA
001YMJ-E_Fresh Dairy Products_I00013,26277.88898804212,CDP,FRA
001YMJ-E_Medical Nutrition_I00013,3785.8982687845787,CDP,FRA
001YMJ-E_Water_I00018,11331.55238265215,CDP,FRA
002LGW-E_Wines and Spirits_I00018,4948.41101403625,CDP,FRA
002LGW-E_Fashion and Leather Goods_I00021,58.70315911473501,CDP,FRA
002LGW-E_Fashion and Leather Goods_I00022,35.18771311895401,CDP,FRA
002LGW-E_Watches and Jewelry_I00022,9.177384069019446,CDP,FRA
05HG4G-E_Airbus_I00024,256683.41547944242,CDP,FRA
005M9Z-E_Vaccines_I00028,18881.279220296856,CDP,FRA
05H41J-E_Active Cosmetic_I00028,1442.8183354036562,CDP,FRA
05H41J-E_Consumer Products_I00028,9408.703919059619,CDP,FRA
05H41J-E_Professional Products_I00028,2040.9680473085382,CDP,FRA
0631PJ-E_Coating Solutions_I00028,251446.44509639472,CDP,FRA
0631PJ-E_High Performance Materials_I00028,456656.1182442908,CDP,FRA
0631PJ-E_Industrial Specialties_I00028,333176.7390406528,CDP,FRA
05H41J-E_Active Cosmetic_I00029,487.3962766579099,CDP,FRA
05H41J-E_Consumer Products_I00029,3178.3400209170377,CDP,FRA
05H41J-E_Professional Products_I00029,689.4563249070736,CDP,FRA
05H41J-E_Professional Products_I00030,911.3170757461656,CDP,FRA
0631PJ-E_Coating Solutions_I00030,112273.89833672123,CDP,FRA
0631PJ-E_High Performance Materials_I00030,203902.51520535958,CDP,FRA
0631PJ-E_Industrial Specialties_I00030,148767.4694023618,CDP,FRA
005M9Z-E_Pharmaceuticals_I00031,301736.56449926435,CDP,FRA
005M9Z-E_Vaccines_I00031,13386.521060171595,CDP,FRA
0631PJ-E_Coating Solutions_I00031,178271.45573748092,CDP,FRA
0631PJ-E_High Performance Materials_I00031,323761.78927336994,CDP,FRA
0631PJ-E_Industrial Specialties_I00031,236216.9099820596,CDP,FRA
05HGJH-E_Passenger Car and Light Truck Tires and Related Distribution_I00032,87663.67801790088,CDP,FRA
05HGJH-E_Passenger Car and Light Truck Tires and Related Distribution_I00033,360377.99926255015,CDP,FRA
002X73-E_Exterior Solutions_I00034,50441.53026641187,CDP,FRA
002X73-E_Flat Glass_I00034,122269.40345265021,CDP,FRA
002X73-E_Exterior Solutions_I00035,263328.9146852221,CDP,FRA
002X73-E_Flat Glass_I00035,638304.7687162533,CDP,FRA
