FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
000VLZ-E_Diamonds & Minerals_I00004,45188.59821967205,CDP,GBR
002JWK-E_Coal_I00004,233.3720615032325,CDP,GBR
002JWK-E_Niobium and Phosphates_I00004,2.733965058526976,CDP,GBR
05HWXC-E_Mining_I00004,0.0,CDP,GBR
000VLZ-E_Aluminium_I00005,3.0578787251297827e6,CDP,GBR
000VLZ-E_Copper & Coal_I00005,2.3288480356948697e6,CDP,GBR
000VLZ-E_Iron Ore_I00005,4.725671988832676e6,CDP,GBR
001LLD-E_Downstream_I00005,91192.54702080153,CDP,GBR
001LLD-E_Upstream_I00005,11471.203315537672,CDP,GBR
002JWK-E_Copper_I00005,6.47745105763366,CDP,GBR
002JWK-E_Iron Ore and Manganese_I00005,6.341160981803486,CDP,GBR
002JWK-E_Nickel_I00005,0.273100148478852,CDP,GBR
002JWK-E_Platinum_I00005,9.165689914701199,CDP,GBR
00G44L-E_Gas and Liquefied Petroleum Gas_I00005,23105.776249822065,CDP,GBR
00G44L-E_Oil and Gas Condensate_I00005,45527.667390195405,CDP,GBR
05HZ98-E_West Africa_I00005,1685.59,CDP,GBR
05J0ZV-E_Oil and Gas_I00005,27299.66431614529,CDP,GBR
066L2H-E_Upstream_I00005,289431.9385256137,CDP,GBR
000VLZ-E_Diamonds & Minerals_I00006,73.4779470959192,CDP,GBR
001LLD-E_Downstream_I00006,5.623417013692228,CDP,GBR
002JWK-E_Niobium and Phosphates_I00006,0.004445505013366062,CDP,GBR
000VLZ-E_Aluminium_I00007,965326.6847208876,CDP,GBR
000VLZ-E_Copper & Coal_I00007,735182.5744563058,CDP,GBR
000VLZ-E_Diamonds & Minerals_I00007,376157.8448514487,CDP,GBR
000VLZ-E_Iron Ore_I00007,1.4918241317319078e6,CDP,GBR
001LLD-E_Downstream_I00007,28788.12634503934,CDP,GBR
001LLD-E_Upstream_I00007,3621.287716659611,CDP,GBR
00G44L-E_Gas and Liquefied Petroleum Gas_I00007,7294.148784202262,CDP,GBR
00G44L-E_Oil and Gas Condensate_I00007,14372.405244091986,CDP,GBR
05J0ZV-E_Oil and Gas_I00007,8618.096666727417,CDP,GBR
002BV8-E_Foods_I00008,1160.5375570841131,CDP,GBR
002BV8-E_Refreshment_I00008,911.43466522622,CDP,GBR
004TXG-E_Goods In-store and Online_I00008,15594.73910090644,CDP,GBR
009856-E_Specialist International Food Packing_I00008,1225.0,CDP,GBR
002BV8-E_Foods_I00009,534.6930623389777,CDP,GBR
002BV8-E_Refreshment_I00009,419.92418883552557,CDP,GBR
004TXG-E_Goods In-store and Online_I00009,7184.9452482964425,CDP,GBR
004TXG-E_Goods In-store and Online_I00010,1290.6738014161183,CDP,GBR
002BV8-E_Foods_I00011,526.0119735383913,CDP,GBR
002BV8-E_Refreshment_I00011,413.1064471636048,CDP,GBR
004TXG-E_Goods In-store and Online_I00011,7068.29300026658,CDP,GBR
004TXG-E_Goods In-store and Online_I00012,4556.9367462522605,CDP,GBR
