FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,29940.69740253907,,GEO
Others-I00002-S,43432.981116330026,,GEO
Others-I00003-S,24283.70795306541,,GEO
Others-I00004-S,2.251868900482899e6,,GEO
Others-I00005-S,11022.838795758704,,GEO
Others-I00006-S,39999.65142838344,,GEO
Others-I00007-S,138.93170053600468,,GEO
Others-I00008-S,74955.67390683705,,GEO
Others-I00009-S,4509.146843912404,,GEO
Others-I00010-S,5203.290284412337,,GEO
Others-I00011-S,219367.3642371343,,GEO
Others-I00012-S,6915.410645278403,,GEO
Others-I00013-S,7690.084096998106,,GEO
Others-I00014-S,817.0698897663913,,GEO
Others-I00015-S,2391.1101543158316,,GEO
Others-I00016-S,1.5929441604472715e6,,GEO
Others-I00017-S,377405.37669731095,,GEO
Others-I00018-S,82727.50145759292,,GEO
Others-I00019-S,305900.72590796306,,GEO
Others-I00020-S,331309.92957092583,,GEO
Others-I00021-S,196219.83359769458,,GEO
Others-I00022-S,42521.79563076088,,GEO
Others-I00023-S,29840.091439572414,,GEO
Others-I00024-S,65746.6547757509,,GEO
Others-I00025-S,933037.9112757165,,GEO
Others-I00026-S,18905.31917640521,,GEO
Others-I00027-S,8359.583893617199,,GEO
Others-I00028-S,10634.10913885647,,GEO
Others-I00029-S,18915.10835185024,,GEO
Others-I00030-S,3757.131726971308,,GEO
Others-I00031-S,1.2997881972008878e6,,GEO
Others-I00032-S,190917.19920005227,,GEO
Others-I00033-S,53774.9920271503,,GEO
Others-I00034-S,1.0340414558693183e6,,GEO
Others-I00035-S,1.4728119114512284e6,,GEO
Others-I00036-S,2563.021931311707,,GEO
Others-I00037-S,62207.66888348933,,GEO
Others-I00038-S,31724.43949018706,,GEO
Others-I00039-S,1.0820642265600797e6,,GEO
Others-I00040-S,64759.17100076207,,GEO
Others-I00041-S,30662.923086682866,,GEO
Others-I00042-S,40820.36670051126,,GEO
Others-I00043-S,1.6447823696325773e6,,GEO
Others-I00044-S,17959.37153255231,,GEO
Others-I00045-S,1.4019183652374465e6,,GEO
