FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,5.361981312807384e6,,GHA
Others-I00002-S,235340.90910460614,,GHA
Others-I00003-S,13174.08384900372,,GHA
Others-I00004-S,4.208987628905645e6,,GHA
Others-I00005-S,2.0683744828395098e6,,GHA
Others-I00006-S,3.6053664683847926e6,,GHA
Others-I00007-S,140909.19845061953,,GHA
Others-I00008-S,1916.8612556112444,,GHA
Others-I00009-S,48694.17545886092,,GHA
Others-I00010-S,3.6110832380184974e6,,GHA
Others-I00011-S,8.46860701183333e6,,GHA
Others-I00012-S,33618.00457876705,,GHA
Others-I00013-S,48248.954188684496,,GHA
Others-I00014-S,34152.02077112034,,GHA
Others-I00015-S,8092.861283183819,,GHA
Others-I00016-S,1.1446702545270592e6,,GHA
Others-I00017-S,27276.660086741762,,GHA
Others-I00018-S,26586.576877711068,,GHA
Others-I00019-S,16429.09853769494,,GHA
Others-I00020-S,5.207155170916282e6,,GHA
