FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003KSM-E_OTE_I00039,9764.88575511566,CDP,GRC
003K19-E_Corporate & Investment Banking_I00041,579.162088251017,CDP,GRC
003K19-E_International Banking_I00041,380.64155129463273,CDP,GRC
003K19-E_Retail Banking_I00041,528.2372548578576,CDP,GRC
05HJMN-E_Corporate_I00041,221.8665529099643,CDP,GRC
05HJMN-E_Retail_I00041,302.23903520055876,CDP,GRC
003K19-E_Insurance_I00042,111.34412724945038,CDP,GRC
05HJMN-E_Management Property_I00043,22.619800405137354,CDP,GRC
Others-I00001-S,7.1316882260929365e6,,GRC
Others-I00002-S,194.29781272199503,,GRC
Others-I00003-S,2103.1312464970197,,GRC
Others-I00004-S,3.6042879643590446e6,,GRC
Others-I00005-S,681756.8963646195,,GRC
Others-I00006-S,22094.924347987166,,GRC
Others-I00007-S,97527.34484093102,,GRC
Others-I00008-S,63519.38705388646,,GRC
Others-I00009-S,28171.149272623185,,GRC
Others-I00010-S,6.6517085072430605e6,,GRC
Others-I00011-S,3.810871837041127e6,,GRC
Others-I00012-S,2.386360505824423e6,,GRC
Others-I00013-S,54551.84822028548,,GRC
Others-I00014-S,529469.2003961611,,GRC
Others-I00015-S,1.5488973279929804e6,,GRC
Others-I00016-S,159814.34669526797,,GRC
Others-I00017-S,15141.246165298533,,GRC
Others-I00018-S,58202.16130271796,,GRC
Others-I00019-S,27526.89019665437,,GRC
Others-I00020-S,3607.9358823229377,,GRC
Others-I00021-S,8234.389314032042,,GRC
Others-I00022-S,33802.603999524435,,GRC
Others-I00023-S,6148.968305187218,,GRC
Others-I00024-S,3.0673010129855588e7,,GRC
Others-I00025-S,9492.475549843366,,GRC
Others-I00026-S,5.078543849470419e6,,GRC
Others-I00027-S,380967.86639340786,,GRC
Others-I00028-S,19078.610602435656,,GRC
Others-I00029-S,109625.50614085543,,GRC
Others-I00030-S,2.252339246561937e6,,GRC
Others-I00031-S,8.906537477943445e6,,GRC
Others-I00032-S,7.507246999095597e6,,GRC
Others-I00033-S,2.981316508691558e6,,GRC
Others-I00034-S,5.75428541670213e6,,GRC
Others-I00035-S,19852.804325325,,GRC
Others-I00036-S,124233.42336775457,,GRC
Others-I00037-S,64510.32630173353,,GRC
Others-I00038-S,6604.588799032757,,GRC
Others-I00039-S,50817.23369978351,,GRC
Others-I00040-S,9607.763533025147,,GRC
Others-I00041-S,45650.69044410829,,GRC
Others-I00042-S,12035.06124035221,,GRC
Others-I00043-S,6376.57695495364,,GRC
Others-I00044-S,84057.85450198282,,GRC
Others-I00045-S,100453.90159677717,,GRC
Others-I00046-S,29221.849856147193,,GRC
Others-I00047-S,9899.007509306703,,GRC
Others-I00048-S,5063.698707111851,,GRC
Others-I00049-S,7708.010968035349,,GRC
Others-I00050-S,7374.029956166081,,GRC
Others-I00051-S,4996.887884537967,,GRC
Others-I00052-S,979.453914270849,,GRC
Others-I00053-S,41744.32954476657,,GRC
Others-I00054-S,17466.860007628376,,GRC
Others-I00055-S,131362.66213029617,,GRC
Others-I00056-S,60623.1271030979,,GRC
Others-I00057-S,59329.58094513746,,GRC
Others-I00058-S,2423.30046633884,,GRC
Others-I00059-S,17190.33504807645,,GRC
Others-I00060-S,3229.859972710796,,GRC
Others-I00061-S,32390.284733051878,,GRC
Others-I00062-S,3613.530693968712,,GRC
Others-I00063-S,6005.284566230483,,GRC
Others-I00064-S,5.363356485245655e6,,GRC
Others-I00065-S,0.0,,GRC
