FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003L1W-E_Hong Kong Transport Operations_I00023,22962.218163382215,CDP,HKG
05HWFT-E_Airline Services_I00025,335.718187009317,CDP,HKG
05HWFT-E_Airline_I00025,30762.623279638916,CDP,HKG
05HZXG-E_HAECO Hong Kong_I00025,8111.539155575061,CDP,HKG
05HZXG-E_HAECO Xiamen_I00025,3827.716382123622,CDP,HKG
05HWFT-E_Airline Services_I00026,10.658533351765591,CDP,HKG
05HZXG-E_HAECO Hong Kong_I00026,257.52882616827037,CDP,HKG
05HZXG-E_HAECO Xiamen_I00026,121.52407673651567,CDP,HKG
003LC6-E_Electricity_I00028,1.6847822773369487e7,CDP,HKG
003LC6-E_Gas_I00028,1.5947024735170193e6,CDP,HKG
003LC6-E_Transfer for SoC from Revenue_I00028,44474.75311349469,CDP,HKG
003NLB-E_Hotel Management and Related Services_I00028,153.16498633751044,CDP,HKG
003NLB-E_Hotel Properties_I00028,6427.7810232733445,CDP,HKG
003NLB-E_Investment Properties_I00028,249.05399038914524,CDP,HKG
003S4P-E_Aviation_I00028,9378.290989466073,CDP,HKG
003S4P-E_Beverages_I00028,13314.92458628453,CDP,HKG
003S4P-E_Marine Services_I00028,4643.010040919624,CDP,HKG
003S4P-E_Property_I00028,12678.332862237272,CDP,HKG
003S4P-E_Trading & Industrial_I00028,7168.441521092505,CDP,HKG
0088KB-E_Three Garden Road_I00028,36.56249185165262,CDP,HKG
0092QM-E_Biochemical and Biofuel_I00028,139214.8463155419,CDP,HKG
0092QM-E_Brewing Materials_I00028,24916.65135709316,CDP,HKG
0092QM-E_Oilseeds Processing_I00028,390855.47538258537,CDP,HKG
0092QM-E_Rice Processing and Trading_I00028,95075.2320238396,CDP,HKG
0092QM-E_Wheat Processing_I00028,81189.62356650068,CDP,HKG
05HX8K-E_Hong Kong Property_I00028,1311.869387181405,CDP,HKG
064T8Z-E_Construction Contracts_I00028,49398.5391089724,CDP,HKG
064T8Z-E_Facade Contracting_I00028,4066.4608910275983,CDP,HKG
0DHBSN-E_Electricity_I00028,537029.6659750807,CDP,HKG
003L1W-E_Hong Kong Property Rental and Management_I00029,18.43998468578029,CDP,HKG
0088KB-E_Three Garden Road_I00029,15.511728771581309,CDP,HKG
003L1W-E_Hong Kong Station Commercial_I00030,49.85335657605698,CDP,HKG
0088KB-E_Three Garden Road_I00030,27.035728630327625,CDP,HKG
Others-I00001-S,31619.998788537723,,HKG
Others-I00002-S,70119.1995344092,,HKG
Others-I00003-S,34035.00305895158,,HKG
Others-I00004-S,3780.5383496062395,,HKG
Others-I00005-S,1421.5490578558313,,HKG
Others-I00006-S,47258.88564690642,,HKG
Others-I00007-S,82242.54539663519,,HKG
Others-I00008-S,1935.9492538917495,,HKG
Others-I00009-S,157565.74597761655,,HKG
Others-I00010-S,55644.10589694138,,HKG
Others-I00011-S,3820.7685011446383,,HKG
Others-I00012-S,132202.75679886955,,HKG
Others-I00013-S,109358.43628056055,,HKG
Others-I00014-S,276140.50859344983,,HKG
Others-I00015-S,10795.048346114138,,HKG
Others-I00016-S,15532.107627159387,,HKG
Others-I00017-S,3.7703701975361615e7,,HKG
Others-I00018-S,3281.446786408089,,HKG
Others-I00019-S,0.0,,HKG
Others-I00020-S,306841.4290133657,,HKG
Others-I00021-S,57552.53106934164,,HKG
Others-I00022-S,53527.97426402004,,HKG
Others-I00023-S,6.693647463591566e6,,HKG
Others-I00024-S,2.7548236711970825e7,,HKG
Others-I00025-S,1.9214883432538234e7,,HKG
Others-I00026-S,611019.5047506253,,HKG
Others-I00027-S,1.5145954380226657e6,,HKG
Others-I00028-S,-1.97324324521091e7,,HKG
Others-I00029-S,55829.69819593931,,HKG
Others-I00030-S,97289.078402382,,HKG
Others-I00031-S,14374.725280453717,,HKG
Others-I00032-S,12679.526879280073,,HKG
Others-I00033-S,19174.515634081254,,HKG
Others-I00034-S,42086.206670101594,,HKG
Others-I00035-S,770117.1389599999,,HKG
