FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,5.607734740549389e6,,HND
Others-I00002-S,3186.9812765571187,,HND
Others-I00003-S,3.5461582081546364e6,,HND
Others-I00004-S,637812.3617505027,,HND
Others-I00005-S,348595.43806949956,,HND
Others-I00006-S,2.4214572475160966e6,,HND
Others-I00007-S,30447.540978229397,,HND
Others-I00008-S,4.206418870305528e6,,HND
Others-I00009-S,65847.68894998604,,HND
Others-I00010-S,47591.818735275396,,HND
Others-I00011-S,25618.676076398617,,HND
Others-I00012-S,1.1607043326641407e6,,HND
Others-I00013-S,35654.26094903732,,HND
Others-I00014-S,34684.7401379057,,HND
Others-I00015-S,20592.48686076866,,HND
Others-I00016-S,3.779451633482035e6,,HND
