FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HWHN-E_T-Systems_I00051,3038.704767877571,CDP,HUN
Others-I00001-S,6.901009130296305e6,,HUN
Others-I00002-S,3626.841939096901,,HUN
Others-I00003-S,329.27835737168635,,HUN
Others-I00004-S,136467.46273988718,,HUN
Others-I00005-S,2.0207262293226756e6,,HUN
Others-I00006-S,0.0,,HUN
Others-I00007-S,65.01361667209157,,HUN
Others-I00008-S,3468.6579909802617,,HUN
Others-I00009-S,751240.0730477248,,HUN
Others-I00010-S,12359.263414945108,,HUN
Others-I00011-S,7454.588793438511,,HUN
Others-I00012-S,11924.515424568577,,HUN
Others-I00013-S,6688.251579022561,,HUN
Others-I00014-S,1.3633957849229882e6,,HUN
Others-I00015-S,62716.145277672935,,HUN
Others-I00016-S,116814.27137596047,,HUN
Others-I00017-S,1.884825264641284e6,,HUN
Others-I00018-S,3.8970048579804944e6,,HUN
Others-I00019-S,64712.99513382326,,HUN
Others-I00020-S,367995.9461017364,,HUN
Others-I00021-S,1.7236489450965489e6,,HUN
Others-I00022-S,87705.03704721425,,HUN
Others-I00023-S,122665.955496293,,HUN
Others-I00024-S,45002.70359063187,,HUN
Others-I00025-S,198619.38249278744,,HUN
Others-I00026-S,222157.99475077057,,HUN
Others-I00027-S,23429.96373267156,,HUN
Others-I00028-S,178599.8513056918,,HUN
Others-I00029-S,6779.920193404131,,HUN
Others-I00030-S,34299.30184637355,,HUN
Others-I00031-S,1.6040934091002932e6,,HUN
Others-I00032-S,1.2431453309804145e7,,HUN
Others-I00033-S,23885.779653993526,,HUN
Others-I00034-S,519417.7348113874,,HUN
Others-I00035-S,128249.60858291517,,HUN
Others-I00036-S,529363.9080218824,,HUN
Others-I00037-S,1.2122153529103661e6,,HUN
Others-I00038-S,139626.79213317303,,HUN
Others-I00039-S,8.744874036398727e6,,HUN
Others-I00040-S,19370.543460482713,,HUN
Others-I00041-S,541828.9825486705,,HUN
Others-I00042-S,3.2896712515335637e6,,HUN
Others-I00043-S,196908.53601059553,,HUN
Others-I00044-S,182541.91019379208,,HUN
Others-I00045-S,48765.4902973475,,HUN
Others-I00046-S,33518.76069166171,,HUN
Others-I00047-S,435912.70541607845,,HUN
Others-I00048-S,26446.982834147468,,HUN
Others-I00049-S,102605.25997077356,,HUN
Others-I00050-S,28612.842471133856,,HUN
Others-I00051-S,504335.68439082813,,HUN
Others-I00052-S,371239.20800982125,,HUN
Others-I00053-S,229500.6975988789,,HUN
Others-I00054-S,218542.23887494343,,HUN
Others-I00055-S,1.2654271545276213e6,,HUN
Others-I00056-S,53597.69793585787,,HUN
Others-I00057-S,157650.9611257626,,HUN
Others-I00058-S,75642.70319023746,,HUN
Others-I00059-S,6.752205538609999e6,,HUN
