FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
009310-E_Europe_I00006,1.0999557805237772,CDP,IRL
009310-E_Europe_I00007,0.46931148601696443,CDP,IRL
009310-E_Europe_I00008,3595.1760297971823,CDP,IRL
00B7VX-E_Product_I00010,44.793341041184924,CDP,IRL
00B7VX-E_Royalties_I00010,2.2066589588150753,CDP,IRL
009310-E_Europe_I00011,1403.2547029362763,CDP,IRL
05HGDN-E_Europe Heavyside_I00012,2.0991256017785906e6,CDP,IRL
05HGDN-E_Europe Lightside_I00012,559262.4627971237,CDP,IRL
05HGDN-E_LH Assets_I00012,1.4071765192959886e6,CDP,IRL
"00C5YS-E_Communications, Media & Technology_I00036",1842.129872024008,CDP,IRL
00C5YS-E_Financial Services_I00036,2254.48145569519,CDP,IRL
00C5YS-E_Health & Public Service_I00036,1667.0312233675256,CDP,IRL
00C5YS-E_Products_I00036,2337.5773595782093,CDP,IRL
00C5YS-E_Resources_I00036,1347.3971592072196,CDP,IRL
"00C5YS-E_Communications, Media & Technology_I00037",695.9461301455486,CDP,IRL
00C5YS-E_Health & Public Service_I00037,629.7948621069368,CDP,IRL
00C5YS-E_Products_I00037,883.1233573813421,CDP,IRL
00C5YS-E_Resources_I00037,509.0389407176115,CDP,IRL
00C5YS-E_Financial Services_I00039,293.2112030724939,CDP,IRL
"00C5YS-E_Communications, Media & Technology_I00040",597.7308804072198,CDP,IRL
00C5YS-E_Financial Services_I00040,731.5299566223384,CDP,IRL
00C5YS-E_Health & Public Service_I00040,540.9151960143718,CDP,IRL
00C5YS-E_Products_I00040,758.4927612218089,CDP,IRL
00C5YS-E_Resources_I00040,437.20092837223274,CDP,IRL
"00C5YS-E_Communications, Media & Technology_I00041",161.89958934097027,CDP,IRL
00C5YS-E_Financial Services_I00041,198.140004891646,CDP,IRL
00C5YS-E_Health & Public Service_I00041,146.51066386825318,CDP,IRL
00C5YS-E_Products_I00041,205.44306908863229,CDP,IRL
00C5YS-E_Resources_I00041,118.41892912531623,CDP,IRL
05HZQY-E_Data and Flooring_I00042,346.9433010128681,CDP,IRL
05HZQY-E_Insulated Panels_I00042,3504.1470641242845,CDP,IRL
05HZQY-E_Insulation Boards_I00042,1307.299715243485,CDP,IRL
05HZQY-E_Water and Energy_I00042,313.6099196193634,CDP,IRL
"00C5YS-E_Communications, Media & Technology_I00045",66.63987654628248,CDP,IRL
00C5YS-E_Financial Services_I00045,81.55688052457393,CDP,IRL
00C5YS-E_Health & Public Service_I00045,60.30560418736989,CDP,IRL
00C5YS-E_Products_I00045,84.56291221667277,CDP,IRL
00C5YS-E_Resources_I00045,48.74269817346008,CDP,IRL
"00C5YS-E_Communications, Media & Technology_I00049",103.31968215533406,CDP,IRL
00C5YS-E_Financial Services_I00049,126.44727766755747,CDP,IRL
00C5YS-E_Health & Public Service_I00049,93.49891055841131,CDP,IRL
00C5YS-E_Products_I00049,131.10788412532617,CDP,IRL
00C5YS-E_Resources_I00049,75.5715698119224,CDP,IRL
Others-I00001-S,2.2913620111972816e7,,IRL
Others-I00002-S,2.268486502139414e6,,IRL
Others-I00003-S,829313.5273507625,,IRL
Others-I00004-S,3362.111004205383,,IRL
Others-I00005-S,468299.01597432146,,IRL
Others-I00006-S,199.36100271440077,,IRL
Others-I00007-S,85.06015432109001,,IRL
Others-I00008-S,651606.1017415156,,IRL
Others-I00009-S,444147.1205286893,,IRL
Others-I00010-S,880178.0337405016,,IRL
Others-I00011-S,254332.28280127872,,IRL
Others-I00012-S,-3.180837132722091e6,,IRL
Others-I00013-S,934041.1618493773,,IRL
Others-I00014-S,23462.743648804175,,IRL
Others-I00015-S,11342.909555223865,,IRL
Others-I00016-S,31460.39469090543,,IRL
Others-I00017-S,14632.478680128559,,IRL
Others-I00018-S,1191.9439690583665,,IRL
Others-I00019-S,1821.8964983365768,,IRL
Others-I00020-S,35377.85670906555,,IRL
Others-I00021-S,1.1907543844716027e7,,IRL
Others-I00022-S,9225.974728938141,,IRL
Others-I00023-S,1.0496536722316337e6,,IRL
Others-I00024-S,76429.95346503617,,IRL
Others-I00025-S,119991.12290357013,,IRL
Others-I00026-S,71127.26896177874,,IRL
Others-I00027-S,329165.195104049,,IRL
Others-I00028-S,3.2385260043442547e6,,IRL
Others-I00029-S,713527.2159786674,,IRL
Others-I00030-S,2.473810725482348e6,,IRL
Others-I00031-S,7.81170417947347e6,,IRL
Others-I00032-S,75302.79030518355,,IRL
Others-I00033-S,23844.825259965164,,IRL
Others-I00034-S,174668.2968898698,,IRL
Others-I00035-S,20224.743101494405,,IRL
Others-I00036-S,329375.871733386,,IRL
Others-I00037-S,125288.05077524667,,IRL
Others-I00038-S,82483.54481593694,,IRL
Others-I00039-S,43773.30162694387,,IRL
Others-I00040-S,106875.27127486182,,IRL
Others-I00041-S,28947.9146841414,,IRL
Others-I00042-S,33596.0254039829,,IRL
Others-I00043-S,13321.948882933586,,IRL
Others-I00044-S,8388.00642967609,,IRL
Others-I00045-S,11915.320283862677,,IRL
Others-I00046-S,83456.91607067546,,IRL
Others-I00047-S,9688.979339816051,,IRL
Others-I00048-S,48161.2735977013,,IRL
Others-I00049-S,18473.73026948341,,IRL
Others-I00050-S,73359.4623489479,,IRL
Others-I00051-S,62130.11951637947,,IRL
Others-I00052-S,103983.76406195888,,IRL
Others-I00053-S,7314.895342441143,,IRL
Others-I00054-S,6427.89956482891,,IRL
Others-I00055-S,12822.817510209818,,IRL
Others-I00056-S,1030.4348422254752,,IRL
Others-I00057-S,7846.850595165293,,IRL
Others-I00058-S,6.445587316572588e6,,IRL
