FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003LCJ-E_Delta Israel_I00049,22.225070221966785,CDP,ISR
003LCJ-E_Delta USA_I00049,86.80309583196298,CDP,ISR
003LCJ-E_Global Division Upper Market_I00049,2867.096807967624,CDP,ISR
003B3F-E_Fertilizers_I00055,648894.7843945655,CDP,ISR
003B3F-E_Industrial Products_I00055,252118.35572018236,CDP,ISR
003B3F-E_Performance Products_I00055,318706.992476879,CDP,ISR
00115K-E_Generics_I00059,39118.103108924195,CDP,ISR
00115K-E_Specialty_I00059,34167.89689107581,CDP,ISR
003LCJ-E_Delta Israel_I00105,267.4605874204428,CDP,ISR
003LCJ-E_Delta USA_I00105,1044.6044385580028,CDP,ISR
05HWWZ-E_Banking_I00119,269.16066803380664,CDP,ISR
05HWWZ-E_Commercial_I00119,299.9519274907991,CDP,ISR
05HWWZ-E_Financial Management_I00119,375.35296284401943,CDP,ISR
05HWWZ-E_Households_I00119,658.3321473170619,CDP,ISR
05HWWZ-E_Private Banking_I00119,97.030017605937,CDP,ISR
05HWWZ-E_Small- and Micro-businesses_I00119,239.87142123325296,CDP,ISR
05HWWZ-E_Banking_I00120,199.46077416931595,CDP,ISR
05HWWZ-E_Commercial_I00120,222.2785524643549,CDP,ISR
05HWWZ-E_Financial Management_I00120,278.1542827283038,CDP,ISR
05HWWZ-E_Households_I00120,487.85523057149106,CDP,ISR
05HWWZ-E_Private Banking_I00120,71.90382818826903,CDP,ISR
05HWWZ-E_Small- and Micro-businesses_I00120,177.75605823013257,CDP,ISR
Others-I00001-S,144136.96967108565,,ISR
Others-I00002-S,5324.695736044449,,ISR
Others-I00003-S,6455.363796545722,,ISR
Others-I00004-S,23828.982692893052,,ISR
Others-I00005-S,5823.533886949924,,ISR
Others-I00006-S,41693.23059878969,,ISR
Others-I00007-S,37165.20983604494,,ISR
Others-I00008-S,37372.49376636407,,ISR
Others-I00009-S,35200.39388333197,,ISR
Others-I00010-S,35117.51916102213,,ISR
Others-I00011-S,4497.365187701998,,ISR
Others-I00012-S,41606.65587036021,,ISR
Others-I00013-S,22634.077328037733,,ISR
Others-I00014-S,15296.524365029447,,ISR
Others-I00015-S,10936.97906461174,,ISR
Others-I00016-S,10715.060374809762,,ISR
Others-I00017-S,0.0,,ISR
Others-I00018-S,0.0,,ISR
Others-I00019-S,0.0,,ISR
Others-I00020-S,0.0,,ISR
Others-I00021-S,0.20354453092183938,,ISR
Others-I00022-S,53248.67952730576,,ISR
Others-I00023-S,19692.05137987464,,ISR
Others-I00024-S,7.530014644350851,,ISR
Others-I00025-S,0.738192443885325,,ISR
Others-I00026-S,0.5440288006444227,,ISR
Others-I00027-S,8431.003660484626,,ISR
Others-I00028-S,29584.881317069656,,ISR
Others-I00029-S,106434.95384018087,,ISR
Others-I00030-S,53738.92304816394,,ISR
Others-I00031-S,18596.041839828496,,ISR
Others-I00032-S,1.1267866185987361e6,,ISR
Others-I00033-S,424803.7529831638,,ISR
Others-I00034-S,341891.8124452024,,ISR
Others-I00035-S,87016.31135295011,,ISR
Others-I00036-S,2.826601945604057e6,,ISR
Others-I00037-S,14076.57811884904,,ISR
Others-I00038-S,7424.401225865186,,ISR
Others-I00039-S,1945.9519652355812,,ISR
Others-I00040-S,10544.112097242123,,ISR
Others-I00041-S,2505.9346664482982,,ISR
Others-I00042-S,9199.464115232706,,ISR
Others-I00043-S,1579.6395845877776,,ISR
Others-I00044-S,10965.46292500499,,ISR
Others-I00045-S,1291.0019625186696,,ISR
Others-I00046-S,4205.720477038648,,ISR
Others-I00047-S,633.4118258437277,,ISR
Others-I00048-S,3890.1086968562695,,ISR
Others-I00049-S,891.4936002972072,,ISR
Others-I00050-S,649.299022787035,,ISR
Others-I00051-S,42435.29180060522,,ISR
Others-I00052-S,172948.46663527866,,ISR
Others-I00053-S,109673.96410533518,,ISR
Others-I00054-S,4.5519796803415585e6,,ISR
Others-I00055-S,-708639.9846500297,,ISR
Others-I00056-S,28506.258753347836,,ISR
Others-I00057-S,159318.4129265307,,ISR
Others-I00058-S,173498.52348568093,,ISR
Others-I00059-S,1.3104334113163955e6,,ISR
Others-I00060-S,33622.57829125085,,ISR
Others-I00061-S,138378.44018679598,,ISR
Others-I00062-S,100727.54481688276,,ISR
Others-I00063-S,38277.65199854683,,ISR
Others-I00064-S,10369.615255859579,,ISR
Others-I00065-S,26880.256681082443,,ISR
Others-I00066-S,94925.20757227307,,ISR
Others-I00067-S,26668.494549190094,,ISR
Others-I00068-S,1260.9769524511576,,ISR
Others-I00069-S,501.0003318298618,,ISR
Others-I00070-S,12289.848985059489,,ISR
Others-I00071-S,2705.2463602570497,,ISR
Others-I00072-S,62877.75951077212,,ISR
Others-I00073-S,57766.750951489725,,ISR
Others-I00074-S,11170.043567762636,,ISR
Others-I00075-S,275294.588241747,,ISR
Others-I00076-S,510201.72614952974,,ISR
Others-I00077-S,31417.74286376038,,ISR
Others-I00078-S,27483.983786603174,,ISR
Others-I00079-S,10310.389346884078,,ISR
Others-I00080-S,40949.05229045707,,ISR
Others-I00081-S,306782.0316120492,,ISR
Others-I00082-S,91069.24053753055,,ISR
Others-I00083-S,22052.327985340748,,ISR
Others-I00084-S,96523.8829578641,,ISR
Others-I00085-S,1571.4483412572206,,ISR
Others-I00086-S,1776.1377358799912,,ISR
Others-I00087-S,12038.207956875645,,ISR
Others-I00088-S,247326.8501572884,,ISR
Others-I00089-S,4395.084773320428,,ISR
Others-I00090-S,15446.030499048407,,ISR
Others-I00091-S,191388.0476159184,,ISR
Others-I00092-S,48702.02863742254,,ISR
Others-I00093-S,5796.298126836228,,ISR
Others-I00094-S,20198.32692561818,,ISR
Others-I00095-S,417.20486996030144,,ISR
Others-I00096-S,644775.5191025361,,ISR
Others-I00097-S,4.491153220734638e7,,ISR
Others-I00098-S,1.551722016751336e6,,ISR
Others-I00099-S,608.0306699934614,,ISR
Others-I00100-S,58.93264455988394,,ISR
Others-I00101-S,63.98499122806671,,ISR
Others-I00102-S,240.69149602266586,,ISR
Others-I00103-S,397.8337401192696,,ISR
Others-I00104-S,3319.03710777644,,ISR
Others-I00105-S,45231.56905366092,,ISR
Others-I00106-S,2.0920058108942702e6,,ISR
Others-I00107-S,3.3347975794055015e6,,ISR
Others-I00108-S,3.0194938462135284e6,,ISR
Others-I00109-S,1.2309793548198069e7,,ISR
Others-I00110-S,26393.58225027858,,ISR
Others-I00111-S,2769.5385104507723,,ISR
Others-I00112-S,8547.257367626733,,ISR
Others-I00113-S,114789.28917694221,,ISR
Others-I00114-S,1056.3101029968657,,ISR
Others-I00115-S,6443.070611610607,,ISR
Others-I00116-S,40903.10439111895,,ISR
Others-I00117-S,25701.082404025103,,ISR
Others-I00118-S,812.8534806948536,,ISR
Others-I00119-S,12622.499281363922,,ISR
Others-I00120-S,9353.86844223562,,ISR
Others-I00121-S,48658.881373265926,,ISR
Others-I00122-S,6868.748773671168,,ISR
Others-I00123-S,5516.378520122124,,ISR
Others-I00124-S,6488.43447334553,,ISR
Others-I00125-S,13164.99357467978,,ISR
Others-I00126-S,3475.4802088614088,,ISR
Others-I00127-S,1527.005319617999,,ISR
Others-I00128-S,1.9985874753510184,,ISR
Others-I00129-S,4134.18659552293,,ISR
Others-I00130-S,1774.3082837463296,,ISR
Others-I00131-S,5284.305761414142,,ISR
Others-I00132-S,1527.8721977553769,,ISR
