FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05DZHK-E_Exploration and Production_I00004,76556.13971461091,CDP,ITA
05DZHK-E_Gas & Power_I00004,346428.64682143246,CDP,ITA
05DZHK-E_Refining & Marketing_I00004,132119.09274211252,CDP,ITA
05DZHK-E_Exploration and Production_I00010,153234.56898011966,CDP,ITA
05DZHK-E_Gas & Power_I00010,693410.6732123664,CDP,ITA
05DZHK-E_Refining & Marketing_I00010,264449.230405987,CDP,ITA
05DZHK-E_Exploration and Production_I00011,142594.7955706566,CDP,ITA
05DZHK-E_Gas & Power_I00011,645264.0148454803,CDP,ITA
05DZHK-E_Refining & Marketing_I00011,246087.31697774722,CDP,ITA
05HGX8-E_Cement & Clinker_I00014,561074.1843206334,CDP,ITA
000JP9-E_Defense & Security Electronics_I00017,13258.715449221807,CDP,ITA
000JP9-E_Defense Systems_I00017,1209.0934944346434,CDP,ITA
0685XQ-E_Telecom_I00017,6318.813356178066,CDP,ITA
0685XQ-E_Telecom_I00018,11575.878854977915,CDP,ITA
05HQ2V-E_Plant Making_I00019,75027.63097220585,CDP,ITA
05HQ2V-E_Steel Making_I00019,24226.268751423286,CDP,ITA
000JP9-E_Aeronautics_I00021,1055.3344224131224,CDP,ITA
000JP9-E_Helicopters_I00021,1517.8910265813417,CDP,ITA
05DZHK-E_Exploration and Production_I00023,2632.952923890344,CDP,ITA
05DZHK-E_Gas & Power_I00023,11914.528631774574,CDP,ITA
05DZHK-E_Refining & Marketing_I00023,4543.898802027689,CDP,ITA
0031L0-E_Infrastructure and Networks_I00024,1.270168267992973e7,CDP,ITA
0031L0-E_Renewable Energy_I00024,6.738643373359502e6,CDP,ITA
05DZHK-E_Exploration and Production_I00024,1.3557051276962718e6,CDP,ITA
05DZHK-E_Gas & Power_I00024,6.134780236144302e6,CDP,ITA
05DZHK-E_Refining & Marketing_I00024,2.339649467237661e6,CDP,ITA
05HGSK-E_Energy_I00024,135533.06086901313,CDP,ITA
05HGSK-E_Engineering_I00024,2123.7516517879703,CDP,ITA
05HGSK-E_Environment_I00024,8917.286438496172,CDP,ITA
05HGSK-E_Networks_I00024,36416.57295546733,CDP,ITA
05HGSK-E_Water_I00024,42856.4753834139,CDP,ITA
05HHXZ-E_Wind_I00024,1.0057775524430556e6,CDP,ITA
05HWFH-E_Distribution_I00024,604113.2125518839,CDP,ITA
05HWFH-E_Regasification_I00024,7839.96959331933,CDP,ITA
05HWFH-E_Storage_I00024,172914.88491932076,CDP,ITA
05HWFH-E_Transport_I00024,888529.8872428573,CDP,ITA
06GCRL-E_Environment_I00024,234184.03988798353,CDP,ITA
06GCRL-E_Gas_I00024,424098.3899089992,CDP,ITA
06GCRL-E_Power Electric_I00024,423050.5865985385,CDP,ITA
06GCRL-E_Water Cycle_I00024,208512.85878169446,CDP,ITA
071XK1-E_Corporate Services_I00024,261434.14969034833,CDP,ITA
071XK1-E_Generation and Trading_I00024,3.872317647295213e6,CDP,ITA
071XK1-E_Heat and Services_I00024,345767.7463646542,CDP,ITA
071XK1-E_Networks_I00024,940319.602918511,CDP,ITA
071XK1-E_Waste_I00024,1.137097995158558e6,CDP,ITA
09W4PM-E_Energy Infrastructures_I00024,215669.1986065734,CDP,ITA
09W4PM-E_Environment_I00024,267707.34304247575,CDP,ITA
09W4PM-E_Integrated Water Service_I00024,281005.9799538731,CDP,ITA
09W4PM-E_Market_I00024,1.3743852147126673e6,CDP,ITA
09W4PM-E_Power_I00024,470077.904737652,CDP,ITA
05HGSK-E_Energy_I00025,115.71094634380431,CDP,ITA
05HGSK-E_Engineering_I00025,1.813146636340649,CDP,ITA
05HGSK-E_Environment_I00025,7.613106691469037,CDP,ITA
05HGSK-E_Networks_I00025,31.090540509136492,CDP,ITA
05HGSK-E_Water_I00025,36.58858799306097,CDP,ITA
06GCRL-E_Environment_I00025,199.93392534860928,CDP,ITA
06GCRL-E_Gas_I00025,362.0727350552554,CDP,ITA
06GCRL-E_Power Electric_I00025,361.17817610514993,CDP,ITA
06GCRL-E_Water Cycle_I00025,178.01723107102117,CDP,ITA
05DZHK-E_Exploration and Production_I00027,7062.953680559349,CDP,ITA
05DZHK-E_Gas & Power_I00027,31960.983080389735,CDP,ITA
05DZHK-E_Refining & Marketing_I00027,12189.107703623828,CDP,ITA
05HQ2V-E_Plant Making_I00027,24224.335763354786,CDP,ITA
05HQ2V-E_Steel Making_I00027,7821.988525069557,CDP,ITA
05DZHK-E_Exploration and Production_I00029,23024.896453691363,CDP,ITA
05DZHK-E_Gas & Power_I00029,104191.30002362918,CDP,ITA
05DZHK-E_Refining & Marketing_I00029,39735.917214255904,CDP,ITA
05DZHK-E_Exploration and Production_I00030,140160.68868517678,CDP,ITA
05DZHK-E_Gas & Power_I00030,634249.2960038695,CDP,ITA
05DZHK-E_Refining & Marketing_I00030,241886.5827904467,CDP,ITA
05HGX8-E_Cement & Clinker_I00030,2.548891281055002e6,CDP,ITA
05DZHK-E_Exploration and Production_I00031,698911.9847235784,CDP,ITA
05DZHK-E_Gas & Power_I00031,3.162687330077868e6,CDP,ITA
05DZHK-E_Refining & Marketing_I00031,1.206168671415458e6,CDP,ITA
05MQTF-E_Venice_I00034,2676.394308874443,CDP,ITA
002111-E_Domestic_I00039,36312.9099133925,CDP,ITA
000JP9-E_Aeronautics_I00040,15521.65963160576,CDP,ITA
000JP9-E_Defense & Security Electronics_I00040,24595.859805815737,CDP,ITA
000JP9-E_Defense Systems_I00040,2242.9543944231636,CDP,ITA
000JP9-E_Helicopters_I00040,22324.8549200088,CDP,ITA
002111-E_Domestic_I00040,52687.28017569655,CDP,ITA
05DZHK-E_Exploration and Production_I00040,7566.536794754302,CDP,ITA
05DZHK-E_Gas & Power_I00040,34239.77636154292,CDP,ITA
05DZHK-E_Refining & Marketing_I00040,13058.181620042664,CDP,ITA
003FNP-E_Corporate Investment Banking_I00041,6791.542510740766,CDP,ITA
05DZHK-E_Exploration and Production_I00041,12217.216243658553,CDP,ITA
05DZHK-E_Gas & Power_I00041,55284.83681378326,CDP,ITA
05DZHK-E_Refining & Marketing_I00041,21084.23350450503,CDP,ITA
05G1SW-E_Damage Management_I00041,546.4045016058715,CDP,ITA
