FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HJD8-E_Resources_061101,35544.91905066703,CDP,JPN
05HWL6-E_Meat_111101,121617.57258092632,CDP,JPN
05HWL6-E_Processing_111101,51472.53971337768,CDP,JPN
05HWQ7-E_Beverage and Food Manufacturing_111203,1490.5683570705219,CDP,JPN
0833Y1-E_Beverages and Desserts_111203,4408.28157873098,CDP,JPN
0833Y1-E_Dairy Finished Goods_111203,10873.273881563695,CDP,JPN
0833Y1-E_Beverages and Desserts_111503,7127.057720148105,CDP,JPN
05HWC1-E_Chemical_111704,14806.578738872837,CDP,JPN
05HXSQ-E_Confectionery and Baking Ingredients_111704,18258.688702810952,CDP,JPN
05HXSQ-E_Vegetable Oils and Fats_111704,36119.733908789734,CDP,JPN
0833Y1-E_Dairy Finished Goods_111704,13946.263727096157,CDP,JPN
05HWDP-E_Japanese Food_111705,99052.83035065631,CDP,JPN
05HWDP-E_Life Supported_111705,14879.495100069193,CDP,JPN
05HWDP-E_Overseas Food_111705,116506.51929935807,CDP,JPN
05HXSQ-E_Confectionery and Baking Ingredients_111909,52812.34751814228,CDP,JPN
05HXSQ-E_Soybean Processing Material_111909,25713.483027146744,CDP,JPN
0833Y1-E_Beverages and Desserts_112902,16870.48912392847,CDP,JPN
05HWDG-E_Health & Agriculture Sciences_113102,947.3686916228947,CDP,JPN
05HXDH-E_Mobility_151101,18127.64963193896,CDP,JPN
05HWH8-E_Textiles_151201,7636.897502605239,CDP,JPN
05HXDH-E_Mobility_151201,4990.65763769583,CDP,JPN
05HWH8-E_Textiles_151202,8297.503867234049,CDP,JPN
05HXDH-E_Mobility_151202,5422.359149732694,CDP,JPN
05HWH8-E_Textiles_151209,14868.692050560316,CDP,JPN
05HXDH-E_Life Science_151209,4973.36559813098,CDP,JPN
05HXDH-E_Mobility_151209,9716.583405677775,CDP,JPN
05HWH8-E_Environment & Engineering_151909,1021.5462163473336,CDP,JPN
05HXDH-E_Life / Environment_151909,3054.512697955025,CDP,JPN
05HXDH-E_Life Science_151909,23502.362307338095,CDP,JPN
05HXDH-E_Mobility_151909,45917.12776465261,CDP,JPN
05HZX8-E_Automobile Parts and Textile Products_151909,9166.810230307288,CDP,JPN
05HXDH-E_Life Science_152101,12512.958063361622,CDP,JPN
05HXDH-E_Life Science_152102,5027.1261888341405,CDP,JPN
001NDC-E_Trading and Retail_152909,72657.39376541969,CDP,JPN
05HWH8-E_Textiles_152909,19228.396331369684,CDP,JPN
05HXDH-E_Life Science_152909,6431.624550194259,CDP,JPN
001RJ7-E_Eco Solutions_162102,613.5118030388177,CDP,JPN
001RJ7-E_Eco Solutions_162109,393.4954911859892,CDP,JPN
05HT4M-E_Paperboard and Paper Processing_163202,424996.2721870446,CDP,JPN
05HT4M-E_Paperboard and Paper Processing_163301,54321.36665109753,CDP,JPN
05J25L-E_Cardboard_163301,4947.570245682606,CDP,JPN
0027GL-E_Lifestyle and Industrial_163302,4963.650682021962,CDP,JPN
05HT4M-E_Paperboard and Paper Processing_164101,46803.287484239605,CDP,JPN
05J25L-E_Cardboard_164101,4262.826339485595,CDP,JPN
05J25L-E_Cardboard_164109,7531.096267935958,CDP,JPN
05J4Y6-E_Printing Packaging_164109,480.8292759674103,CDP,JPN
05HWC1-E_Fabric and Home Care_164901,28716.745933780454,CDP,JPN
05HT4M-E_Flexible Packaging_164909,1422.0976423631516,CDP,JPN
05HWFZ-E_Industrial Tape_164909,5323.404749217254,CDP,JPN
0027GL-E_Information and Communication_191101,6800.779976202863,CDP,JPN
05J4Y6-E_Printing Packaging_191101,1122.9913202357613,CDP,JPN
05HWDG-E_Health & Agriculture Sciences_201101,48720.35262078428,CDP,JPN
05HX1B-E_Polymer Solution_201101,53474.43011889375,CDP,JPN
05HXF8-E_Chemicals_201101,47386.70342826229,CDP,JPN
05HWBT-E_Polyvinyl Chloride/Chemical Products_202101,184381.49336682024,CDP,JPN
05HWLL-E_Functional Material_202901,770.2563413411764,CDP,JPN
05J20J-E_Functional Pigment_202901,6147.405438941452,CDP,JPN
05HXF8-E_Chemicals_202909,18128.621520025685,CDP,JPN
05HXF8-E_Functional Materials_202909,40055.99204334248,CDP,JPN
05J5S9-E_Electronic Devices Material_202909,288.2344067214457,CDP,JPN
05HWDG-E_Petrochemical_203101,959379.9556585188,CDP,JPN
05HWGX-E_Petrochemicals_203101,1.85449978770513e6,CDP,JPN
05HWL9-E_Isoprene_203101,674333.3912827582,CDP,JPN
05HX1B-E_Living and Environmental Products_203101,173005.71067555068,CDP,JPN
