FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,2.9240341036531616e7,,KAZ
Others-I00002-S,1.848777406977842e6,,KAZ
Others-I00003-S,2962.878773531825,,KAZ
Others-I00004-S,1.6404502418948345e7,,KAZ
Others-I00005-S,2.42505701242638e7,,KAZ
Others-I00006-S,843061.9495936675,,KAZ
Others-I00007-S,83107.64810022622,,KAZ
Others-I00008-S,2.453066266054358e6,,KAZ
Others-I00009-S,3.681771546961764e6,,KAZ
Others-I00010-S,100004.62856692626,,KAZ
Others-I00011-S,18915.269876790535,,KAZ
Others-I00012-S,2005.673157498232,,KAZ
Others-I00013-S,1612.8157531170632,,KAZ
Others-I00014-S,298.5586621440968,,KAZ
Others-I00015-S,18753.189831792748,,KAZ
Others-I00016-S,40359.78578920206,,KAZ
Others-I00017-S,58698.10752379628,,KAZ
Others-I00018-S,247827.15151669618,,KAZ
Others-I00019-S,4.896348621956509e6,,KAZ
Others-I00020-S,737371.6919546815,,KAZ
Others-I00021-S,164000.9284701645,,KAZ
Others-I00022-S,347596.1202334472,,KAZ
Others-I00023-S,1.6849788363458875e6,,KAZ
Others-I00024-S,2.3357289081233375e7,,KAZ
Others-I00025-S,899354.0379694075,,KAZ
Others-I00026-S,38499.110363037056,,KAZ
Others-I00027-S,106717.02724713112,,KAZ
Others-I00028-S,112110.92543477114,,KAZ
Others-I00029-S,31176.687314582297,,KAZ
Others-I00030-S,5361.443977000706,,KAZ
Others-I00031-S,25155.592998235028,,KAZ
Others-I00032-S,37721.775959846134,,KAZ
Others-I00033-S,413337.2519682037,,KAZ
Others-I00034-S,1.1546952311095322e7,,KAZ
Others-I00035-S,40482.07615563352,,KAZ
Others-I00036-S,5.970753231873841e6,,KAZ
Others-I00037-S,139882.5583005915,,KAZ
Others-I00038-S,5.436207692461503e7,,KAZ
Others-I00039-S,2.4427658260724463e7,,KAZ
Others-I00040-S,1.3426335445088979e7,,KAZ
Others-I00041-S,30680.194706977672,,KAZ
Others-I00042-S,289155.3208896742,,KAZ
Others-I00043-S,4.0461504823097163e6,,KAZ
Others-I00044-S,26947.795515280566,,KAZ
Others-I00045-S,35318.99205364714,,KAZ
Others-I00046-S,65696.30076236195,,KAZ
Others-I00047-S,83135.05212784652,,KAZ
Others-I00048-S,219733.0878395774,,KAZ
Others-I00049-S,304037.22451284697,,KAZ
Others-I00050-S,81891.91429089365,,KAZ
Others-I00051-S,6382.8810028737025,,KAZ
Others-I00052-S,862109.4646153201,,KAZ
Others-I00053-S,14477.15822995719,,KAZ
Others-I00054-S,54036.24090230094,,KAZ
Others-I00055-S,174312.4715322158,,KAZ
Others-I00056-S,36807.32171270021,,KAZ
Others-I00057-S,44074.47682172765,,KAZ
Others-I00058-S,41121.27125741182,,KAZ
Others-I00059-S,1187.939147621554,,KAZ
Others-I00060-S,101510.04166895598,,KAZ
Others-I00061-S,26570.665395760687,,KAZ
Others-I00062-S,6102.265905121877,,KAZ
Others-I00063-S,43638.709934266146,,KAZ
Others-I00064-S,24767.832494440154,,KAZ
Others-I00065-S,1.576805355237334e6,,KAZ
Others-I00066-S,349949.86231171456,,KAZ
Others-I00067-S,292432.53990854253,,KAZ
Others-I00068-S,191158.48383872237,,KAZ
Others-I00069-S,24189.63656386413,,KAZ
Others-I00070-S,63273.457746898275,,KAZ
Others-I00071-S,4.552160200320303e6,,KAZ
Others-I00072-S,2.357950368764781e7,,KAZ
