FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003M5F-E_Lubrication_C00006,535659.4694875703,CDP,KOR
003M5F-E_Refinery_C00006,5.619109663767122e6,CDP,KOR
001YDC-E_Steel_C00009,2.2627834947718352e7,CDP,KOR
001YDC-E_Trade_C00009,1.4648230831361378e7,CDP,KOR
09X8GB-E_Handset_C00012,9629.924979853959,CDP,KOR
05HWHZ-E_Motor Vehicles_C00014,254324.37687339788,CDP,KOR
05HWGV-E_Credit Card_C00023,2297.247697529149,CDP,KOR
05HWGV-E_Life Insurance_C00023,352.43611594798415,CDP,KOR
05HWK4-E_Insurance and Related Activities_C00023,4545.46040009914,CDP,KOR
05HXNC-E_Cosmetics_C00023,77.76178489334566,CDP,KOR
077TYC-E_Cosmetics_C00023,2917.118933832416,CDP,KOR
Others-C00001-S,2.375727177902629e7,,KOR
Others-C00002-S,4.052296326968425e6,,KOR
Others-C00003-S,2.2300861570123183e6,,KOR
Others-C00004-S,577853.4852222116,,KOR
Others-C00005-S,4.978723115271578e6,,KOR
Others-C00006-S,3.0904086990448073e7,,KOR
Others-C00007-S,1.871050358718933e7,,KOR
Others-C00008-S,2.951138537463811e6,,KOR
Others-C00009-S,2.9585578499463692e7,,KOR
Others-C00010-S,1.5730779995279645e6,,KOR
Others-C00011-S,1.8583868449874513e6,,KOR
Others-C00012-S,1.9946878760085558e6,,KOR
Others-C00013-S,4.1924418643845795e6,,KOR
Others-C00014-S,1.9598176333458407e6,,KOR
Others-C00015-S,289865.0884372757,,KOR
Others-C00016-S,3.15459781600255e8,,KOR
Others-C00017-S,2.20130813778524e7,,KOR
Others-C00018-S,2.702155866485748e6,,KOR
Others-C00019-S,1.8499470511999864e7,,KOR
Others-C00020-S,1.453064464701568e8,,KOR
Others-C00021-S,1.2260543251441678e6,,KOR
Others-C00022-S,1.6361569681762625e6,,KOR
Others-C00023-S,1.448291495951289e6,,KOR
Others-C00024-S,2.6539660044020596e6,,KOR
Others-C00025-S,919951.3030499262,,KOR
Others-C00026-S,1.3659134197323744e6,,KOR
Others-C00027-S,1.2291157890986872e6,,KOR
Others-C00028-S,1.1461574074644546e6,,KOR
Others-C00029-S,1.163230486639319e6,,KOR
Others-C00030-S,3.176018409924554e7,,KOR
