FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-C00001-S,0.0,,KWT
Others-C00002-S,0.0,,KWT
Others-C00003-S,0.0,,KWT
Others-C00004-S,0.0,,KWT
Others-C00005-S,0.0,,KWT
Others-C00006-S,0.0,,KWT
Others-C00007-S,0.0,,KWT
Others-C00008-S,0.0,,KWT
Others-C00009-S,0.0,,KWT
Others-C00010-S,0.0,,KWT
Others-C00011-S,0.0,,KWT
Others-C00012-S,0.0,,KWT
Others-C00013-S,0.0,,KWT
Others-C00014-S,0.0,,KWT
Others-C00015-S,0.0,,KWT
Others-C00016-S,0.0,,KWT
Others-C00017-S,0.0,,KWT
Others-C00018-S,0.0,,KWT
Others-C00019-S,0.0,,KWT
Others-C00020-S,0.0,,KWT
Others-C00021-S,0.0,,KWT
Others-C00022-S,0.0,,KWT
Others-C00023-S,0.0,,KWT
Others-C00024-S,0.0,,KWT
Others-C00025-S,0.0,,KWT
Others-C00026-S,0.0,,KWT
Others-C00027-S,0.0,,KWT
Others-C00028-S,0.0,,KWT
Others-C00029-S,0.0,,KWT
Others-C00030-S,0.0,,KWT
Others-C00031-S,0.0,,KWT
Others-C00032-S,0.0,,KWT
Others-C00033-S,0.0,,KWT
Others-C00034-S,0.0,,KWT
Others-C00035-S,0.0,,KWT
Others-C00036-S,0.0,,KWT
Others-C00037-S,0.0,,KWT
Others-C00038-S,0.0,,KWT
Others-C00039-S,0.0,,KWT
Others-C00040-S,0.0,,KWT
Others-C00041-S,0.0,,KWT
Others-C00042-S,0.0,,KWT
Others-C00043-S,0.0,,KWT
Others-C00044-S,0.0,,KWT
Others-C00045-S,0.0,,KWT
Others-C00046-S,0.0,,KWT
Others-C00047-S,0.0,,KWT
Others-C00048-S,0.0,,KWT
Others-C00049-S,0.0,,KWT
Others-C00050-S,0.0,,KWT
Others-C00051-S,0.0,,KWT
Others-C00052-S,0.0,,KWT
Others-C00053-S,0.0,,KWT
