FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,79287.94953836323,,LBN
Others-I00002-S,388773.9275070272,,LBN
Others-I00003-S,10073.486481608941,,LBN
Others-I00004-S,185593.6405715599,,LBN
Others-I00005-S,7133.661836962261,,LBN
Others-I00006-S,4262.92035369566,,LBN
Others-I00007-S,67512.66244141871,,LBN
Others-I00008-S,604206.9707361478,,LBN
Others-I00009-S,789378.8354999883,,LBN
Others-I00010-S,214458.78396604193,,LBN
Others-I00011-S,79466.66221463328,,LBN
Others-I00012-S,2.402388172796475e6,,LBN
Others-I00013-S,9412.54925209607,,LBN
Others-I00014-S,71077.38847622302,,LBN
Others-I00015-S,1.0703891307016931e7,,LBN
Others-I00016-S,9.128102714480072e6,,LBN
Others-I00017-S,2053.1337215860094,,LBN
Others-I00018-S,25100.393781908788,,LBN
Others-I00019-S,3523.484043674718,,LBN
Others-I00020-S,6045.10648299448,,LBN
Others-I00021-S,36730.47546966384,,LBN
Others-I00022-S,2.2621218694141526e6,,LBN
Others-I00023-S,3642.2771875022772,,LBN
Others-I00024-S,2969.2900623377063,,LBN
Others-I00025-S,1911.5867541510338,,LBN
Others-I00026-S,4.265765133760203e6,,LBN
