FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,4.817531026192018e6,,LTU
Others-I00002-S,3358.7661106995392,,LTU
Others-I00003-S,702.5610473812957,,LTU
Others-I00004-S,619122.6044741796,,LTU
Others-I00005-S,256499.83442628957,,LTU
Others-I00006-S,19879.299952298203,,LTU
Others-I00007-S,200413.88504303552,,LTU
Others-I00008-S,13097.55602298798,,LTU
Others-I00009-S,7076.996496483591,,LTU
Others-I00010-S,4.742337971438939e6,,LTU
Others-I00011-S,112734.05964361149,,LTU
Others-I00012-S,22141.00356799119,,LTU
Others-I00013-S,69824.20801456735,,LTU
Others-I00014-S,3591.3051979020292,,LTU
Others-I00015-S,6639.80265654331,,LTU
Others-I00016-S,2524.9152921156383,,LTU
Others-I00017-S,3856.7660517808176,,LTU
Others-I00018-S,3218.7501991019,,LTU
Others-I00019-S,1701.1621114359768,,LTU
Others-I00020-S,980.674023851889,,LTU
Others-I00021-S,24038.887024791147,,LTU
Others-I00022-S,8516.373679722916,,LTU
Others-I00023-S,1.7909714341671062e6,,LTU
Others-I00024-S,2165.5556359854263,,LTU
Others-I00025-S,1.406279798546291e6,,LTU
Others-I00026-S,63115.3718778491,,LTU
Others-I00027-S,17252.40921490911,,LTU
Others-I00028-S,76233.39769779315,,LTU
Others-I00029-S,432087.16229306575,,LTU
Others-I00030-S,3.526055895747903e6,,LTU
Others-I00031-S,257613.4027463735,,LTU
Others-I00032-S,244008.64540533116,,LTU
Others-I00033-S,1.5839677413492315e6,,LTU
Others-I00034-S,2631.266301264329,,LTU
Others-I00035-S,14849.53743550943,,LTU
Others-I00036-S,5298.475342461937,,LTU
Others-I00037-S,3670.60952013147,,LTU
Others-I00038-S,8488.892164751194,,LTU
Others-I00039-S,14469.128329922583,,LTU
Others-I00040-S,14600.38353999106,,LTU
Others-I00041-S,5443.261421120844,,LTU
Others-I00042-S,2116.253613917347,,LTU
Others-I00043-S,28243.78685444912,,LTU
Others-I00044-S,28789.007484230715,,LTU
Others-I00045-S,16861.10993905458,,LTU
Others-I00046-S,8644.641474662134,,LTU
Others-I00047-S,1726.3090960865457,,LTU
Others-I00048-S,8147.236855641224,,LTU
Others-I00049-S,2987.3977605621158,,LTU
Others-I00050-S,7353.105492037825,,LTU
Others-I00051-S,4092.7239896937526,,LTU
Others-I00052-S,8775.788240220736,,LTU
Others-I00053-S,11260.106051632038,,LTU
Others-I00054-S,51987.25860967995,,LTU
Others-I00055-S,33204.85863127712,,LTU
Others-I00056-S,27132.537901136806,,LTU
Others-I00057-S,6342.803380186144,,LTU
Others-I00058-S,9322.281016917212,,LTU
Others-I00059-S,2153.4226161069123,,LTU
Others-I00060-S,2981.231874684874,,LTU
Others-I00061-S,1088.4612286054376,,LTU
Others-I00062-S,5908.03026672391,,LTU
Others-I00063-S,590460.1623526319,,LTU
Others-I00064-S,0.0,,LTU
