FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05H85D-E_Infrastructure_I00010,3128.322591750081,CDP,LUX
05H85D-E_Services_I00010,953.1848434192483,CDP,LUX
Others-I00001-S,635331.7491824768,,LUX
Others-I00002-S,45088.8693290191,,LUX
Others-I00003-S,867048.5944199824,,LUX
Others-I00004-S,525142.7737232115,,LUX
Others-I00005-S,56427.90139475817,,LUX
Others-I00006-S,27244.964475101897,,LUX
Others-I00007-S,262203.96637284465,,LUX
Others-I00008-S,7.19286756225062e6,,LUX
Others-I00009-S,4590.086825977557,,LUX
Others-I00010-S,70010.86898014625,,LUX
Others-I00011-S,258534.36452097917,,LUX
Others-I00012-S,14410.517035212628,,LUX
Others-I00013-S,20824.221586433072,,LUX
Others-I00014-S,52122.386512562356,,LUX
Others-I00015-S,10208.752411012614,,LUX
Others-I00016-S,6201.182827193422,,LUX
Others-I00017-S,9866.773962334366,,LUX
Others-I00018-S,1720.9088562167624,,LUX
Others-I00019-S,1911.0679138245528,,LUX
Others-I00020-S,1.0699296492122852e6,,LUX
Others-I00021-S,0.0,,LUX
