FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,2.5385954022073564e6,,LVA
Others-I00002-S,10128.355333409701,,LVA
Others-I00003-S,702.5482894552732,,LVA
Others-I00004-S,383150.70269586565,,LVA
Others-I00005-S,120589.1671482758,,LVA
Others-I00006-S,8570.819893399386,,LVA
Others-I00007-S,416153.29253097204,,LVA
Others-I00008-S,2438.345396826917,,LVA
Others-I00009-S,3918.978546855789,,LVA
Others-I00010-S,535.0017594111799,,LVA
Others-I00011-S,166405.5198756116,,LVA
Others-I00012-S,105564.09207167446,,LVA
Others-I00013-S,6486.194568755498,,LVA
Others-I00014-S,92175.41987243305,,LVA
Others-I00015-S,27102.327265674816,,LVA
Others-I00016-S,8374.624381995107,,LVA
Others-I00017-S,4636.601227464281,,LVA
Others-I00018-S,3917.2503420026337,,LVA
Others-I00019-S,2868.5054874359903,,LVA
Others-I00020-S,1570.6681796908697,,LVA
Others-I00021-S,1068.2447759214597,,LVA
Others-I00022-S,12847.762237820089,,LVA
Others-I00023-S,6868.387713686873,,LVA
Others-I00024-S,1.9702967436830192e6,,LVA
Others-I00025-S,1579.7525112444605,,LVA
Others-I00026-S,820006.2084958763,,LVA
Others-I00027-S,90577.72337130998,,LVA
Others-I00028-S,13703.708452470626,,LVA
Others-I00029-S,77184.63573586551,,LVA
Others-I00030-S,380805.0710889371,,LVA
Others-I00031-S,1.512755437208143e6,,LVA
Others-I00032-S,813165.9141972577,,LVA
Others-I00033-S,321286.5846950638,,LVA
Others-I00034-S,1.586183772683499e6,,LVA
Others-I00035-S,3439.116432290489,,LVA
Others-I00036-S,22533.68832294166,,LVA
Others-I00037-S,1962.0442861136821,,LVA
Others-I00038-S,4381.756360452538,,LVA
Others-I00039-S,14218.160974535582,,LVA
Others-I00040-S,22358.04788679102,,LVA
Others-I00041-S,35521.920098858005,,LVA
Others-I00042-S,5920.186337916126,,LVA
Others-I00043-S,4426.080418679651,,LVA
Others-I00044-S,42493.26316997485,,LVA
Others-I00045-S,54139.4290406791,,LVA
Others-I00046-S,14289.067519410488,,LVA
Others-I00047-S,8413.572914350343,,LVA
Others-I00048-S,4073.8497250295186,,LVA
Others-I00049-S,12399.366285163647,,LVA
Others-I00050-S,4383.7896231221475,,LVA
Others-I00051-S,6643.638875408099,,LVA
Others-I00052-S,2835.8235566206595,,LVA
Others-I00053-S,19600.851337560136,,LVA
Others-I00054-S,17810.137049765664,,LVA
Others-I00055-S,61397.322659173165,,LVA
Others-I00056-S,36527.055349314345,,LVA
Others-I00057-S,24343.04258625378,,LVA
Others-I00058-S,4979.6046400772575,,LVA
Others-I00059-S,13769.97959869393,,LVA
Others-I00060-S,5384.750936428825,,LVA
Others-I00061-S,4533.127923087576,,LVA
Others-I00062-S,1197.700975364946,,LVA
Others-I00063-S,3404.3866160417083,,LVA
Others-I00064-S,421788.14219854603,,LVA
Others-I00065-S,0.0,,LVA
