FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.2993232875807583e7,,MAR
Others-I00002-S,10067.398442228794,,MAR
Others-I00003-S,49442.27120000001,,MAR
Others-I00004-S,5597.2543433018245,,MAR
Others-I00005-S,69372.61673569203,,MAR
Others-I00006-S,2.0307161127639895e6,,MAR
Others-I00007-S,3037.3356556411036,,MAR
Others-I00008-S,4981.403890052984,,MAR
Others-I00009-S,17582.857910757943,,MAR
Others-I00010-S,2875.724676982256,,MAR
Others-I00011-S,38839.31481919302,,MAR
Others-I00012-S,44989.801778553694,,MAR
Others-I00013-S,31020.68794180262,,MAR
Others-I00014-S,211681.22270980262,,MAR
Others-I00015-S,970956.6198110266,,MAR
Others-I00016-S,152157.45024612133,,MAR
Others-I00017-S,1.372506101998807e6,,MAR
Others-I00018-S,157135.97307294447,,MAR
Others-I00019-S,156460.60533806484,,MAR
Others-I00020-S,22991.939365296486,,MAR
Others-I00021-S,12.632319541862891,,MAR
Others-I00022-S,242350.551345511,,MAR
Others-I00023-S,43479.06587996415,,MAR
Others-I00024-S,11820.864853526342,,MAR
Others-I00025-S,14264.583283184493,,MAR
Others-I00026-S,2518.737171711997,,MAR
Others-I00027-S,298114.0820926394,,MAR
Others-I00028-S,61.91920191435494,,MAR
Others-I00029-S,3.022365227893119e6,,MAR
Others-I00030-S,182157.06222021702,,MAR
Others-I00031-S,1.2525013708698137e7,,MAR
Others-I00032-S,38102.825250751695,,MAR
Others-I00033-S,1.9115905492633652e7,,MAR
Others-I00034-S,139047.24050657192,,MAR
Others-I00035-S,76103.20236742691,,MAR
Others-I00036-S,1.3055969266783651e7,,MAR
Others-I00037-S,144589.21709571697,,MAR
Others-I00038-S,106064.21546827652,,MAR
Others-I00039-S,2.6227506969063412e7,,MAR
