FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,5.989407467974462e6,,MDG
Others-I00002-S,1.1201616868534017e7,,MDG
Others-I00003-S,17046.025092713666,,MDG
Others-I00004-S,2.040886658363444e6,,MDG
Others-I00005-S,1.8687771669198896e6,,MDG
Others-I00006-S,14855.69119200364,,MDG
Others-I00007-S,18475.77347252093,,MDG
Others-I00008-S,117018.39697873089,,MDG
Others-I00009-S,15518.26483317892,,MDG
Others-I00010-S,13921.95535741574,,MDG
Others-I00011-S,420763.0396485744,,MDG
Others-I00012-S,77684.65639483374,,MDG
Others-I00013-S,33967.63684068315,,MDG
Others-I00014-S,1.0461996311164671e6,,MDG
Others-I00015-S,72347.5842589147,,MDG
Others-I00016-S,1.5062820081659732e6,,MDG
Others-I00017-S,48617.77966408637,,MDG
Others-I00018-S,38277.015389768974,,MDG
Others-I00019-S,2.0579468598819165e6,,MDG
Others-I00020-S,167571.73890901235,,MDG
Others-I00021-S,60406.38350777445,,MDG
Others-I00022-S,33953.0828624049,,MDG
Others-I00023-S,4.414430327628643e6,,MDG
