FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
00B49F-E_Fresnillo_I00022,5476.376893493388,CDP,MEX
00B49F-E_Fresnillo_I00023,2322.6194132992055,CDP,MEX
00B49F-E_Fresnillo_I00024,284389.96401613177,CDP,MEX
003HV4-E_Industrial and Manufacturing_I00029,0.03196190324505345,CDP,MEX
003HV4-E_Infrastructure and Construction_I00030,0.01955934283026999,CDP,MEX
"05HWJD-E_Baked Goods, Cookies, Tortillas, Salty Snacks and Confectionery_I00040",32719.37659611097,CDP,MEX
"05HWJD-E_Baked Goods, Cookies, Tortillas, Salty Snacks and Confectionery_I00045",120165.65628081623,CDP,MEX
"05HWJD-E_Baked Goods, Cookies, Tortillas, Salty Snacks and Confectionery_I00046",48832.05712307282,CDP,MEX
001XDF-E_Beverages_I00047,123401.8924085017,CDP,MEX
003Q6N-E_Self-service_I00125,501837.4433951401,CDP,MEX
001L8S-E_Cable_I00157,0.0,CDP,MEX
001L8S-E_Sky_I00157,0.0,CDP,MEX
Others-I00001-S,5.420266541078046e6,,MEX
Others-I00002-S,2.473697882894145e6,,MEX
Others-I00003-S,3.2752512937480155e6,,MEX
Others-I00004-S,1.0727041062061617e6,,MEX
Others-I00005-S,3.06377803190881e6,,MEX
Others-I00006-S,3.94536376737699e7,,MEX
Others-I00007-S,1.1165526034901168e7,,MEX
Others-I00008-S,4.059625282097791e7,,MEX
Others-I00009-S,1.5177603343575334e6,,MEX
Others-I00010-S,195131.73972748333,,MEX
Others-I00011-S,164438.6653398174,,MEX
Others-I00012-S,44.160579361783746,,MEX
Others-I00013-S,2356.2789170383717,,MEX
Others-I00014-S,4053.2489307303717,,MEX
Others-I00015-S,5917.01495062468,,MEX
Others-I00016-S,144.52283037305995,,MEX
Others-I00017-S,673.1506106584145,,MEX
Others-I00018-S,53.25053875031672,,MEX
Others-I00019-S,305.71407170394065,,MEX
Others-I00020-S,4.79079126127789e7,,MEX
Others-I00021-S,767868.6615508936,,MEX
Others-I00022-S,170137.92616231233,,MEX
Others-I00023-S,72158.22758885696,,MEX
Others-I00024-S,8.835315691395756e6,,MEX
Others-I00025-S,1.452142122497436e8,,MEX
Others-I00026-S,347252.7989815964,,MEX
Others-I00027-S,292726.6644882487,,MEX
Others-I00028-S,362618.7338423528,,MEX
Others-I00029-S,179148.9328496041,,MEX
Others-I00030-S,103261.79746242746,,MEX
Others-I00031-S,48312.81873923863,,MEX
Others-I00032-S,73515.54121940707,,MEX
Others-I00033-S,12808.724287235966,,MEX
Others-I00034-S,15917.355576143966,,MEX
Others-I00035-S,24834.50929248488,,MEX
Others-I00036-S,6954.292835619498,,MEX
Others-I00037-S,25912.51668849644,,MEX
Others-I00038-S,83557.99242991787,,MEX
Others-I00039-S,168887.02613282928,,MEX
Others-I00040-S,66229.6995887674,,MEX
Others-I00041-S,64234.703342314235,,MEX
Others-I00042-S,166341.38777196527,,MEX
Others-I00043-S,371784.23831330216,,MEX
Others-I00044-S,12169.893844231061,,MEX
Others-I00045-S,243236.1537509089,,MEX
Others-I00046-S,98844.56276428726,,MEX
Others-I00047-S,141878.71381356067,,MEX
Others-I00048-S,24535.63330650444,,MEX
Others-I00049-S,3961.935310399227,,MEX
Others-I00050-S,9745.781147691583,,MEX
Others-I00051-S,2203.1124896570814,,MEX
Others-I00052-S,2054.6078125081963,,MEX
Others-I00053-S,3801.1999962178234,,MEX
Others-I00054-S,3443.083396419065,,MEX
Others-I00055-S,25858.606681724497,,MEX
Others-I00056-S,991.2991226917618,,MEX
Others-I00057-S,2804.193447623098,,MEX
Others-I00058-S,9679.807398801091,,MEX
Others-I00059-S,1066.7236692690553,,MEX
Others-I00060-S,9.656950146297898e6,,MEX
Others-I00061-S,1080.533865331804,,MEX
Others-I00062-S,307040.5205659455,,MEX
Others-I00063-S,433183.1064636823,,MEX
Others-I00064-S,2.5960472537029553e6,,MEX
Others-I00065-S,1.356566197558899e6,,MEX
Others-I00066-S,5.092660713704021e7,,MEX
Others-I00067-S,3.39188879025185e7,,MEX
Others-I00068-S,8.612837123904169e6,,MEX
Others-I00069-S,3.1278757986131366e6,,MEX
Others-I00070-S,1.4313473980083346e7,,MEX
