FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.0580294504422077e6,,MKD
Others-I00002-S,48988.985186291626,,MKD
Others-I00003-S,45.58229187559665,,MKD
Others-I00004-S,193518.39108689225,,MKD
Others-I00005-S,180097.46829263977,,MKD
Others-I00006-S,15016.169381315669,,MKD
Others-I00007-S,137.90973300745287,,MKD
Others-I00008-S,379.2709372814667,,MKD
Others-I00009-S,860.7933192540168,,MKD
Others-I00010-S,1044.1829880281507,,MKD
Others-I00011-S,40278.823977481574,,MKD
Others-I00012-S,120825.43992660532,,MKD
Others-I00013-S,143907.31723385522,,MKD
Others-I00014-S,251911.8456188478,,MKD
Others-I00015-S,461113.97899363376,,MKD
Others-I00016-S,139581.08863242433,,MKD
Others-I00017-S,371.27395788388185,,MKD
Others-I00018-S,7166.466623876908,,MKD
Others-I00019-S,16308.678623917465,,MKD
Others-I00020-S,2747.5344477706844,,MKD
Others-I00021-S,129.862485105584,,MKD
Others-I00022-S,23411.086860646064,,MKD
Others-I00023-S,1152.108007062361,,MKD
Others-I00024-S,1.0175859949759057e6,,MKD
Others-I00025-S,1808.317946475389,,MKD
Others-I00026-S,556515.0639602394,,MKD
Others-I00027-S,83806.62061998734,,MKD
Others-I00028-S,3743.0802451787404,,MKD
Others-I00029-S,1.6528628784778093e6,,MKD
Others-I00030-S,1.5345247437644494e6,,MKD
Others-I00031-S,1.347205965053752e6,,MKD
Others-I00032-S,6.97517872349171,,MKD
Others-I00033-S,209.05098903206493,,MKD
Others-I00034-S,538704.3362740774,,MKD
Others-I00035-S,1509.0757883171414,,MKD
Others-I00036-S,8024.630633736388,,MKD
Others-I00037-S,215.7293091256983,,MKD
Others-I00038-S,2063.7523513958463,,MKD
Others-I00039-S,9949.300453731337,,MKD
Others-I00040-S,3076.7751745074884,,MKD
Others-I00041-S,9133.299733383312,,MKD
Others-I00042-S,2391.6167512499546,,MKD
Others-I00043-S,1234.2048375994766,,MKD
Others-I00044-S,3518.6793656152,,MKD
Others-I00045-S,27903.421665564027,,MKD
Others-I00046-S,4362.941691186228,,MKD
Others-I00047-S,3530.1753123141516,,MKD
Others-I00048-S,460.7575436939924,,MKD
Others-I00049-S,1633.3441069870867,,MKD
Others-I00050-S,967.0390363158344,,MKD
Others-I00051-S,801.576672536626,,MKD
Others-I00052-S,858.9771373456866,,MKD
Others-I00053-S,208.94535376148502,,MKD
Others-I00054-S,201679.2783554407,,MKD
Others-I00055-S,22277.76518896492,,MKD
Others-I00056-S,11065.07861667519,,MKD
Others-I00057-S,12932.02036058498,,MKD
Others-I00058-S,1487.1156649764187,,MKD
Others-I00059-S,11025.532560030795,,MKD
Others-I00060-S,764.2505365463228,,MKD
Others-I00061-S,2100.9992187004505,,MKD
Others-I00062-S,428.10905506896904,,MKD
Others-I00063-S,4576.900848397538,,MKD
Others-I00064-S,34862.61054244408,,MKD
