FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,4.0903314845846654e6,,NER
Others-I00002-S,1.8944903119041678e7,,NER
Others-I00003-S,20754.29750129262,,NER
Others-I00004-S,8829.698830186882,,NER
Others-I00005-S,98798.75876811463,,NER
Others-I00006-S,42.66646506627442,,NER
Others-I00007-S,14.97020860040992,,NER
Others-I00008-S,7.4761316013086105,,NER
Others-I00009-S,142002.2996073358,,NER
Others-I00010-S,1.739664761949755e6,,NER
Others-I00011-S,1286.6231797259802,,NER
Others-I00012-S,14385.890633698227,,NER
Others-I00013-S,286440.31753733475,,NER
Others-I00014-S,28943.531881799478,,NER
Others-I00015-S,24999.52430639492,,NER
Others-I00016-S,179774.56702741655,,NER
Others-I00017-S,66146.87710213299,,NER
Others-I00018-S,928.2254495553874,,NER
Others-I00019-S,9196.653863697695,,NER
Others-I00020-S,12354.0680467885,,NER
Others-I00021-S,585579.5396444183,,NER
Others-I00022-S,1.4068391749648969e6,,NER
Others-I00023-S,41779.53752473729,,NER
Others-I00024-S,39787.693136499656,,NER
Others-I00025-S,20894.84691162094,,NER
Others-I00026-S,18457.736177037707,,NER
Others-I00027-S,17631.35042102355,,NER
Others-I00028-S,693606.1398500775,,NER
Others-I00029-S,91321.15981711906,,NER
Others-I00030-S,32888.90090352282,,NER
Others-I00031-S,14176.72272184365,,NER
Others-I00032-S,3.2285859106457895e6,,NER
