FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
003J84-E_Beer and Cider_I00001,62691.650976968005,CDP,NLD
00308C-E_Nutrition_I00006,10924.40371276619,CDP,NLD
003J84-E_Beer and Cider_I00006,8831.269619766355,CDP,NLD
05HZ34-E_Core_I00006,267.0,CDP,NLD
003J84-E_Beer and Cider_I00007,640.0794032656382,CDP,NLD
00308C-E_Corporate Activities_I00014,1585.080579133661,CDP,NLD
00308C-E_Innovation Center_I00014,3232.7301284962814,CDP,NLD
00308C-E_Materials_I00014,52724.78557960387,CDP,NLD
000TCK-E_Consumer Lifestyle_I00020,5955.701918905085,CDP,NLD
000TCK-E_Health Care_I00020,12154.220934934034,CDP,NLD
000TCK-E_Lighting_I00020,7767.039616608841,CDP,NLD
000TCK-E_Lighting_I00021,785.0375295520406,CDP,NLD
05J1B6-E_Civil Engineering_I00031,18801.01090650579,CDP,NLD
05J1B6-E_Construction and Mechanical & Electrical Services_I00031,14769.979655822644,CDP,NLD
05J1B6-E_Public Private Partnership_I00031,1701.8960686833777,CDP,NLD
05J1B6-E_Civil Engineering_I00033,15956.767573967683,CDP,NLD
05J1B6-E_Construction and Mechanical & Electrical Services_I00033,12535.556391738459,CDP,NLD
0BP9CQ-E_Domestics_I00040,462657.0622185013,CDP,NLD
0BP9CQ-E_International AMEA_I00040,178386.7803899109,CDP,NLD
0BP9CQ-E_International Europe_I00040,510573.83320854785,CDP,NLD
063Q6G-E_International_I00041,9272.23872923241,CDP,NLD
063Q6G-E_Mail_I00041,17020.27383174168,CDP,NLD
063Q6G-E_Parcels_I00041,7396.295804034703,CDP,NLD
06B2GP-E_Mobile_I00044,0.0,CDP,NLD
06B2GP-E_Patents_I00044,0.0,CDP,NLD
06B2GP-E_Payment & Identity_I00044,0.0,CDP,NLD
003K16-E_Belgium_I00046,2131.0041310234624,CDP,NLD
003K16-E_The Netherlands_I00046,19292.354976429546,CDP,NLD
06B2GP-E_Mobile_I00047,0.0,CDP,NLD
06B2GP-E_Patents_I00047,0.0,CDP,NLD
06B2GP-E_Payment & Identity_I00047,0.0,CDP,NLD
001RVZ-E_Corporate Line Banking_I00049,-237.9789184234647,CDP,NLD
001RVZ-E_Retail Belgium_I00049,2125.9450045829517,CDP,NLD
001RVZ-E_Retail Germany_I00049,1594.876260311641,CDP,NLD
001RVZ-E_Retail Netherlands_I00049,3676.565536205316,CDP,NLD
001RVZ-E_Wholesale Banking_I00049,4683.5921173235565,CDP,NLD
003K16-E_iBasis_I00049,2399.2986617458773,CDP,NLD
05HZZZ-E_Corporate Banking_I00049,25.511820439051537,CDP,NLD
05HZZZ-E_Merchant Banking_I00049,32.04319714939292,CDP,NLD
05HZZZ-E_Private Banking_I00049,119.14283153495202,CDP,NLD
09YPPF-E_Corporate Banking_I00049,1.443247913398331,CDP,NLD
09YPPF-E_Private Banking_I00049,0.6059790918435297,CDP,NLD
09YPPF-E_Retail Banking_I00049,1.7823186571550538,CDP,NLD
00FH6Y-E_Netherlands Life_I00050,882.2456682805404,CDP,NLD
05H9FH-E_Accident and Health Insurance_I00050,263.3535348562426,CDP,NLD
05H9FH-E_General Insurance_I00050,62.355257975580955,CDP,NLD
05H9FH-E_Life Insurance_I00050,144.70228173184952,CDP,NLD
0G82VB-E_Distribution and Services_I00050,7.352555073170171,CDP,NLD
0G82VB-E_Life_I00050,443.7811875824034,CDP,NLD
0G82VB-E_Non-Life_I00050,225.61145855416262,CDP,NLD
00FH6Y-E_Asset Management_I00051,315.95223932646053,CDP,NLD
05H9FH-E_Life Insurance_I00051,56.02009815916196,CDP,NLD
