FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05J03W-E_Farming_I00003,96.03517514561582,CDP,NOR
05J03W-E_Feed_I00003,3.399905050040766,CDP,NOR
05K63M-E_Farming_I00003,62.91357256791599,CDP,NOR
003KTP-E_Exploration & Production International_I00004,0.0,CDP,NOR
003KTP-E_Exploration & Production Norway_I00004,0.0,CDP,NOR
0GB1DL-E_Gas_I00004,20673.649019406268,CDP,NOR
0GB1DL-E_Liquids_I00004,194705.73836138428,CDP,NOR
0GB1DL-E_Tariff_I00004,601.5189514432923,CDP,NOR
05J03W-E_Consumer Products_I00005,24508.156679488002,CDP,NOR
05K63M-E_Value-added Processing_I00005,2796.108696607953,CDP,NOR
05HXQY-E_Schibsted Norge Media House_I00009,92.09945527730311,CDP,NOR
05HXQY-E_Schibsted Sverige Media House_I00009,62.47547529449097,CDP,NOR
002CDF-E_Aluminium Metal_I00015,173731.61473342162,CDP,NOR
002CDF-E_Metal Markets_I00015,1.3837417555400669e6,CDP,NOR
05JLV0-E_Application Specific Integrated Circuits Components_I00017,0.0,CDP,NOR
05JLV0-E_Building/Retail_I00017,0.0,CDP,NOR
05JLV0-E_Consumer Electronics_I00017,0.0,CDP,NOR
05JLV0-E_Healthcare_I00017,0.0,CDP,NOR
05JLV0-E_Wearables_I00017,0.0,CDP,NOR
05HHB3-E_Collection_I00019,8553.66456000126,CDP,NOR
05HHB3-E_Sorting_I00019,5263.101517329199,CDP,NOR
05HZT2-E_Kongsberg Maritime_I00021,77.05547003374586,CDP,NOR
05HZT2-E_Kongsberg Protech Systems_I00021,12.867299375221277,CDP,NOR
05HZMC-E_IMG_I00022,114.40705006438742,CDP,NOR
05HZMC-E_Stressless_I00022,648.8250905316507,CDP,NOR
05HZMC-E_Svane_I00022,63.48220642134626,CDP,NOR
002CDF-E_Energy_I00024,86904.62972651137,CDP,NOR
05J1BP-E_Construction_I00027,44288.45200261712,CDP,NOR
05J1BP-E_Industrial_I00027,9023.254707075266,CDP,NOR
05J1BP-E_Property Development_I00027,4756.617780124476,CDP,NOR
003J37-E_Hydro Power_I00029,193.68258196402496,CDP,NOR
05J03W-E_Markets_I00029,9461.408240316343,CDP,NOR
05K63M-E_Sales & Distribution_I00029,7870.293044611988,CDP,NOR
05J1V2-E_Anchor-Handling Vessels_I00032,23835.766481898077,CDP,NOR
05J1V2-E_Platform Supply Vessels_I00032,9751.461336368133,CDP,NOR
05J1V2-E_Subsea/Renewable Energy_I00032,59391.17218173379,CDP,NOR
05HXQY-E_Online Classifieds_I00037,173.00873155853327,CDP,NOR
05HXQY-E_Schibsted Norge Media House_I00037,442.61926316541116,CDP,NOR
05HXQY-E_Schibsted Sverige Media House_I00037,300.2498631234704,CDP,NOR
09XH4X-E_EVRY Financial Services_I00037,1.7863264396786054,CDP,NOR
09XH4X-E_EVRY Norway_I00037,3.039347301065443,CDP,NOR
003K5P-E_Broadcast_I00039,156.41231470990658,CDP,NOR
003K5P-E_Bulgaria_I00039,293.47982085146174,CDP,NOR
003K5P-E_Mobile Communication_I00039,1633.6025475931463,CDP,NOR
003K5P-E_Montenegro & Serbia_I00039,367.80263262553314,CDP,NOR
003K5P-E_Norway_I00039,675.4612780897365,CDP,NOR
003K5P-E_Broadcast_I00040,152.81315626729054,CDP,NOR
003K5P-E_Mobile Communication_I00040,1596.0121928186281,CDP,NOR
003K5P-E_Norway_I00040,659.9184343807499,CDP,NOR
05HXQY-E_Online Classifieds_I00040,92.29403906262111,CDP,NOR
05J2QD-E_Product_I00040,314.8105197121355,CDP,NOR
