FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.611700158463311e6,,NZL
Others-I00002-S,1.620561425476709e7,,NZL
Others-I00003-S,2.2208106683472022e7,,NZL
Others-I00004-S,2.890880672839416e6,,NZL
Others-I00005-S,3066.8956243848047,,NZL
Others-I00006-S,852.8668028209157,,NZL
Others-I00007-S,2601.6569067440896,,NZL
Others-I00008-S,467863.25198844227,,NZL
Others-I00009-S,1.0923177206951834e6,,NZL
Others-I00010-S,41916.11062260819,,NZL
Others-I00011-S,335541.38164455246,,NZL
Others-I00012-S,621254.1395217897,,NZL
Others-I00013-S,107198.77031137771,,NZL
Others-I00014-S,1.1155552430820279e6,,NZL
Others-I00015-S,436439.57081919775,,NZL
Others-I00016-S,274643.3680618862,,NZL
Others-I00017-S,13588.247746232471,,NZL
Others-I00018-S,4905.495312608373,,NZL
Others-I00019-S,1.6354754010871602e6,,NZL
Others-I00020-S,173499.6696547172,,NZL
Others-I00021-S,87067.65429929497,,NZL
Others-I00022-S,2.3463661822059895e6,,NZL
Others-I00023-S,646387.9600104027,,NZL
Others-I00024-S,773850.5849316916,,NZL
Others-I00025-S,668187.6510967354,,NZL
Others-I00026-S,119834.68701226324,,NZL
Others-I00027-S,291965.817936783,,NZL
Others-I00028-S,1.0029689570007466e6,,NZL
Others-I00029-S,178243.03643855662,,NZL
Others-I00030-S,7643.344779766592,,NZL
Others-I00031-S,105004.44576603686,,NZL
Others-I00032-S,100493.39845420419,,NZL
Others-I00033-S,51360.68779271363,,NZL
Others-I00034-S,16600.53378589042,,NZL
Others-I00035-S,3.7864535246396577e6,,NZL
Others-I00036-S,1.8523160120050823e6,,NZL
Others-I00037-S,14720.88406218652,,NZL
Others-I00038-S,6486.758000197393,,NZL
Others-I00039-S,1.1118083358583436e6,,NZL
Others-I00040-S,3.382217476431822e6,,NZL
Others-I00041-S,75781.69868006627,,NZL
Others-I00042-S,40708.08426011487,,NZL
Others-I00043-S,73260.03263889252,,NZL
Others-I00044-S,117398.03593581515,,NZL
Others-I00045-S,22555.52679743632,,NZL
Others-I00046-S,27470.475700254414,,NZL
Others-I00047-S,6678.364385802498,,NZL
Others-I00048-S,22921.039660508595,,NZL
Others-I00049-S,26447.913786789875,,NZL
Others-I00050-S,7791.887654636888,,NZL
Others-I00051-S,2270.799538733829,,NZL
Others-I00052-S,14883.113015626985,,NZL
Others-I00053-S,3238.501050278528,,NZL
Others-I00054-S,274467.770972284,,NZL
Others-I00055-S,11193.17331871209,,NZL
Others-I00056-S,12814.989277310824,,NZL
Others-I00057-S,13470.447987605277,,NZL
Others-I00058-S,13636.590887745186,,NZL
Others-I00059-S,33061.295550003466,,NZL
Others-I00060-S,1.1669690728143556e7,,NZL
Others-I00061-S,25612.03219240497,,NZL
Others-I00062-S,1.5216961886405055e6,,NZL
Others-I00063-S,3.3825890255211955e6,,NZL
Others-I00064-S,52382.57633092228,,NZL
Others-I00065-S,77257.35897855999,,NZL
Others-I00066-S,1.4664902891302977e6,,NZL
Others-I00067-S,79821.296371692,,NZL
Others-I00068-S,8138.992182643663,,NZL
Others-I00069-S,9778.357528002782,,NZL
Others-I00070-S,46690.627661052495,,NZL
Others-I00071-S,1502.9008922564356,,NZL
Others-I00072-S,52624.35332596811,,NZL
Others-I00073-S,6723.25781127626,,NZL
Others-I00074-S,18744.937820869654,,NZL
Others-I00075-S,1618.129753762163,,NZL
Others-I00076-S,21034.291233853357,,NZL
Others-I00077-S,88906.98252507282,,NZL
Others-I00078-S,53249.68620855289,,NZL
Others-I00079-S,49717.83474069764,,NZL
Others-I00080-S,15699.439277701184,,NZL
Others-I00081-S,95281.43655611122,,NZL
Others-I00082-S,42124.814753861625,,NZL
Others-I00083-S,27040.40257870318,,NZL
Others-I00084-S,37539.040033556856,,NZL
Others-I00085-S,3990.26656796506,,NZL
Others-I00086-S,31511.630837740413,,NZL
Others-I00087-S,14575.46216180028,,NZL
Others-I00088-S,25102.949611298474,,NZL
Others-I00089-S,12984.746767993809,,NZL
Others-I00090-S,8696.219592692749,,NZL
Others-I00091-S,33566.3185482518,,NZL
Others-I00092-S,8494.438450508947,,NZL
Others-I00093-S,26440.06477585529,,NZL
Others-I00094-S,5985.168530952289,,NZL
Others-I00095-S,31383.478973322766,,NZL
Others-I00096-S,26040.941375450668,,NZL
Others-I00097-S,6058.044574267801,,NZL
Others-I00098-S,44420.94442748973,,NZL
Others-I00099-S,40176.95977250469,,NZL
Others-I00100-S,21615.81582047845,,NZL
Others-I00101-S,5556.367674875216,,NZL
Others-I00102-S,13401.263236344903,,NZL
Others-I00103-S,8800.141191082083,,NZL
Others-I00104-S,17097.88384588569,,NZL
Others-I00105-S,579324.6990705092,,NZL
Others-I00106-S,10190.908381369381,,NZL
