FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05J1KN-E_Construction_I00034,28540.63085437223,CDP,POL
05J1KN-E_Development and Property Management_I00034,1779.5139818479722,CDP,POL
Others-I00001-S,3.461679715670482e7,,POL
Others-I00002-S,44355.00265411501,,POL
Others-I00003-S,2125.982552870078,,POL
Others-I00004-S,1.5520022159140311e7,,POL
Others-I00005-S,2.5194275743525684e7,,POL
Others-I00006-S,3.4698311171647226e6,,POL
Others-I00007-S,370153.48187470075,,POL
Others-I00008-S,159702.06418282056,,POL
Others-I00009-S,28821.734388493816,,POL
Others-I00010-S,22005.94583466908,,POL
Others-I00011-S,10902.614115540353,,POL
Others-I00012-S,9.242529858454509e6,,POL
Others-I00013-S,970328.5787653245,,POL
Others-I00014-S,395351.6469145008,,POL
Others-I00015-S,8.89197866757474e6,,POL
Others-I00016-S,1.1587719674967537e7,,POL
Others-I00017-S,3.0388614409456626e6,,POL
Others-I00018-S,243662.3762584586,,POL
Others-I00019-S,1.7701959298363077e6,,POL
Others-I00020-S,1.1447333186427584e7,,POL
Others-I00021-S,515470.2202869812,,POL
Others-I00022-S,189587.20977003739,,POL
Others-I00023-S,374352.1405756924,,POL
Others-I00024-S,235211.4259113652,,POL
Others-I00025-S,309139.9750120472,,POL
Others-I00026-S,53709.753964154734,,POL
Others-I00027-S,218709.76846690176,,POL
Others-I00028-S,66331.24543534312,,POL
Others-I00029-S,336112.3345519184,,POL
Others-I00030-S,1.532424406103809e8,,POL
Others-I00031-S,39904.05055153745,,POL
Others-I00032-S,3.0626413128487756e6,,POL
Others-I00033-S,5.327161379832309e6,,POL
Others-I00034-S,252239.0125215858,,POL
Others-I00035-S,599476.3589068927,,POL
Others-I00036-S,1.658730065070126e6,,POL
Others-I00037-S,7.241038881791569e6,,POL
Others-I00038-S,3.1568788066246275e7,,POL
Others-I00039-S,2.6126046358044012e6,,POL
Others-I00040-S,1.6073034849486616e7,,POL
Others-I00041-S,123723.05479235794,,POL
Others-I00042-S,208907.36175198123,,POL
Others-I00043-S,340673.2222575561,,POL
Others-I00044-S,60875.626919583454,,POL
Others-I00045-S,52563.305871785305,,POL
Others-I00046-S,223089.33104902625,,POL
Others-I00047-S,353250.53148453875,,POL
Others-I00048-S,83177.35634442404,,POL
Others-I00049-S,626865.4325931629,,POL
Others-I00050-S,191087.52186264447,,POL
Others-I00051-S,131452.14505390183,,POL
Others-I00052-S,1.1577015411188938e6,,POL
Others-I00053-S,260369.83887046407,,POL
Others-I00054-S,250322.96439477097,,POL
Others-I00055-S,275376.2994930495,,POL
Others-I00056-S,104391.22011038067,,POL
Others-I00057-S,281853.6894356012,,POL
Others-I00058-S,89427.0046032845,,POL
Others-I00059-S,7073.878289666483,,POL
Others-I00060-S,95028.77723246806,,POL
Others-I00061-S,101777.21669414733,,POL
Others-I00062-S,25359.31275434324,,POL
Others-I00063-S,79368.69590019117,,POL
Others-I00064-S,103722.68136955275,,POL
Others-I00065-S,105472.28595967856,,POL
Others-I00066-S,931194.5941793846,,POL
Others-I00067-S,798271.0774020967,,POL
Others-I00068-S,861597.2646062067,,POL
Others-I00069-S,120328.68732958974,,POL
Others-I00070-S,87146.60735629516,,POL
Others-I00071-S,17752.728725161527,,POL
Others-I00072-S,15098.66955633735,,POL
Others-I00073-S,71990.3991056816,,POL
Others-I00074-S,71870.83112607471,,POL
Others-I00075-S,70632.50669573949,,POL
Others-I00076-S,155763.20622585306,,POL
Others-I00077-S,3.368949869624603e7,,POL
