FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05KB5L-E_Refinery & Distribution_I00014,740464.4630995544,CDP,PRT
05HH9S-E_Customers and Energy Management_I00029,467051.2261211944,CDP,PRT
05HH9S-E_Networks_I00029,5.0253919350388255e6,CDP,PRT
05KB5L-E_Gas & Power_I00029,1.9961315561072459e6,CDP,PRT
06PHWQ-E_Electricity_I00029,11747.758231323385,CDP,PRT
06PHWQ-E_Gas_I00029,6112.411748177743,CDP,PRT
05KB5L-E_Refinery & Distribution_I00032,27771.877587698862,CDP,PRT
05KB5L-E_Refinery & Distribution_I00036,26833.562878415098,CDP,PRT
05HZ0L-E_Poland Retail_I00037,58233.39484632814,CDP,PRT
05HZ0L-E_Portugal Cash & Carry_I00037,5239.947741186371,CDP,PRT
05HZ0L-E_Portugal Retail_I00037,21595.65741248548,CDP,PRT
05KVVP-E_Express & Orders_I00042,2435.2896487580665,CDP,PRT
05KVVP-E_Mail_I00042,9800.780849092806,CDP,PRT
05J6ZZ-E_MC_I00048,3902.8836059967043,CDP,PRT
06PHWQ-E_Telecommunications_I00048,0.739323716038474,CDP,PRT
05J6ZZ-E_Sonae Investment Management_I00051,285.92246554458023,CDP,PRT
05J6ZZ-E_Sonae RP_I00051,139.2594715842995,CDP,PRT
05KVVP-E_Financial Services_I00051,577.8498309519839,CDP,PRT
05HH9S-E_Customers and Energy Management_I00054,4003.5975315874766,CDP,PRT
05HH9S-E_Customers and Energy Management_I00056,732.1919568767318,CDP,PRT
Others-I00001-S,6.850209184072414e6,,PRT
Others-I00002-S,2974.501285926764,,PRT
Others-I00003-S,1175.1953930732348,,PRT
Others-I00004-S,877960.055501553,,PRT
Others-I00005-S,504603.3474722399,,PRT
Others-I00006-S,118724.67130412272,,PRT
Others-I00007-S,31472.52180341112,,PRT
Others-I00008-S,101481.62174888443,,PRT
Others-I00009-S,109538.6833820149,,PRT
Others-I00010-S,82022.38362673472,,PRT
Others-I00011-S,866368.1490497395,,PRT
Others-I00012-S,302951.5016187799,,PRT
Others-I00013-S,74028.62027170406,,PRT
Others-I00014-S,3.2518095055410145e6,,PRT
Others-I00015-S,2.496226858242945e6,,PRT
Others-I00016-S,671309.1480678626,,PRT
Others-I00017-S,105837.29864915008,,PRT
Others-I00018-S,706799.8064971024,,PRT
Others-I00019-S,160182.4234031659,,PRT
Others-I00020-S,79869.57726030196,,PRT
Others-I00021-S,23418.64034444112,,PRT
Others-I00022-S,47529.235655836426,,PRT
Others-I00023-S,34203.784617908444,,PRT
Others-I00024-S,62655.173652049925,,PRT
Others-I00025-S,4797.311026205634,,PRT
Others-I00026-S,20759.81005512669,,PRT
Others-I00027-S,12687.441270633451,,PRT
Others-I00028-S,13154.882722682727,,PRT
Others-I00029-S,1.1826413644548502e7,,PRT
Others-I00030-S,11095.559241311876,,PRT
Others-I00031-S,4.328602158876565e6,,PRT
Others-I00032-S,121962.44388065755,,PRT
Others-I00033-S,107923.35320419577,,PRT
Others-I00034-S,105947.83398267263,,PRT
Others-I00035-S,34557.718939972736,,PRT
Others-I00036-S,117841.75903635641,,PRT
Others-I00037-S,2.3127273036395884e6,,PRT
Others-I00038-S,7.877539020698504e6,,PRT
Others-I00039-S,2.366501909843584e6,,PRT
Others-I00040-S,3.5188845647387984e6,,PRT
Others-I00041-S,7.395741166798571e6,,PRT
Others-I00042-S,5728.999006606842,,PRT
Others-I00043-S,40902.38689510051,,PRT
Others-I00044-S,73094.13309785236,,PRT
Others-I00045-S,62966.972745184976,,PRT
Others-I00046-S,4689.4751862503135,,PRT
Others-I00047-S,7025.786066469207,,PRT
Others-I00048-S,36930.872075073814,,PRT
Others-I00049-S,25160.786138733347,,PRT
Others-I00050-S,3216.2032416730463,,PRT
Others-I00051-S,76506.83199966638,,PRT
Others-I00052-S,26132.315177717,,PRT
Others-I00053-S,10125.833939734906,,PRT
Others-I00054-S,161719.004897392,,PRT
Others-I00055-S,19489.908149584087,,PRT
Others-I00056-S,29575.73875139952,,PRT
Others-I00057-S,17718.665896312792,,PRT
Others-I00058-S,6251.726623909581,,PRT
Others-I00059-S,12451.086072143562,,PRT
Others-I00060-S,6094.548018319827,,PRT
Others-I00061-S,316.5930627596741,,PRT
Others-I00062-S,11990.503119171044,,PRT
Others-I00063-S,11165.500428375948,,PRT
Others-I00064-S,4238.659041309989,,PRT
Others-I00065-S,5821.828646851771,,PRT
Others-I00066-S,6894.523299721535,,PRT
Others-I00067-S,25477.093437555763,,PRT
Others-I00068-S,118696.7784701614,,PRT
Others-I00069-S,82539.57143876303,,PRT
Others-I00070-S,98597.17117970076,,PRT
Others-I00071-S,16032.795859376929,,PRT
Others-I00072-S,13848.674575749577,,PRT
Others-I00073-S,4126.593564516162,,PRT
Others-I00074-S,2284.4621568897774,,PRT
Others-I00075-S,2704.232010774532,,PRT
Others-I00076-S,11344.40748086436,,PRT
Others-I00077-S,12086.512177195067,,PRT
Others-I00078-S,2280.1997123580427,,PRT
Others-I00079-S,13694.40183198345,,PRT
Others-I00080-S,1.7945373408775404e6,,PRT
