FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.6725498493184015e7,,ROU
Others-I00002-S,12931.206139055184,,ROU
Others-I00003-S,2996.8925937256186,,ROU
Others-I00004-S,874285.419126315,,ROU
Others-I00005-S,4.0130032344900533e6,,ROU
Others-I00006-S,5210.692077863628,,ROU
Others-I00007-S,4254.242310362252,,ROU
Others-I00008-S,1.4629724150406048e6,,ROU
Others-I00009-S,767519.4795238456,,ROU
Others-I00010-S,151468.10579416426,,ROU
Others-I00011-S,6295.480694778908,,ROU
Others-I00012-S,47101.73487093864,,ROU
Others-I00013-S,81887.49752880195,,ROU
Others-I00014-S,34252.02380818342,,ROU
Others-I00015-S,1.1610350202456817e6,,ROU
Others-I00016-S,55357.073344498414,,ROU
Others-I00017-S,59880.4285901907,,ROU
Others-I00018-S,4.137825954957998e6,,ROU
Others-I00019-S,3.4960382360781115e6,,ROU
Others-I00020-S,734117.1175581787,,ROU
Others-I00021-S,119893.74315942949,,ROU
Others-I00022-S,456103.90357782086,,ROU
Others-I00023-S,5.167165931972865e6,,ROU
Others-I00024-S,472017.98294450215,,ROU
Others-I00025-S,68069.13047622888,,ROU
Others-I00026-S,219047.61417207247,,ROU
Others-I00027-S,106836.778907451,,ROU
Others-I00028-S,187506.06345254148,,ROU
Others-I00029-S,27642.216174505462,,ROU
Others-I00030-S,77984.2505442795,,ROU
Others-I00031-S,17291.856752262087,,ROU
Others-I00032-S,50105.3071104945,,ROU
Others-I00033-S,2.999911376821175e7,,ROU
Others-I00034-S,15192.220660478064,,ROU
Others-I00035-S,1.1799942534598738e6,,ROU
Others-I00036-S,4.708463834956091e6,,ROU
Others-I00037-S,2.308134480919046e6,,ROU
Others-I00038-S,604135.4526741918,,ROU
Others-I00039-S,202398.75834352185,,ROU
Others-I00040-S,199263.3159126839,,ROU
Others-I00041-S,89104.44616981168,,ROU
Others-I00042-S,401509.4905692275,,ROU
Others-I00043-S,2.3480245585392546e6,,ROU
Others-I00044-S,1.2453148966666909e7,,ROU
Others-I00045-S,277146.7003436308,,ROU
Others-I00046-S,816874.2587402981,,ROU
Others-I00047-S,2.9241503915757732e6,,ROU
Others-I00048-S,18702.78823578763,,ROU
Others-I00049-S,47311.0875397982,,ROU
Others-I00050-S,47351.65442702851,,ROU
Others-I00051-S,57865.06745017497,,ROU
Others-I00052-S,11746.229178243873,,ROU
Others-I00053-S,12313.306997613363,,ROU
Others-I00054-S,86622.10960845154,,ROU
Others-I00055-S,137747.39267401572,,ROU
Others-I00056-S,25195.19497494604,,ROU
Others-I00057-S,126912.39713138505,,ROU
Others-I00058-S,19497.990134164076,,ROU
Others-I00059-S,17140.70671156597,,ROU
Others-I00060-S,398875.10297308746,,ROU
Others-I00061-S,92440.96583979166,,ROU
Others-I00062-S,88619.51299226625,,ROU
Others-I00063-S,82285.09190805312,,ROU
Others-I00064-S,23415.2162858879,,ROU
Others-I00065-S,49273.91055024415,,ROU
Others-I00066-S,30364.69908520415,,ROU
Others-I00067-S,3688.4015024815053,,ROU
Others-I00068-S,19767.800464148797,,ROU
Others-I00069-S,16954.85685617798,,ROU
Others-I00070-S,25252.84031001269,,ROU
Others-I00071-S,19731.014789605983,,ROU
Others-I00072-S,14857.004661840747,,ROU
Others-I00073-S,55829.37981588395,,ROU
Others-I00074-S,191640.79582652927,,ROU
Others-I00075-S,150604.10953512773,,ROU
Others-I00076-S,177538.01462526486,,ROU
Others-I00077-S,2909.6990848994037,,ROU
Others-I00078-S,3792.0541806955703,,ROU
Others-I00079-S,22982.893423737856,,ROU
Others-I00080-S,12883.34180956844,,ROU
Others-I00081-S,42265.49599531543,,ROU
Others-I00082-S,14029.767918849246,,ROU
Others-I00083-S,36731.55898298491,,ROU
Others-I00084-S,18288.31615213116,,ROU
Others-I00085-S,53937.24730548533,,ROU
Others-I00086-S,0.0,,ROU
Others-I00087-S,0.0,,ROU
Others-I00088-S,0.0,,ROU
