FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,7.58557557452025e7,,RUS
Others-I00002-S,1.3593256152610576e7,,RUS
Others-I00003-S,20197.94726106239,,RUS
Others-I00004-S,7.67494609718128e7,,RUS
Others-I00005-S,1.4437618561042163e8,,RUS
Others-I00006-S,1411.2011175295156,,RUS
Others-I00007-S,278238.9208448876,,RUS
Others-I00008-S,208366.63637259975,,RUS
Others-I00009-S,2.1940999750137188e7,,RUS
Others-I00010-S,113744.66255349702,,RUS
Others-I00011-S,44710.094637307215,,RUS
Others-I00012-S,42681.31069364116,,RUS
Others-I00013-S,15021.863639553309,,RUS
Others-I00014-S,603945.0686268319,,RUS
Others-I00015-S,596377.5726860442,,RUS
Others-I00016-S,412811.7235623244,,RUS
Others-I00017-S,6.6060496591513105e7,,RUS
Others-I00018-S,1.7731599211517934e7,,RUS
Others-I00019-S,5.79868975059833e6,,RUS
Others-I00020-S,1.3270908996849712e7,,RUS
Others-I00021-S,1.67556173429973e8,,RUS
Others-I00022-S,2.957200101300068e7,,RUS
Others-I00023-S,1.9827914951540027e6,,RUS
Others-I00024-S,37789.62574403451,,RUS
Others-I00025-S,779126.4674972225,,RUS
Others-I00026-S,544503.4584425427,,RUS
Others-I00027-S,615142.6357101679,,RUS
Others-I00028-S,804725.0960115583,,RUS
Others-I00029-S,949453.0130065287,,RUS
Others-I00030-S,2.5676332279974e6,,RUS
Others-I00031-S,107834.21055553225,,RUS
Others-I00032-S,1.93284885656619e8,,RUS
Others-I00033-S,120935.07393751618,,RUS
Others-I00034-S,1.018219267964953e7,,RUS
Others-I00035-S,345776.5772910685,,RUS
Others-I00036-S,3.287566125410055e8,,RUS
Others-I00037-S,2.1438844834724823e8,,RUS
Others-I00038-S,380030.75141229347,,RUS
Others-I00039-S,1.729070512605464e8,,RUS
Others-I00040-S,2.9243761047298647e6,,RUS
Others-I00041-S,7.598175631016429e6,,RUS
Others-I00042-S,1.1867168681952856e8,,RUS
Others-I00043-S,1.7570890206777216e6,,RUS
Others-I00044-S,852203.4688683932,,RUS
Others-I00045-S,177359.80284792505,,RUS
Others-I00046-S,12869.85465679406,,RUS
Others-I00047-S,2.567244966544438e6,,RUS
Others-I00048-S,1.1385059938834473e6,,RUS
Others-I00049-S,319591.92278784304,,RUS
Others-I00050-S,577683.3840700227,,RUS
Others-I00051-S,2.3569063907459977e8,,RUS
Others-I00052-S,2.2365949403856336e6,,RUS
Others-I00053-S,629368.3652610574,,RUS
Others-I00054-S,1.1442235861758166e6,,RUS
Others-I00055-S,1.041973488648029e8,,RUS
Others-I00056-S,60748.75778564079,,RUS
Others-I00057-S,377072.8170904473,,RUS
Others-I00058-S,141718.20948483492,,RUS
Others-I00059-S,1.3028930913481769e8,,RUS
