FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,1.6134549540974435e6,,SEN
Others-I00002-S,6.994474638192571e6,,SEN
Others-I00003-S,2630.563415787049,,SEN
Others-I00004-S,5834.90432082688,,SEN
Others-I00005-S,891557.7114390419,,SEN
Others-I00006-S,1.669912145765822e6,,SEN
Others-I00007-S,413469.50797270774,,SEN
Others-I00008-S,108917.32845470677,,SEN
Others-I00009-S,241218.8329556199,,SEN
Others-I00010-S,1.094013833691153e6,,SEN
Others-I00011-S,413377.033188884,,SEN
Others-I00012-S,2376.0313767189336,,SEN
Others-I00013-S,14516.927734237175,,SEN
Others-I00014-S,2.8134325004679626e6,,SEN
Others-I00015-S,4.049881763553954e6,,SEN
Others-I00016-S,11165.308040872702,,SEN
Others-I00017-S,39128.64464408939,,SEN
Others-I00018-S,13897.563501442994,,SEN
Others-I00019-S,26920.49242415378,,SEN
Others-I00020-S,23141.94742417352,,SEN
Others-I00021-S,679591.7386232106,,SEN
Others-I00022-S,26481.235334095556,,SEN
Others-I00023-S,17660.961587063022,,SEN
Others-I00024-S,8689.198643122698,,SEN
Others-I00025-S,2005.0457344385866,,SEN
Others-I00026-S,339589.5022170198,,SEN
Others-I00027-S,2.508230077838801e6,,SEN
