FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HWJT-E_Marine_I00025,3755.301465249044,CDP,SGP
003LXT-E_Hotel Operations_I00042,400.9849562244606,CDP,SGP
006DR9-E_Broadband_I00046,138.9067505979534,CDP,SGP
006DR9-E_Enterprise Fixed Service_I00046,266.925653046192,CDP,SGP
006DR9-E_Equipment_I00046,158.3245689541326,CDP,SGP
006DR9-E_Mobile_I00046,859.7932570711064,CDP,SGP
006DR9-E_Pay TV_I00046,271.1559634737882,CDP,SGP
05HWJT-E_Electronics_I00047,5839.913969092654,CDP,SGP
05MRM9-E_Automotive Engineering Services_I00048,41236.26486626881,CDP,SGP
05MRM9-E_Bus Station_I00048,5014.053170321993,CDP,SGP
05MRM9-E_Bus_I00048,366388.96804239077,CDP,SGP
05MRM9-E_Car Rental and Leasing_I00048,6622.008152528701,CDP,SGP
05MRM9-E_Driving Centre_I00048,6725.74718363881,CDP,SGP
05MRM9-E_Inspection and Testing Services_I00048,18586.576407228076,CDP,SGP
05MRM9-E_Rail_I00048,36896.51539816253,CDP,SGP
05MRM9-E_Taxi_I00048,229401.57746149032,CDP,SGP
003LXT-E_Hotel Operations_I00052,2092.1874600468477,CDP,SGP
003LXT-E_Investment Properties_I00052,595.281531012062,CDP,SGP
003LXT-E_Property Development_I00052,1522.651205947309,CDP,SGP
05HWJT-E_Aerospace_I00058,6314.111346441037,CDP,SGP
05HWJT-E_Land Systems_I00058,4715.702701639807,CDP,SGP
05HWJT-E_Aerospace_I00060,71.42733099265983,CDP,SGP
05HWJT-E_Land Systems_I00060,53.34559991927631,CDP,SGP
05HWJT-E_Aerospace_I00070,755.7026835461112,CDP,SGP
05HWJT-E_Marine_I00070,472.03948626165356,CDP,SGP
Others-I00001-S,17229.55509979337,,SGP
Others-I00002-S,9477.961343244217,,SGP
Others-I00003-S,2418.958918528617,,SGP
Others-I00004-S,597.9010413164355,,SGP
Others-I00005-S,14588.142209916487,,SGP
Others-I00006-S,134219.17417731395,,SGP
Others-I00007-S,1.495461548275962e7,,SGP
Others-I00008-S,203873.59340157968,,SGP
Others-I00009-S,7.727706166457025e6,,SGP
Others-I00010-S,2.2657847044577273e6,,SGP
Others-I00011-S,74982.79419397775,,SGP
Others-I00012-S,30199.62095834722,,SGP
Others-I00013-S,50333.08395198278,,SGP
Others-I00014-S,353538.38689372095,,SGP
Others-I00015-S,27670.18337140235,,SGP
Others-I00016-S,1.061299294148261e6,,SGP
Others-I00017-S,17608.02482026616,,SGP
Others-I00018-S,17608.02482026616,,SGP
Others-I00019-S,1137.6058260290124,,SGP
Others-I00020-S,429330.57779310935,,SGP
Others-I00021-S,80595.47601437822,,SGP
Others-I00022-S,33105.92890369824,,SGP
Others-I00023-S,1.2336035723847589e6,,SGP
Others-I00024-S,2508.893558848304,,SGP
Others-I00025-S,7265.775940689495,,SGP
Others-I00026-S,8673.028975575424,,SGP
Others-I00027-S,9148.662819425,,SGP
Others-I00028-S,132283.95854950108,,SGP
Others-I00029-S,2.139020112168863e7,,SGP
Others-I00030-S,163222.25919652655,,SGP
Others-I00031-S,275848.02715754067,,SGP
Others-I00032-S,4.618692354676634e6,,SGP
Others-I00033-S,10387.82266536093,,SGP
Others-I00034-S,5981.40345506734,,SGP
Others-I00035-S,106359.12179120416,,SGP
Others-I00036-S,11059.995168201107,,SGP
Others-I00037-S,3.3097070713010775e6,,SGP
Others-I00038-S,1.409550076810232e8,,SGP
Others-I00039-S,2.2103532830530517e7,,SGP
Others-I00040-S,3.8168762963277735e6,,SGP
Others-I00041-S,13309.886243236297,,SGP
Others-I00042-S,4332.811160246391,,SGP
Others-I00043-S,10313.005288109092,,SGP
Others-I00044-S,423117.94485011086,,SGP
Others-I00045-S,3324.5270093634354,,SGP
Others-I00046-S,21539.721249212227,,SGP
Others-I00047-S,13755.633852792547,,SGP
Others-I00048-S,-674282.8928025682,,SGP
Others-I00049-S,11184.783084050649,,SGP
Others-I00050-S,3508.62233604134,,SGP
Others-I00051-S,18472.129915821562,,SGP
Others-I00052-S,20489.033024479726,,SGP
Others-I00053-S,16477.792034881168,,SGP
Others-I00054-S,2053.881883652371,,SGP
Others-I00055-S,1505.765497974284,,SGP
Others-I00056-S,1848.1520646789047,,SGP
Others-I00057-S,17667.86956645954,,SGP
Others-I00058-S,545.128571112089,,SGP
Others-I00059-S,3696.116004920913,,SGP
Others-I00060-S,6.166675996983443,,SGP
Others-I00061-S,12777.993376003804,,SGP
Others-I00062-S,2803.9416674422887,,SGP
Others-I00063-S,15852.545081799884,,SGP
Others-I00064-S,27450.69331592729,,SGP
Others-I00065-S,13181.45367871139,,SGP
Others-I00066-S,10998.127533890718,,SGP
Others-I00067-S,2069.83287299094,,SGP
Others-I00068-S,8265.358317782568,,SGP
Others-I00069-S,1182.1144149623644,,SGP
Others-I00070-S,157.6016607451661,,SGP
Others-I00071-S,201838.5083947378,,SGP
