FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,2.753516920924053e6,,SVK
Others-I00002-S,1102.8342020840832,,SVK
Others-I00003-S,33.69238059886327,,SVK
Others-I00004-S,136391.30726792774,,SVK
Others-I00005-S,8986.593458831001,,SVK
Others-I00006-S,247.5475998843781,,SVK
Others-I00007-S,1423.7231797644595,,SVK
Others-I00008-S,1.3424810354339972e6,,SVK
Others-I00009-S,181934.53060244175,,SVK
Others-I00010-S,40631.9073744793,,SVK
Others-I00011-S,127.02582943581285,,SVK
Others-I00012-S,3706.4962431602253,,SVK
Others-I00013-S,4572.877542202956,,SVK
Others-I00014-S,5479.20137965345,,SVK
Others-I00015-S,284271.4078947201,,SVK
Others-I00016-S,80146.86004006254,,SVK
Others-I00017-S,27622.32871129723,,SVK
Others-I00018-S,2.1780798730613e6,,SVK
Others-I00019-S,2.0474020867140512e6,,SVK
Others-I00020-S,242899.78465470904,,SVK
Others-I00021-S,50113.677774567346,,SVK
Others-I00022-S,321196.3316966329,,SVK
Others-I00023-S,7.926308522393718e6,,SVK
Others-I00024-S,129583.13504286646,,SVK
Others-I00025-S,92547.03119007818,,SVK
Others-I00026-S,77411.3333394181,,SVK
Others-I00027-S,70168.59984722761,,SVK
Others-I00028-S,211833.37243359294,,SVK
Others-I00029-S,3557.780942405544,,SVK
Others-I00030-S,9907.759354050731,,SVK
Others-I00031-S,8671.187883258674,,SVK
Others-I00032-S,36202.9094224489,,SVK
Others-I00033-S,7.220037914984135e6,,SVK
Others-I00034-S,12574.265041754166,,SVK
Others-I00035-S,77030.42711921719,,SVK
Others-I00036-S,1.9151599916850703e6,,SVK
Others-I00037-S,1.5742604612125354e6,,SVK
Others-I00038-S,20624.292525447287,,SVK
Others-I00039-S,13422.208431485775,,SVK
Others-I00040-S,29700.0050805423,,SVK
Others-I00041-S,39187.73795532988,,SVK
Others-I00042-S,190147.0762396351,,SVK
Others-I00043-S,1.4278362413424738e6,,SVK
Others-I00044-S,3.702742808877137e6,,SVK
Others-I00045-S,435.3804911447223,,SVK
Others-I00046-S,130250.18673380208,,SVK
Others-I00047-S,2.337982523451934e6,,SVK
Others-I00048-S,18632.37725012962,,SVK
Others-I00049-S,13057.77744126371,,SVK
Others-I00050-S,33399.90332007054,,SVK
Others-I00051-S,29979.976255025416,,SVK
Others-I00052-S,5182.546183848197,,SVK
Others-I00053-S,5351.991093634978,,SVK
Others-I00054-S,45231.21494258378,,SVK
Others-I00055-S,55893.04878512675,,SVK
Others-I00056-S,16957.100198854157,,SVK
Others-I00057-S,31129.264316449284,,SVK
Others-I00058-S,26679.80217063579,,SVK
Others-I00059-S,21593.652335192357,,SVK
Others-I00060-S,169912.5918047584,,SVK
Others-I00061-S,43413.145580724326,,SVK
Others-I00062-S,45961.93465594829,,SVK
Others-I00063-S,47021.65322022409,,SVK
Others-I00064-S,8113.531092329161,,SVK
Others-I00065-S,36767.93539334317,,SVK
Others-I00066-S,33760.08991340902,,SVK
Others-I00067-S,80.2492004582918,,SVK
Others-I00068-S,10872.7706416542,,SVK
Others-I00069-S,9391.96790969725,,SVK
Others-I00070-S,6963.661131226552,,SVK
Others-I00071-S,6763.066117267325,,SVK
Others-I00072-S,13043.623736508627,,SVK
Others-I00073-S,56259.78547484059,,SVK
Others-I00074-S,149449.40365518242,,SVK
Others-I00075-S,83180.65867501036,,SVK
Others-I00076-S,81122.00460862706,,SVK
Others-I00077-S,11139.629812861682,,SVK
Others-I00078-S,3263.2534337022307,,SVK
Others-I00079-S,4390.488376000649,,SVK
Others-I00080-S,5396.775559704256,,SVK
Others-I00081-S,42302.652318322274,,SVK
Others-I00082-S,13016.301131698247,,SVK
Others-I00083-S,10655.541046829017,,SVK
Others-I00084-S,5360.383590681884,,SVK
Others-I00085-S,14154.185706215296,,SVK
Others-I00086-S,0.0,,SVK
Others-I00087-S,0.0,,SVK
Others-I00088-S,0.0,,SVK
