FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
Others-I00001-S,2.0166431016022323e6,,SVN
Others-I00002-S,2475.921083031675,,SVN
Others-I00003-S,91.77576104996123,,SVN
Others-I00004-S,1.4852273814630695e6,,SVN
Others-I00005-S,102858.5248337713,,SVN
Others-I00006-S,10463.962880122566,,SVN
Others-I00007-S,230182.09751279978,,SVN
Others-I00008-S,146721.30919852306,,SVN
Others-I00009-S,76987.29630970329,,SVN
Others-I00010-S,210.24276406667772,,SVN
Others-I00011-S,195582.1810008174,,SVN
Others-I00012-S,288145.2799753768,,SVN
Others-I00013-S,28873.875170059695,,SVN
Others-I00014-S,115670.09795970682,,SVN
Others-I00015-S,365299.64505469636,,SVN
Others-I00016-S,130476.71830148302,,SVN
Others-I00017-S,14283.111886295046,,SVN
Others-I00018-S,64455.784045155684,,SVN
Others-I00019-S,31797.890125479807,,SVN
Others-I00020-S,29251.008000048132,,SVN
Others-I00021-S,833.7054579183389,,SVN
Others-I00022-S,18785.388702946348,,SVN
Others-I00023-S,10256.039144068129,,SVN
Others-I00024-S,4.65506297014636e6,,SVN
Others-I00025-S,4872.4882910256,,SVN
Others-I00026-S,587407.6579259665,,SVN
Others-I00027-S,66506.2882500128,,SVN
Others-I00028-S,15555.826001657031,,SVN
Others-I00029-S,56126.77499820267,,SVN
Others-I00030-S,429941.2498434116,,SVN
Others-I00031-S,3.555454905622168e6,,SVN
Others-I00032-S,201682.9869114006,,SVN
Others-I00033-S,80706.23789939648,,SVN
Others-I00034-S,1.787406899462445e6,,SVN
Others-I00035-S,7401.535250742952,,SVN
Others-I00036-S,26634.412710353994,,SVN
Others-I00037-S,51659.93436449882,,SVN
Others-I00038-S,6897.622355526477,,SVN
Others-I00039-S,15883.367029702833,,SVN
Others-I00040-S,18400.872872255586,,SVN
Others-I00041-S,22870.04797340557,,SVN
Others-I00042-S,14175.236363770207,,SVN
Others-I00043-S,2449.901471904306,,SVN
Others-I00044-S,49385.11064497029,,SVN
Others-I00045-S,23747.432042342996,,SVN
Others-I00046-S,22658.766147981307,,SVN
Others-I00047-S,8885.126536353408,,SVN
Others-I00048-S,7396.476728211421,,SVN
Others-I00049-S,8310.956079475243,,SVN
Others-I00050-S,1532.1964439164522,,SVN
Others-I00051-S,11054.394133266698,,SVN
Others-I00052-S,5678.785035608717,,SVN
Others-I00053-S,8960.929939368216,,SVN
Others-I00054-S,47083.590302371565,,SVN
Others-I00055-S,38545.2240138519,,SVN
Others-I00056-S,35801.78596006042,,SVN
Others-I00057-S,8681.908902739226,,SVN
Others-I00058-S,10486.675029836602,,SVN
Others-I00059-S,5303.012534312942,,SVN
Others-I00060-S,5738.4788920576175,,SVN
Others-I00061-S,953.187471952235,,SVN
Others-I00062-S,5415.911219654155,,SVN
Others-I00063-S,705971.049383369,,SVN
Others-I00064-S,0.0,,SVN
