FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,SOURCE_S1,ISO_COUNTRY
05HYTR-E_Trelleborg Offshore & Construction_I00004,798.7053857082267,CDP,SWE
003L05-E_Snus and Moist Snuff_I00005,253.40377310848552,CDP,SWE
"05HFMB-E_Clothing, Accessories, Footwear, Cosmetics and Home Textiles_I00006",0.0,CDP,SWE
003JQN-E_Forest_I00007,23847.312466893756,CDP,SWE
05JY70-E_Joinery Products_I00007,0.0,CDP,SWE
003JQN-E_Forest_I00008,6270.018430715021,CDP,SWE
003JQN-E_Personal Care_I00008,21919.072625573677,CDP,SWE
003JQN-E_Tissue_I00008,40963.59647681753,CDP,SWE
0CMBQR-E_Board_I00008,36587.21407129491,CDP,SWE
0CMBQR-E_Paper_I00008,39082.420027193846,CDP,SWE
0CMBQR-E_Solutions_I00008,15213.444372138489,CDP,SWE
05HYTR-E_Trelleborg Coated Systems_I00011,664.8591448170467,CDP,SWE
05HYTR-E_Trelleborg Industrial Solutions_I00011,1385.7611040615172,CDP,SWE
05HYTR-E_Trelleborg Sealing Solutions_I00011,2253.194519565008,CDP,SWE
05J3MH-E_Integrated Solutions_I00011,87.15302095856399,CDP,SWE
05J59X-E_Pharmaceuticals_I00011,226.7333686727964,CDP,SWE
05HYTR-E_Trelleborg Wheel Systems_I00012,4.020756138935967,CDP,SWE
05J3MH-E_Industrial Solutions_I00012,1.31374798260289,CDP,SWE
05J3MH-E_Medical Solutions_I00012,1.5332310588331086,CDP,SWE
05HXP7-E_Ruukki Construction_I00014,609817.6712269393,CDP,SWE
05HXP7-E_SSAB Americas_I00014,1.374060653874845e6,CDP,SWE
05HXP7-E_SSAB Europe_I00014,2.4815869301544935e6,CDP,SWE
05HXP7-E_SSAB Special Steels_I00014,1.3189915675948455e6,CDP,SWE
05HXP7-E_Tibnor_I00014,807834.5119979682,CDP,SWE
0011BD-E_Global Services_I00016,0.21260769900035778,CDP,SWE
0011BD-E_Modems_I00016,0.0005107471987925722,CDP,SWE
0011BD-E_Networks_I00016,0.1903042690556429,CDP,SWE
